PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Alimerka Oviedo,15 abr 2016,P  77-82,0,1,0,6,0-0,0-1,0.0%,0-0,-,0,1,1,0,0,0,0,0,0
@ Rioverde Clavijo,8 abr 2016,G  76-83,3,0,1,8,0-1,1-1,50.0%,0-0,-,0,0,0,1,0,0,0,3,3
@ Levitec Huesca,23 mar 2016,P  105-85,0,0,0,4,0-1,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
vs Ourense,18 mar 2016,P  80-86,2,0,0,6,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,1,0,2,1
@ Fibwi Palma,5 mar 2016,P  80-73,6,1,0,11,3-3,0-1,75.0%,0-0,-,0,1,1,0,0,0,0,6,6
@ Leyma Coruña,21 feb 2016,G  76-83,1,2,0,6,0-1,0-0,0.0%,1-2,50.0%,1,1,2,0,0,1,0,1,0
@ Súper Agropal Palencia,5 feb 2016,P  94-75,6,4,0,12,0-1,2-3,50.0%,0-2,0.0%,0,4,4,0,0,0,0,6,6
@ Navarra,15 ene 2016,P  85-81,2,1,0,6,1-1,0-1,50.0%,0-0,-,0,1,1,0,0,1,0,2,1
vs FC Barcelona II,8 ene 2016,G  92-76,0,0,1,6,0-1,0-1,0.0%,0-0,-,0,0,0,1,0,0,0,0,-1
@ Alimerka Oviedo,30 dic 2015,P  75-71,0,0,0,4,0-0,0-1,0.0%,0-0,-,0,0,0,0,1,1,0,0,-1
vs Rioverde Clavijo,20 dic 2015,G  77-76,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,1,1,0,0,0
@ C.B. Prat,16 dic 2015,P  101-88,0,0,0,5,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Levitec Huesca,11 dic 2015,P  81-85,0,2,0,7,0-1,0-0,0.0%,0-0,-,1,1,2,0,1,0,0,0,2
@ Ourense,4 dic 2015,P  86-75,0,2,0,5,0-1,0-0,0.0%,0-0,-,1,1,2,0,0,0,0,0,1
@ San Pablo Burgos,27 nov 2015,G  74-83,0,1,0,16,0-3,0-1,0.0%,0-0,-,0,1,1,0,0,0,0,0,-3
vs Fibwi Palma,21 nov 2015,P  71-94,0,1,1,10,0-0,0-3,0.0%,0-0,-,0,1,1,1,0,1,0,0,-2
@ Rio Breogan,15 nov 2015,G  83-87,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Leyma Coruña,11 nov 2015,G  79-78,3,2,1,4,0-1,1-2,33.3%,0-0,-,0,2,2,1,0,1,0,3,3
@ Melilla Ciudad Del Deporte 1,6 nov 2015,G  70-76,2,1,0,5,1-1,0-0,100.0%,0-0,-,0,1,1,0,0,1,0,2,2
vs Navarra,16 oct 2015,G  87-76,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,1,0,0,0,1
@ FC Barcelona II,11 oct 2015,G  77-82,2,0,0,7,1-1,0-1,50.0%,0-0,-,0,0,0,0,0,0,0,2,1
