PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Ourense,15 abr 2016,P  85-76,3,7,2,15,1-7,0-0,14.3%,1-2,50.0%,3,4,7,2,1,3,0,3,3
vs Levitec Huesca,8 abr 2016,G  68-64,1,3,1,9,0-0,0-1,0.0%,1-2,50.0%,0,3,3,1,0,1,0,1,2
@ Amics Castello,1 abr 2016,G  68-69,2,0,0,11,1-4,0-0,25.0%,0-0,-,0,0,0,0,0,1,0,2,-2
vs San Pablo Burgos,27 mar 2016,P  63-70,14,3,2,27,7-12,0-3,46.7%,0-1,0.0%,2,1,3,2,2,0,0,14,12
@ Fibwi Palma,20 mar 2016,G  68-74,2,5,1,15,1-3,0-3,16.7%,0-0,-,0,5,5,1,1,1,0,2,3
vs Rio Breogan,12 mar 2016,P  70-76,7,4,0,19,2-4,1-3,42.9%,0-0,-,0,4,4,0,1,1,0,7,7
@ Leyma Coruña,4 mar 2016,P  96-77,6,3,0,19,3-5,0-3,37.5%,0-0,-,1,2,3,0,1,0,0,6,5
vs Melilla Ciudad Del Deporte 1,27 feb 2016,G  95-80,6,1,0,16,3-4,0-1,60.0%,0-0,-,1,0,1,0,1,2,0,6,4
@ Súper Agropal Palencia,19 feb 2016,P  94-63,2,1,1,13,1-2,0-1,33.3%,0-0,-,1,0,1,1,0,4,0,2,-2
vs Hiopos Lleida,13 feb 2016,G  72-66,5,4,0,18,1-2,1-3,40.0%,0-0,-,2,2,4,0,0,0,0,5,6
@ Navarra,5 feb 2016,G  59-69,4,2,0,15,2-4,0-1,40.0%,0-0,-,0,2,2,0,1,0,1,4,5
vs FC Barcelona II,23 ene 2016,P  79-94,2,5,0,12,1-2,0-0,50.0%,0-0,-,1,4,5,0,0,0,0,2,6
@ Caceres,15 ene 2016,P  73-54,3,7,0,19,1-4,0-3,14.3%,1-2,50.0%,3,4,7,0,1,1,0,3,3
vs Alimerka Oviedo,9 ene 2016,P  66-73,0,3,1,16,0-3,0-3,0.0%,0-0,-,1,2,3,1,0,2,0,0,-4
@ Rioverde Clavijo,3 ene 2016,G  59-71,4,1,0,12,1-2,0-0,50.0%,2-4,50.0%,1,0,1,0,0,0,0,4,2
vs Ourense,30 dic 2015,G  96-83,5,4,0,17,0-2,1-3,20.0%,2-2,100.0%,2,2,4,0,0,0,0,5,5
@ Levitec Huesca,20 dic 2015,P  70-69,0,0,1,7,0-1,0-1,0.0%,0-0,-,0,0,0,1,2,2,0,0,-1
vs Amics Castello,16 dic 2015,G  101-88,7,3,1,13,1-1,1-1,100.0%,2-2,100.0%,1,2,3,1,1,2,0,7,10
@ San Pablo Burgos,11 dic 2015,P  89-66,2,3,1,7,1-2,0-1,33.3%,0-0,-,2,1,3,1,1,1,0,2,4
vs Fibwi Palma,5 dic 2015,P  62-83,0,2,1,12,0-1,0-2,0.0%,0-0,-,1,1,2,1,0,2,0,0,-2
@ Rio Breogan,28 nov 2015,P  86-55,6,3,0,20,1-2,1-4,33.3%,1-2,50.0%,1,2,3,0,0,0,0,6,4
vs Leyma Coruña,20 nov 2015,P  61-80,7,2,0,16,2-6,1-2,37.5%,0-0,-,1,1,2,0,0,0,0,7,4
@ Hiopos Lleida,6 nov 2015,P  90-79,5,2,2,17,1-2,1-4,33.3%,0-0,-,1,1,2,2,0,0,0,5,5
vs Navarra,31 oct 2015,P  56-60,2,2,0,16,1-3,0-1,25.0%,0-0,-,2,0,2,0,0,2,0,2,-1
@ FC Barcelona II,25 oct 2015,P  70-69,2,2,0,10,1-2,0-3,20.0%,0-0,-,1,1,2,0,0,0,1,2,1
vs Caceres,17 oct 2015,G  70-62,5,0,0,15,0-1,1-1,50.0%,2-2,100.0%,0,0,0,0,0,2,0,5,2
@ Alimerka Oviedo,10 oct 2015,P  79-69,6,4,1,18,3-6,0-0,50.0%,0-0,-,1,3,4,1,1,2,0,6,7
vs Rioverde Clavijo,3 oct 2015,P  81-108,4,0,0,22,1-2,0-1,33.3%,2-2,100.0%,0,0,0,0,1,0,1,4,4
