PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Navarra,15 abr 2016,G  90-72,8,6,5,17,2-6,1-2,37.5%,1-1,100.0%,4,2,6,5,0,0,0,8,14
@ FC Barcelona II,8 abr 2016,G  72-90,4,8,2,22,1-6,0-0,16.7%,2-4,50.0%,4,4,8,2,1,3,0,4,5
vs Caceres,2 abr 2016,G  77-56,9,9,4,19,4-8,0-2,40.0%,1-2,50.0%,3,6,9,4,1,0,2,9,18
@ Alimerka Oviedo,27 mar 2016,G  78-86,17,8,2,29,6-9,0-1,60.0%,5-6,83.3%,3,5,8,2,1,2,0,17,21
@ C.B. Prat,12 mar 2016,G  70-76,8,1,1,16,2-4,0-0,50.0%,4-4,100.0%,1,0,1,1,0,0,1,8,9
vs Levitec Huesca,5 mar 2016,P  76-87,18,9,1,28,6-8,0-0,75.0%,6-10,60.0%,4,5,9,1,0,1,0,18,21
@ Vendée Challans Basket,27 feb 2016,P  77-74,2,0,0,8,1-2,0-2,25.0%,0-0,-,0,0,0,0,0,0,0,2,-1
vs San Pablo Burgos,20 feb 2016,P  66-76,19,6,1,33,5-7,2-5,58.3%,3-3,100.0%,2,4,6,1,1,1,0,19,21
@ Fibwi Palma,14 feb 2016,G  86-88,12,8,3,35,4-7,0-1,50.0%,4-5,80.0%,3,5,8,3,0,2,0,12,16
vs Ourense,6 feb 2016,G  90-68,17,9,3,22,7-8,1-1,88.9%,0-3,0.0%,3,6,9,3,2,0,0,17,27
vs Leyma Coruña,23 ene 2016,P  84-89,6,9,2,26,2-3,0-3,33.3%,2-2,100.0%,4,5,9,2,0,3,0,6,10
@ Melilla Ciudad Del Deporte 1,15 ene 2016,P  70-61,2,5,0,15,1-4,0-1,20.0%,0-0,-,2,3,5,0,0,2,0,2,1
vs Súper Agropal Palencia,10 ene 2016,P  70-79,13,9,1,25,4-9,1-2,45.5%,2-4,50.0%,4,5,9,1,0,2,0,13,13
vs Quimper,4 dic 2015,G  83-53,4,3,1,20,2-3,0-2,40.0%,0-0,-,0,3,3,1,1,0,0,4,6
@ Golbey-Epinal,1 dic 2015,P  64-52,2,6,0,20,1-1,0-1,50.0%,0-0,-,1,5,6,0,0,2,0,2,5
@ Stade Rochelais,20 nov 2015,P  77-75,4,4,2,21,2-3,0-2,40.0%,0-0,-,1,3,4,2,1,5,1,4,4
vs Angers,6 nov 2015,G  75-74,11,9,1,23,3-3,1-3,66.7%,2-2,100.0%,1,8,9,1,0,3,0,11,16
@ Aguada,5 oct 2015,G  50-63,7,3,2,16,2-4,1-1,60.0%,0-0,-,1,2,3,2,0,0,0,7,10
