PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Navarra,15 abr 2016,G  90-72,10,3,1,19,4-6,0-0,66.7%,2-4,50.0%,1,2,3,1,1,0,0,10,11
@ FC Barcelona II,8 abr 2016,G  72-90,4,6,0,9,1-6,0-0,16.7%,2-2,100.0%,3,3,6,0,0,1,0,4,4
vs Caceres,2 abr 2016,G  77-56,0,3,2,15,0-2,0-0,0.0%,0-0,-,0,3,3,2,0,1,0,0,2
@ Alimerka Oviedo,27 mar 2016,G  78-86,8,6,0,20,4-5,0-0,80.0%,0-0,-,2,4,6,0,0,2,0,8,11
vs Rioverde Clavijo,19 mar 2016,G  76-62,8,6,1,21,4-6,0-0,66.7%,0-2,0.0%,4,2,6,1,1,1,0,8,11
@ C.B. Prat,12 mar 2016,G  70-76,11,4,3,25,4-8,0-0,50.0%,3-5,60.0%,1,3,4,3,0,0,0,11,12
vs Levitec Huesca,5 mar 2016,P  76-87,3,1,1,11,1-2,0-0,50.0%,1-4,25.0%,1,0,1,1,0,2,0,3,-1
@ Amics Castello,26 feb 2016,G  77-79,5,6,0,14,2-3,0-0,66.7%,1-2,50.0%,4,2,6,0,1,3,0,5,7
vs San Pablo Burgos,20 feb 2016,P  66-76,10,6,0,27,4-6,0-0,66.7%,2-4,50.0%,1,5,6,0,1,1,0,10,12
@ Fibwi Palma,14 feb 2016,G  86-88,7,2,0,19,3-6,0-0,50.0%,1-3,33.3%,0,2,2,0,1,1,0,7,4
vs Ourense,6 feb 2016,G  90-68,13,7,0,22,6-10,0-0,60.0%,1-2,50.0%,7,0,7,0,3,0,1,13,19
vs Leyma Coruña,23 ene 2016,P  84-89,9,5,1,20,4-5,0-0,80.0%,1-2,50.0%,2,3,5,1,0,0,0,9,13
@ Melilla Ciudad Del Deporte 1,15 ene 2016,P  70-61,7,2,1,21,3-6,0-0,50.0%,1-2,50.0%,1,1,2,1,0,2,0,7,4
vs Súper Agropal Palencia,10 ene 2016,P  70-79,4,4,0,16,2-4,0-0,50.0%,0-0,-,3,1,4,0,0,2,1,4,5
@ Hiopos Lleida,6 ene 2016,G  72-79,2,2,0,13,1-1,0-0,100.0%,0-0,-,0,2,2,0,1,2,0,2,3
@ Navarra,30 dic 2015,P  79-70,3,7,0,23,1-6,0-0,16.7%,1-4,25.0%,4,3,7,0,1,1,0,3,2
vs FC Barcelona II,20 dic 2015,P  68-83,0,1,1,6,0-2,0-0,0.0%,0-0,-,0,1,1,1,0,2,0,0,-2
@ Caceres,16 dic 2015,P  73-58,6,5,1,21,3-6,0-0,50.0%,0-0,-,2,3,5,1,0,2,0,6,7
vs Alimerka Oviedo,11 dic 2015,G  88-81,2,4,0,17,1-2,0-0,50.0%,0-0,-,0,4,4,0,0,0,0,2,5
@ Rioverde Clavijo,4 dic 2015,G  84-98,5,1,0,8,2-3,0-0,66.7%,1-2,50.0%,0,1,1,0,0,2,0,5,2
vs C.B. Prat,28 nov 2015,G  86-55,8,4,1,16,3-5,0-0,60.0%,2-3,66.7%,1,3,4,1,0,1,0,8,9
@ Levitec Huesca,21 nov 2015,P  83-75,6,5,1,27,3-5,0-0,60.0%,0-0,-,1,4,5,1,1,2,2,6,11
vs Amics Castello,15 nov 2015,P  83-87,14,12,0,31,6-13,0-0,46.2%,2-3,66.7%,8,4,12,0,2,1,0,14,19
@ San Pablo Burgos,11 nov 2015,P  78-73,9,8,0,25,4-10,0-0,40.0%,1-2,50.0%,2,6,8,0,0,1,0,9,9
vs Fibwi Palma,7 nov 2015,P  65-74,14,4,1,25,7-10,0-0,70.0%,0-1,0.0%,3,1,4,1,0,3,0,14,12
@ Ourense,31 oct 2015,G  53-71,12,7,0,30,5-6,0-0,83.3%,2-2,100.0%,3,4,7,0,1,4,0,12,15
@ Leyma Coruña,25 oct 2015,P  71-62,6,3,1,22,3-7,0-0,42.9%,0-0,-,1,2,3,1,0,1,0,6,5
vs Melilla Ciudad Del Deporte 1,17 oct 2015,G  69-68,3,2,0,7,1-2,0-0,50.0%,1-2,50.0%,0,2,2,0,0,2,0,3,1
@ Súper Agropal Palencia,9 oct 2015,G  74-85,5,3,0,8,2-2,0-0,100.0%,1-1,100.0%,1,2,3,0,1,0,0,5,9
vs Hiopos Lleida,2 oct 2015,G  76-74,9,7,0,27,4-7,0-0,57.1%,1-3,33.3%,4,3,7,0,0,1,0,9,10
