PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Navarra,15 abr 2016,G  90-72,0,0,1,5,0-0,0-3,0.0%,0-0,-,0,0,0,1,0,1,0,0,-3
@ FC Barcelona II,8 abr 2016,G  72-90,5,2,0,7,1-1,1-1,100.0%,0-0,-,0,2,2,0,0,1,0,5,6
vs Caceres,2 abr 2016,G  77-56,3,1,0,7,0-0,1-1,100.0%,0-0,-,0,1,1,0,1,0,0,3,5
@ Alimerka Oviedo,27 mar 2016,G  78-86,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Levitec Huesca,5 mar 2016,P  76-87,0,1,0,5,0-2,0-1,0.0%,0-0,-,0,1,1,0,0,1,0,0,-3
@ Amics Castello,26 feb 2016,G  77-79,0,1,0,4,0-0,0-2,0.0%,0-0,-,1,0,1,0,0,1,0,0,-2
vs San Pablo Burgos,20 feb 2016,P  66-76,4,1,0,13,2-3,0-1,50.0%,0-0,-,0,1,1,0,0,1,0,4,2
@ Fibwi Palma,14 feb 2016,G  86-88,0,0,1,7,0-0,0-1,0.0%,0-0,-,0,0,0,1,0,0,0,0,0
vs Ourense,6 feb 2016,G  90-68,9,2,2,20,4-6,0-3,44.4%,1-2,50.0%,0,2,2,2,0,2,0,9,5
vs Leyma Coruña,23 ene 2016,P  84-89,6,0,0,13,0-2,2-5,28.6%,0-0,-,0,0,0,0,1,2,0,6,0
@ Melilla Ciudad Del Deporte 1,15 ene 2016,P  70-61,18,4,1,27,3-6,3-5,54.5%,3-3,100.0%,1,3,4,1,0,1,0,18,17
vs Súper Agropal Palencia,10 ene 2016,P  70-79,4,6,0,17,2-8,0-2,20.0%,0-0,-,1,5,6,0,0,0,0,4,2
@ Hiopos Lleida,6 ene 2016,G  72-79,21,3,0,27,2-2,5-6,87.5%,2-3,66.7%,2,1,3,0,1,1,0,21,22
@ Navarra,30 dic 2015,P  79-70,16,1,0,25,3-6,2-4,50.0%,4-5,80.0%,0,1,1,0,2,1,0,16,12
vs FC Barcelona II,20 dic 2015,P  68-83,9,2,1,15,2-4,1-4,37.5%,2-2,100.0%,0,2,2,1,3,1,0,9,9
@ Caceres,16 dic 2015,P  73-58,14,5,0,21,1-3,2-6,33.3%,6-7,85.7%,0,5,5,0,1,3,0,14,10
vs Alimerka Oviedo,11 dic 2015,G  88-81,4,0,1,14,0-0,0-1,0.0%,4-6,66.7%,0,0,0,1,2,0,0,4,4
@ Rioverde Clavijo,4 dic 2015,G  84-98,11,2,2,14,2-2,2-3,80.0%,1-1,100.0%,0,2,2,2,0,2,0,11,12
vs C.B. Prat,28 nov 2015,G  86-55,7,2,1,19,2-4,1-2,50.0%,0-0,-,0,2,2,1,0,1,0,7,6
@ Levitec Huesca,21 nov 2015,P  83-75,14,0,2,23,3-4,2-6,50.0%,2-2,100.0%,0,0,0,2,1,2,1,14,11
vs Amics Castello,15 nov 2015,P  83-87,14,3,3,25,3-7,2-6,38.5%,2-2,100.0%,1,2,3,3,2,0,0,14,14
@ San Pablo Burgos,11 nov 2015,P  78-73,14,3,1,25,4-5,2-8,46.2%,0-0,-,0,3,3,1,1,0,0,14,12
vs Fibwi Palma,7 nov 2015,P  65-74,9,2,1,23,0-0,3-6,50.0%,0-0,-,0,2,2,1,2,1,0,9,10
@ Ourense,31 oct 2015,G  53-71,16,3,0,21,2-4,4-8,50.0%,0-0,-,0,3,3,0,2,2,0,16,13
@ Leyma Coruña,25 oct 2015,P  71-62,8,2,1,24,1-2,2-8,30.0%,0-0,-,1,1,2,1,3,2,0,8,5
vs Melilla Ciudad Del Deporte 1,17 oct 2015,G  69-68,5,1,0,19,2-3,0-3,33.3%,1-2,50.0%,1,0,1,0,0,1,0,5,0
@ Súper Agropal Palencia,9 oct 2015,G  74-85,7,1,2,26,3-7,0-4,27.3%,1-2,50.0%,0,1,1,2,0,2,0,7,-1
vs Hiopos Lleida,2 oct 2015,G  76-74,5,0,0,15,2-2,0-3,40.0%,1-2,50.0%,0,0,0,0,0,3,0,5,-2
