PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Levitec Huesca,15 abr 2016,P  93-74,11,5,3,23,3-5,1-1,66.7%,2-4,50.0%,3,2,5,3,2,3,0,11,14
vs Amics Castello,8 abr 2016,P  76-83,17,6,2,25,6-7,1-1,87.5%,2-2,100.0%,2,4,6,2,0,4,0,17,20
@ San Pablo Burgos,1 abr 2016,P  85-80,7,4,2,30,2-5,1-1,50.0%,0-0,-,0,4,4,2,1,1,0,7,10
vs Fibwi Palma,27 mar 2016,G  74-70,15,6,4,28,6-6,0-0,100.0%,3-4,75.0%,1,5,6,4,1,1,0,15,24
@ Rio Breogan,19 mar 2016,P  76-62,5,5,6,28,1-1,0-1,50.0%,3-6,50.0%,2,3,5,6,2,0,0,5,14
vs Leyma Coruña,11 mar 2016,P  71-77,14,5,3,31,5-6,0-0,83.3%,4-7,57.1%,0,5,5,3,3,3,0,14,18
@ Melilla Ciudad Del Deporte 1,4 mar 2016,G  85-93,11,12,3,31,5-6,0-1,71.4%,1-1,100.0%,3,9,12,3,0,2,0,11,22
vs Súper Agropal Palencia,28 feb 2016,G  74-70,4,8,4,26,2-5,0-1,33.3%,0-2,0.0%,2,6,8,4,2,1,1,4,12
@ Hiopos Lleida,19 feb 2016,G  62-72,5,6,6,27,1-1,0-0,100.0%,3-4,75.0%,1,5,6,6,5,1,0,5,20
vs Navarra,12 feb 2016,G  75-58,11,4,0,23,3-3,0-0,100.0%,5-6,83.3%,0,4,4,0,2,0,1,11,17
@ FC Barcelona II,5 feb 2016,G  85-91,4,9,4,24,1-1,0-0,100.0%,2-2,100.0%,5,4,9,4,1,1,0,4,17
vs Caceres,22 ene 2016,P  78-81,9,6,1,29,3-4,1-4,50.0%,0-2,0.0%,3,3,6,1,1,0,0,9,11
@ Alimerka Oviedo,16 ene 2016,G  59-73,9,8,2,34,3-4,1-3,57.1%,0-0,-,3,5,8,2,3,2,1,9,18
@ Ourense,10 ene 2016,P  74-72,4,9,1,26,2-2,0-0,100.0%,0-0,-,2,7,9,1,2,4,0,4,12
vs C.B. Prat,3 ene 2016,P  59-71,11,4,4,28,5-7,0-1,62.5%,1-4,25.0%,2,2,4,4,1,4,1,11,11
vs Levitec Huesca,29 dic 2015,P  72-73,5,5,3,26,2-4,0-3,28.6%,1-2,50.0%,2,3,5,3,3,4,0,5,6
@ Amics Castello,20 dic 2015,P  77-76,6,9,5,36,2-6,0-0,33.3%,2-2,100.0%,5,4,9,5,2,2,0,6,16
vs San Pablo Burgos,16 dic 2015,P  81-88,6,0,0,19,1-4,0-1,20.0%,4-4,100.0%,0,0,0,0,2,2,0,6,2
@ Fibwi Palma,12 dic 2015,G  74-77,2,11,4,32,1-4,0-1,20.0%,0-0,-,6,5,11,4,2,1,0,2,14
vs Rio Breogan,4 dic 2015,P  84-98,12,9,4,33,3-5,0-1,50.0%,6-7,85.7%,3,6,9,4,1,2,0,12,20
@ Leyma Coruña,28 nov 2015,P  95-83,6,5,7,33,3-4,0-0,75.0%,0-0,-,1,4,5,7,2,2,0,6,17
vs Melilla Ciudad Del Deporte 1,20 nov 2015,P  72-92,4,5,1,31,1-2,0-0,50.0%,2-2,100.0%,2,3,5,1,0,1,0,4,8
@ Súper Agropal Palencia,15 nov 2015,P  77-76,1,10,5,26,0-0,0-0,-,1-2,50.0%,2,8,10,5,0,2,0,1,13
vs Hiopos Lleida,11 nov 2015,G  67-64,17,9,0,24,6-8,1-1,77.8%,2-4,50.0%,3,6,9,0,2,3,0,17,21
@ Navarra,6 nov 2015,P  81-79,5,6,2,34,0-2,1-3,20.0%,2-2,100.0%,0,6,6,2,2,0,0,5,11
vs FC Barcelona II,30 oct 2015,P  79-89,9,5,4,24,3-4,0-0,75.0%,3-3,100.0%,2,3,5,4,0,2,0,9,15
@ Caceres,23 oct 2015,P  101-93,6,9,6,22,3-3,0-0,100.0%,0-0,-,3,6,9,6,4,1,0,6,24
vs Alimerka Oviedo,16 oct 2015,G  92-64,11,5,1,17,4-4,0-0,100.0%,3-4,75.0%,1,4,5,1,1,2,1,11,16
vs Ourense,11 oct 2015,P  88-90,1,5,5,11,0-0,0-0,-,1-2,50.0%,2,3,5,5,1,0,0,1,11
@ C.B. Prat,3 oct 2015,G  81-108,11,0,3,17,4-5,0-0,80.0%,3-4,75.0%,0,0,0,3,3,1,0,11,14
