PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Fibwi Palma,15 abr 2016,P  87-75,6,5,3,24,3-7,0-0,42.9%,0-0,-,3,2,5,3,3,2,2,6,13
vs Rio Breogan,8 abr 2016,P  72-90,13,11,0,24,5-9,0-0,55.6%,3-3,100.0%,7,4,11,0,0,1,1,13,20
@ Leyma Coruña,1 abr 2016,P  76-71,14,2,1,25,5-7,0-0,71.4%,4-8,50.0%,2,0,2,1,0,2,2,14,11
@ Súper Agropal Palencia,18 mar 2016,P  83-68,8,4,0,24,4-6,0-0,66.7%,0-0,-,3,1,4,0,2,1,1,8,12
vs Hiopos Lleida,13 mar 2016,P  70-78,4,5,3,28,2-6,0-0,33.3%,0-2,0.0%,2,3,5,3,0,1,2,4,7
@ Navarra,4 mar 2016,G  82-84,2,4,0,23,1-4,0-0,25.0%,0-0,-,2,2,4,0,0,2,2,2,3
@ Ourense,26 feb 2016,G  79-83,9,7,1,31,4-6,0-0,66.7%,1-2,50.0%,4,3,7,1,2,2,0,9,14
vs Caceres,19 feb 2016,G  75-69,7,6,0,18,3-6,0-0,50.0%,1-4,25.0%,3,3,6,0,0,1,3,7,9
@ Alimerka Oviedo,13 feb 2016,P  80-68,8,7,1,27,3-10,0-0,30.0%,2-2,100.0%,1,6,7,1,1,0,2,8,12
vs Rioverde Clavijo,5 feb 2016,P  85-91,10,7,2,28,5-7,0-0,71.4%,0-0,-,3,4,7,2,0,2,0,10,15
@ C.B. Prat,23 ene 2016,G  79-94,14,4,1,22,7-11,0-0,63.6%,0-0,-,0,4,4,1,0,2,4,14,17
vs Levitec Huesca,17 ene 2016,G  71-67,8,10,2,26,4-8,0-0,50.0%,0-1,0.0%,4,6,10,2,1,1,0,8,15
@ Amics Castello,8 ene 2016,P  92-76,6,4,0,23,2-8,0-0,25.0%,2-2,100.0%,3,1,4,0,2,1,2,6,7
vs San Pablo Burgos,3 ene 2016,P  64-79,10,8,0,18,5-8,0-0,62.5%,0-0,-,3,5,8,0,0,3,0,10,12
vs Fibwi Palma,30 dic 2015,P  70-73,9,7,2,20,4-6,0-0,66.7%,1-2,50.0%,2,5,7,2,0,1,1,9,15
@ Rio Breogan,20 dic 2015,G  68-83,17,13,1,32,7-12,0-0,58.3%,3-4,75.0%,5,8,13,1,2,0,2,17,29
vs Leyma Coruña,16 dic 2015,P  76-88,16,11,1,30,5-9,0-0,55.6%,6-8,75.0%,3,8,11,1,0,1,3,16,24
@ Melilla Ciudad Del Deporte 1,11 dic 2015,P  80-74,9,8,3,24,3-6,0-0,50.0%,3-5,60.0%,6,2,8,3,0,1,2,9,16
vs Súper Agropal Palencia,5 dic 2015,P  62-71,2,2,0,13,1-4,0-0,25.0%,0-0,-,0,2,2,0,0,2,0,2,-1
@ Hiopos Lleida,28 nov 2015,P  77-71,6,8,0,28,2-4,0-0,50.0%,2-2,100.0%,3,5,8,0,1,2,1,6,12
vs Navarra,22 nov 2015,G  71-64,13,11,0,27,6-8,0-1,66.7%,1-1,100.0%,3,8,11,0,0,0,1,13,22
vs Ourense,15 nov 2015,G  82-72,13,9,2,23,6-9,0-0,66.7%,1-1,100.0%,5,4,9,2,1,0,0,13,22
@ Caceres,11 nov 2015,G  60-74,4,5,0,22,2-6,0-0,33.3%,0-0,-,1,4,5,0,0,0,2,4,7
vs Alimerka Oviedo,6 nov 2015,P  73-90,3,2,0,26,1-3,0-0,33.3%,1-2,50.0%,1,1,2,0,0,3,1,3,0
@ Rioverde Clavijo,30 oct 2015,G  79-89,7,6,1,23,3-5,0-0,60.0%,1-2,50.0%,2,4,6,1,0,0,1,7,12
vs C.B. Prat,25 oct 2015,G  70-69,10,10,1,23,4-6,0-0,66.7%,2-4,50.0%,1,9,10,1,0,0,1,10,18
@ Levitec Huesca,16 oct 2015,G  79-86,17,5,1,31,7-12,0-0,58.3%,3-4,75.0%,2,3,5,1,0,2,2,17,17
vs Amics Castello,11 oct 2015,P  77-82,10,9,1,30,5-13,0-0,38.5%,0-0,-,2,7,9,1,0,0,3,10,15
@ San Pablo Burgos,2 oct 2015,G  77-84,9,2,0,29,3-7,0-0,42.9%,3-3,100.0%,2,0,2,0,1,1,2,9,9
