PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Fibwi Palma,15 abr 2016,P  87-75,0,0,0,6,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
vs Rio Breogan,8 abr 2016,P  72-90,7,0,0,11,2-4,1-1,60.0%,0-0,-,0,0,0,0,2,0,0,7,7
@ Leyma Coruña,1 abr 2016,P  76-71,0,1,0,6,0-0,0-2,0.0%,0-0,-,0,1,1,0,0,0,0,0,-1
vs Melilla Ciudad Del Deporte 1,26 mar 2016,P  73-85,5,1,0,15,0-2,1-4,16.7%,2-2,100.0%,0,1,1,0,2,0,0,5,3
@ Súper Agropal Palencia,18 mar 2016,P  83-68,8,2,2,18,2-2,1-3,60.0%,1-1,100.0%,0,2,2,2,0,0,0,8,10
@ Navarra,4 mar 2016,G  82-84,3,3,1,12,0-2,1-2,25.0%,0-0,-,0,3,3,1,1,0,0,3,5
@ Ourense,26 feb 2016,G  79-83,3,1,0,4,0-0,1-2,50.0%,0-0,-,0,1,1,0,1,0,0,3,4
vs Caceres,19 feb 2016,G  75-69,5,2,0,13,1-1,1-1,100.0%,0-0,-,1,1,2,0,2,1,0,5,8
@ Alimerka Oviedo,13 feb 2016,P  80-68,2,1,0,10,1-3,0-2,20.0%,0-0,-,0,1,1,0,0,0,0,2,-1
vs Rioverde Clavijo,5 feb 2016,P  85-91,2,2,0,8,1-2,0-2,25.0%,0-0,-,1,1,2,0,0,0,0,2,1
@ C.B. Prat,23 ene 2016,G  79-94,11,0,1,19,4-4,1-4,62.5%,0-0,-,0,0,0,1,1,1,0,11,9
vs Levitec Huesca,17 ene 2016,G  71-67,1,2,0,21,0-4,0-0,0.0%,1-2,50.0%,0,2,2,0,1,0,0,1,-1
@ Amics Castello,8 ene 2016,P  92-76,0,0,0,6,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs San Pablo Burgos,3 ene 2016,P  64-79,2,2,1,7,1-1,0-2,33.3%,0-0,-,1,1,2,1,0,0,0,2,3
vs Fibwi Palma,30 dic 2015,P  70-73,1,1,1,16,0-0,0-2,0.0%,1-2,50.0%,0,1,1,1,1,0,0,1,1
@ Rio Breogan,20 dic 2015,G  68-83,10,7,2,25,4-5,0-3,50.0%,2-2,100.0%,2,5,7,2,1,2,0,10,14
vs Leyma Coruña,16 dic 2015,P  76-88,0,0,1,5,0-0,0-0,-,0-0,-,0,0,0,1,0,0,0,0,1
@ Melilla Ciudad Del Deporte 1,11 dic 2015,P  80-74,3,0,0,7,0-1,1-1,50.0%,0-0,-,0,0,0,0,1,1,0,3,2
vs Súper Agropal Palencia,5 dic 2015,P  62-71,0,0,0,3,0-0,0-1,0.0%,0-0,-,0,0,0,0,1,0,0,0,0
vs Ourense,15 nov 2015,G  82-72,11,2,1,19,1-2,3-5,57.1%,0-0,-,0,2,2,1,2,0,0,11,13
@ Caceres,11 nov 2015,G  60-74,6,3,1,23,1-3,0-1,25.0%,4-4,100.0%,1,2,3,1,1,0,0,6,8
vs C.B. Prat,25 oct 2015,G  70-69,0,0,0,6,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Levitec Huesca,16 oct 2015,G  79-86,2,3,0,16,1-2,0-0,50.0%,0-0,-,1,2,3,0,2,1,1,2,6
vs Amics Castello,11 oct 2015,P  77-82,4,0,1,8,2-2,0-0,100.0%,0-0,-,0,0,0,1,0,0,0,4,5
@ San Pablo Burgos,2 oct 2015,G  77-84,3,0,0,6,0-1,1-2,33.3%,0-0,-,0,0,0,0,0,0,0,3,1
