PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Fibwi Palma,15 abr 2016,P  87-75,2,1,0,14,1-2,0-4,16.7%,0-0,-,1,0,1,0,0,0,0,2,-2
vs Rio Breogan,8 abr 2016,P  72-90,0,3,0,18,0-2,0-3,0.0%,0-0,-,2,1,3,0,0,1,0,0,-3
@ Leyma Coruña,1 abr 2016,P  76-71,3,2,0,19,0-1,1-2,33.3%,0-0,-,0,2,2,0,0,0,0,3,3
vs Melilla Ciudad Del Deporte 1,26 mar 2016,P  73-85,5,3,1,15,2-3,0-3,33.3%,1-1,100.0%,1,2,3,1,0,0,0,5,5
vs Hiopos Lleida,13 mar 2016,P  70-78,3,3,0,8,0-0,1-3,33.3%,0-0,-,0,3,3,0,0,0,0,3,4
vs Caceres,19 feb 2016,G  75-69,0,1,0,3,0-1,0-4,0.0%,0-0,-,1,0,1,0,0,0,0,0,-4
vs Rioverde Clavijo,5 feb 2016,P  85-91,0,0,0,3,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ C.B. Prat,23 ene 2016,G  79-94,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Levitec Huesca,17 ene 2016,G  71-67,0,1,1,7,0-1,0-0,0.0%,0-0,-,0,1,1,1,0,0,0,0,1
@ Amics Castello,8 ene 2016,P  92-76,0,2,1,6,0-0,0-1,0.0%,0-0,-,1,1,2,1,0,0,1,0,3
vs San Pablo Burgos,3 ene 2016,P  64-79,5,1,0,10,1-2,1-2,50.0%,0-0,-,1,0,1,0,0,1,0,5,3
vs Fibwi Palma,30 dic 2015,P  70-73,0,2,0,10,0-1,0-0,0.0%,0-0,-,0,2,2,0,0,1,0,0,0
@ Rio Breogan,20 dic 2015,G  68-83,3,4,1,17,0-1,1-2,33.3%,0-0,-,0,4,4,1,0,1,1,3,6
vs Leyma Coruña,16 dic 2015,P  76-88,16,2,1,23,1-1,4-10,45.5%,2-2,100.0%,1,1,2,1,0,1,0,16,12
@ Melilla Ciudad Del Deporte 1,11 dic 2015,P  80-74,3,0,0,6,0-0,1-3,33.3%,0-0,-,0,0,0,0,0,0,0,3,1
@ Hiopos Lleida,28 nov 2015,P  77-71,3,0,1,9,0-1,1-4,20.0%,0-0,-,0,0,0,1,2,0,0,3,2
vs Navarra,22 nov 2015,G  71-64,0,2,0,2,0-2,0-0,0.0%,0-0,-,1,1,2,0,0,0,0,0,0
vs Ourense,15 nov 2015,G  82-72,2,3,1,15,0-1,0-3,0.0%,2-2,100.0%,1,2,3,1,0,2,0,2,0
@ Caceres,11 nov 2015,G  60-74,6,1,0,13,1-2,1-2,50.0%,1-2,50.0%,0,1,1,0,2,1,0,6,5
vs Alimerka Oviedo,6 nov 2015,P  73-90,5,2,0,10,1-1,1-4,40.0%,0-0,-,1,1,2,0,1,0,0,5,5
@ Rioverde Clavijo,30 oct 2015,G  79-89,13,2,0,12,1-2,3-6,50.0%,2-2,100.0%,1,1,2,0,0,0,0,13,11
vs C.B. Prat,25 oct 2015,G  70-69,3,1,0,11,1-1,0-2,33.3%,1-3,33.3%,0,1,1,0,1,0,0,3,1
@ Levitec Huesca,16 oct 2015,G  79-86,2,2,0,6,0-0,0-0,-,2-2,100.0%,1,1,2,0,0,0,0,2,4
vs Amics Castello,11 oct 2015,P  77-82,0,1,0,2,0-0,0-0,-,0-0,-,0,1,1,0,0,1,0,0,0
@ San Pablo Burgos,2 oct 2015,G  77-84,3,2,1,11,0-0,1-2,50.0%,0-0,-,0,2,2,1,0,0,0,3,5
