PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Fibwi Palma,15 abr 2016,P  87-75,12,1,1,21,1-2,3-5,57.1%,1-1,100.0%,0,1,1,1,0,0,0,12,11
vs Rio Breogan,8 abr 2016,P  72-90,3,0,0,18,0-0,1-7,14.3%,0-0,-,0,0,0,0,0,2,0,3,-5
@ Leyma Coruña,1 abr 2016,P  76-71,5,1,2,15,1-1,1-5,33.3%,0-0,-,0,1,1,2,1,3,0,5,2
vs Melilla Ciudad Del Deporte 1,26 mar 2016,P  73-85,0,1,2,15,0-2,0-4,0.0%,0-0,-,0,1,1,2,0,0,0,0,-3
@ Súper Agropal Palencia,18 mar 2016,P  83-68,14,2,1,21,3-4,2-6,50.0%,2-3,66.7%,0,2,2,1,1,4,0,14,8
vs Hiopos Lleida,13 mar 2016,P  70-78,4,1,2,18,0-0,1-2,50.0%,1-2,50.0%,0,1,1,2,0,2,0,4,3
@ Navarra,4 mar 2016,G  82-84,7,1,3,14,3-3,0-5,37.5%,1-2,50.0%,0,1,1,3,0,1,0,7,4
@ Ourense,26 feb 2016,G  79-83,16,0,2,23,2-3,3-7,50.0%,3-5,60.0%,0,0,0,2,0,2,0,16,9
vs Caceres,19 feb 2016,G  75-69,5,0,3,20,0-1,1-3,25.0%,2-2,100.0%,0,0,0,3,0,1,0,5,4
@ Alimerka Oviedo,13 feb 2016,P  80-68,5,0,4,20,1-1,1-1,100.0%,0-0,-,0,0,0,4,2,3,0,5,8
vs Rioverde Clavijo,5 feb 2016,P  85-91,10,2,6,27,2-4,2-4,50.0%,0-0,-,1,1,2,6,0,1,0,10,13
@ C.B. Prat,23 ene 2016,G  79-94,13,2,9,27,1-2,2-3,60.0%,5-5,100.0%,0,2,2,9,1,4,0,13,19
vs Levitec Huesca,17 ene 2016,G  71-67,11,2,7,33,1-3,3-8,36.4%,0-0,-,0,2,2,7,0,4,0,11,9
@ Amics Castello,8 ene 2016,P  92-76,3,1,3,17,0-2,1-3,20.0%,0-1,0.0%,0,1,1,3,0,2,0,3,0
vs San Pablo Burgos,3 ene 2016,P  64-79,2,2,4,24,1-4,0-6,10.0%,0-0,-,0,2,2,4,0,3,0,2,-4
vs Fibwi Palma,30 dic 2015,P  70-73,6,1,2,23,0-2,2-6,25.0%,0-0,-,1,0,1,2,1,0,0,6,4
vs Leyma Coruña,16 dic 2015,P  76-88,5,0,5,25,0-4,1-6,10.0%,2-2,100.0%,0,0,0,5,0,1,0,5,0
@ Melilla Ciudad Del Deporte 1,11 dic 2015,P  80-74,16,0,1,20,2-5,4-8,46.2%,0-0,-,0,0,0,1,0,4,0,16,6
vs Súper Agropal Palencia,5 dic 2015,P  62-71,16,0,4,28,4-5,2-5,60.0%,2-2,100.0%,0,0,0,4,2,5,0,16,13
@ Hiopos Lleida,28 nov 2015,P  77-71,12,0,6,26,0-5,2-5,20.0%,6-7,85.7%,0,0,0,6,0,2,0,12,7
vs Navarra,22 nov 2015,G  71-64,6,3,6,28,2-6,0-1,28.6%,2-2,100.0%,1,2,3,6,0,2,0,6,8
vs Ourense,15 nov 2015,G  82-72,2,1,8,27,1-1,0-3,25.0%,0-0,-,0,1,1,8,0,2,0,2,6
@ Caceres,11 nov 2015,G  60-74,14,1,4,23,2-3,2-6,44.4%,4-4,100.0%,0,1,1,4,0,2,0,14,12
vs Alimerka Oviedo,6 nov 2015,P  73-90,10,0,2,22,0-1,1-4,20.0%,7-7,100.0%,0,0,0,2,1,4,0,10,5
@ Rioverde Clavijo,30 oct 2015,G  79-89,14,2,11,32,1-3,4-9,41.7%,0-0,-,0,2,2,11,1,2,0,14,19
vs C.B. Prat,25 oct 2015,G  70-69,14,0,2,25,1-3,4-6,55.6%,0-0,-,0,0,0,2,0,2,0,14,10
@ Levitec Huesca,16 oct 2015,G  79-86,15,0,4,28,2-6,3-7,38.5%,2-2,100.0%,0,0,0,4,3,0,0,15,14
vs Amics Castello,11 oct 2015,P  77-82,6,3,2,18,1-3,0-4,14.3%,4-4,100.0%,1,2,3,2,1,2,0,6,4
@ San Pablo Burgos,2 oct 2015,G  77-84,10,4,4,21,0-1,2-6,28.6%,4-4,100.0%,0,4,4,4,2,4,0,10,11
