PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Leyma Coruña,15 abr 2016,P  100-86,0,0,0,5,0-1,0-1,0.0%,0-0,-,0,0,0,0,0,1,0,0,-3
vs Melilla Ciudad Del Deporte 1,8 abr 2016,P  64-71,8,7,1,29,1-2,2-3,60.0%,0-0,-,1,6,7,1,2,0,2,8,18
@ Súper Agropal Palencia,1 abr 2016,P  76-65,7,3,0,16,3-5,0-0,60.0%,1-1,100.0%,3,0,3,0,2,0,1,7,11
@ Ourense,23 mar 2016,P  84-69,10,2,0,19,2-2,2-3,80.0%,0-0,-,1,1,2,0,1,2,0,10,10
vs Navarra,18 mar 2016,G  80-70,6,5,2,30,2-5,0-2,28.6%,2-2,100.0%,2,3,5,2,1,0,0,6,9
@ FC Barcelona II,13 mar 2016,G  70-78,7,5,2,28,3-6,0-3,33.3%,1-3,33.3%,1,4,5,2,4,2,0,7,8
vs Caceres,4 mar 2016,G  77-60,5,4,0,13,1-4,1-2,33.3%,0-0,-,3,1,4,0,0,1,0,5,4
@ Alimerka Oviedo,27 feb 2016,P  76-68,4,1,1,13,2-3,0-1,50.0%,0-0,-,0,1,1,1,0,0,0,4,4
vs Rioverde Clavijo,19 feb 2016,P  62-72,2,1,0,4,1-1,0-1,50.0%,0-0,-,0,1,1,0,0,0,0,2,2
@ C.B. Prat,13 feb 2016,P  72-66,6,8,2,23,3-6,0-3,33.3%,0-0,-,4,4,8,2,2,0,0,6,12
vs Levitec Huesca,5 feb 2016,P  58-76,2,1,0,6,1-2,0-1,33.3%,0-0,-,0,1,1,0,0,0,0,2,1
@ Amics Castello,22 ene 2016,P  85-65,6,2,0,21,1-1,0-0,100.0%,4-4,100.0%,1,1,2,0,0,0,0,6,8
vs San Pablo Burgos,15 ene 2016,G  91-84,0,5,1,15,0-0,0-1,0.0%,0-0,-,2,3,5,1,1,0,0,0,6
@ Fibwi Palma,10 ene 2016,G  65-71,9,5,1,20,3-6,0-0,50.0%,3-3,100.0%,1,4,5,1,0,1,0,9,11
vs Rio Breogan,6 ene 2016,P  72-79,3,3,0,6,0-0,1-1,100.0%,0-0,-,3,0,3,0,0,2,0,3,4
vs Leyma Coruña,30 dic 2015,P  82-85,3,2,0,9,0-0,1-1,100.0%,0-0,-,0,2,2,0,0,0,0,3,5
@ Melilla Ciudad Del Deporte 1,20 dic 2015,P  101-78,7,8,1,21,2-4,1-1,60.0%,0-0,-,3,5,8,1,1,2,0,7,13
vs Súper Agropal Palencia,16 dic 2015,P  66-77,4,3,1,16,0-1,0-3,0.0%,4-4,100.0%,3,0,3,1,0,1,0,4,3
vs Ourense,11 dic 2015,P  66-73,0,2,0,7,0-1,0-0,0.0%,0-0,-,1,1,2,0,0,0,0,0,1
@ Navarra,4 dic 2015,G  66-76,2,2,0,6,1-1,0-1,50.0%,0-0,-,0,2,2,0,0,1,0,2,2
vs FC Barcelona II,28 nov 2015,G  77-71,3,1,0,9,1-1,0-1,50.0%,1-2,50.0%,0,1,1,0,1,1,0,3,2
vs Alimerka Oviedo,15 nov 2015,P  72-74,1,1,0,7,0-1,0-0,0.0%,1-2,50.0%,1,0,1,0,2,1,0,1,1
@ Rioverde Clavijo,11 nov 2015,P  67-64,0,0,0,9,0-2,0-2,0.0%,0-0,-,0,0,0,0,0,1,0,0,-5
vs C.B. Prat,6 nov 2015,G  90-79,8,4,0,20,2-2,1-2,75.0%,1-2,50.0%,1,3,4,0,0,0,0,8,10
@ Levitec Huesca,30 oct 2015,P  73-65,0,6,1,18,0-2,0-0,0.0%,0-0,-,1,5,6,1,3,0,0,0,8
vs Amics Castello,23 oct 2015,P  86-97,7,0,2,15,2-3,1-2,60.0%,0-0,-,0,0,0,2,0,0,0,7,7
@ San Pablo Burgos,16 oct 2015,P  67-43,0,2,0,14,0-2,0-0,0.0%,0-0,-,1,1,2,0,0,3,0,0,-3
vs Fibwi Palma,10 oct 2015,P  77-90,8,0,0,15,2-2,1-1,100.0%,1-2,50.0%,0,0,0,0,0,1,0,8,6
@ Rio Breogan,2 oct 2015,P  76-74,4,4,0,17,2-4,0-0,50.0%,0-0,-,2,2,4,0,0,3,0,4,3
