PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Súper Agropal Palencia,1 abr 2016,P  76-65,3,0,0,8,0-0,1-3,33.3%,0-0,-,0,0,0,0,0,1,0,3,0
@ Ourense,23 mar 2016,P  84-69,2,1,1,14,1-1,0-0,100.0%,0-0,-,0,1,1,1,1,0,0,2,5
vs Navarra,18 mar 2016,G  80-70,0,2,1,4,0-0,0-2,0.0%,0-0,-,0,2,2,1,0,0,0,0,1
@ Alimerka Oviedo,27 feb 2016,P  76-68,0,0,0,6,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Amics Castello,22 ene 2016,P  85-65,7,0,1,26,2-3,1-9,25.0%,0-0,-,0,0,0,1,0,1,0,7,-2
vs San Pablo Burgos,15 ene 2016,G  91-84,3,1,0,9,0-0,1-1,100.0%,0-0,-,0,1,1,0,0,0,0,3,4
@ Fibwi Palma,10 ene 2016,G  65-71,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Rio Breogan,6 ene 2016,P  72-79,6,1,0,9,0-1,2-2,66.7%,0-0,-,0,1,1,0,0,1,0,6,5
@ Melilla Ciudad Del Deporte 1,20 dic 2015,P  101-78,3,1,1,17,0-1,1-2,33.3%,0-0,-,1,0,1,1,3,0,0,3,6
vs Súper Agropal Palencia,16 dic 2015,P  66-77,8,0,1,20,1-1,2-5,50.0%,0-0,-,0,0,0,1,0,1,0,8,5
vs Ourense,11 dic 2015,P  66-73,3,0,1,12,1-2,0-2,25.0%,1-1,100.0%,0,0,0,1,0,0,0,3,1
@ Navarra,4 dic 2015,G  66-76,2,1,0,11,1-1,0-2,33.3%,0-0,-,0,1,1,0,1,1,0,2,1
vs FC Barcelona II,28 nov 2015,G  77-71,3,1,0,14,0-0,1-3,33.3%,0-0,-,0,1,1,0,0,3,0,3,-1
@ Caceres,20 nov 2015,G  69-73,5,1,0,14,1-2,1-4,33.3%,0-0,-,0,1,1,0,0,0,0,5,2
vs Alimerka Oviedo,15 nov 2015,P  72-74,9,2,1,18,0-1,3-5,50.0%,0-0,-,0,2,2,1,0,1,0,9,8
@ Rioverde Clavijo,11 nov 2015,P  67-64,0,3,1,7,0-0,0-2,0.0%,0-0,-,0,3,3,1,0,0,0,0,2
vs C.B. Prat,6 nov 2015,G  90-79,0,0,0,9,0-5,0-1,0.0%,0-0,-,0,0,0,0,0,2,0,0,-8
@ Levitec Huesca,30 oct 2015,P  73-65,17,4,1,27,3-3,2-5,62.5%,5-5,100.0%,0,4,4,1,0,1,0,17,18
vs Amics Castello,23 oct 2015,P  86-97,5,1,0,13,1-3,1-4,28.6%,0-0,-,1,0,1,0,0,1,0,5,0
@ San Pablo Burgos,16 oct 2015,P  67-43,0,1,0,20,0-1,0-2,0.0%,0-0,-,0,1,1,0,1,0,0,0,-1
vs Fibwi Palma,10 oct 2015,P  77-90,8,0,0,11,1-1,2-3,75.0%,0-0,-,0,0,0,0,0,0,0,8,7
