PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Rioverde Clavijo,15 abr 2016,G  93-74,17,3,4,22,0-1,5-5,83.3%,2-2,100.0%,1,2,3,4,1,3,0,17,21
@ C.B. Prat,8 abr 2016,P  68-64,2,1,4,23,1-4,0-3,14.3%,0-0,-,1,0,1,4,0,3,0,2,-2
vs Ourense,1 abr 2016,P  65-74,5,0,4,17,1-1,1-5,33.3%,0-0,-,0,0,0,4,1,2,0,5,4
vs Amics Castello,23 mar 2016,G  105-85,5,0,6,20,1-1,1-2,66.7%,0-0,-,0,0,0,6,1,1,0,5,10
@ San Pablo Burgos,18 mar 2016,P  83-70,13,4,2,26,1-3,3-7,40.0%,2-2,100.0%,1,3,4,2,2,2,0,13,13
vs Fibwi Palma,13 mar 2016,P  67-82,3,0,2,19,0-1,1-3,25.0%,0-0,-,0,0,0,2,1,2,0,3,1
@ Rio Breogan,5 mar 2016,G  76-87,4,0,6,17,2-2,0-2,50.0%,0-0,-,0,0,0,6,2,1,0,4,9
vs Grindavik,25 feb 2016,G  79-60,15,4,4,34,7-14,0-2,43.8%,1-2,50.0%,2,2,4,4,0,4,0,15,9
vs Keflavik,19 feb 2016,G  103-87,11,3,3,25,3-3,1-4,57.1%,2-3,66.7%,0,3,3,3,1,1,0,11,13
@ Snaefell,7 feb 2016,G  96-117,12,3,8,25,5-6,0-2,62.5%,2-2,100.0%,0,3,3,8,1,3,0,12,18
vs Hottur,4 feb 2016,G  87-78,6,1,4,25,0-1,2-5,33.3%,0-0,-,0,1,1,4,3,4,0,6,6
@ Njardvik,28 ene 2016,G  89-100,12,6,14,34,6-7,0-1,75.0%,0-0,-,3,3,6,14,3,5,0,12,28
vs Haukar,21 ene 2016,G  96-66,9,2,10,28,2-3,1-2,60.0%,2-2,100.0%,0,2,2,10,1,1,0,9,19
@ Thor Thorl,15 ene 2016,G  73-81,8,3,7,31,4-8,0-2,40.0%,0-0,-,1,2,3,7,3,4,0,8,11
vs Stjarnan,8 ene 2016,P  73-74,19,4,7,34,6-13,1-4,41.2%,4-6,66.7%,1,3,4,7,8,2,0,19,24
vs IR Reykjavik,17 dic 2015,G  89-58,7,6,7,24,1-1,1-2,66.7%,2-4,50.0%,0,6,6,7,0,2,0,7,15
@ FSU Selfoss,10 dic 2015,G  96-103,13,5,7,35,3-5,2-5,50.0%,1-2,50.0%,1,4,5,7,1,2,0,13,18
vs Tindastoll,4 dic 2015,G  80-76,10,10,6,33,3-10,1-3,30.8%,1-1,100.0%,5,5,10,6,4,3,0,10,18
@ Grindavik,26 nov 2015,G  73-93,15,5,6,27,6-9,1-5,50.0%,0-3,0.0%,1,4,5,6,4,5,0,15,15
@ Keflavik,19 nov 2015,P  89-81,17,12,5,35,3-7,2-10,29.4%,5-6,83.3%,2,10,12,5,1,1,0,17,21
vs Snaefell,12 nov 2015,G  103-64,9,8,10,29,0-0,2-6,33.3%,3-3,100.0%,1,7,8,10,2,2,0,9,23
@ Hottur,6 nov 2015,G  50-85,13,7,6,31,2-3,3-6,55.6%,0-0,-,3,4,7,6,1,5,0,13,18
vs Njardvik,30 oct 2015,G  105-76,7,10,9,27,3-6,0-1,42.9%,1-2,50.0%,2,8,10,9,2,3,0,7,20
@ Haukar,23 oct 2015,G  72-95,10,3,5,31,2-3,1-2,60.0%,3-6,50.0%,1,2,3,5,1,5,1,10,10
vs Thor Thorl,18 oct 2015,G  90-80,16,4,7,32,3-7,3-6,46.2%,1-1,100.0%,1,3,4,7,2,2,0,16,20
@ Stjarnan,15 oct 2015,P  80-76,7,8,5,29,2-6,0-6,16.7%,3-4,75.0%,2,6,8,5,1,3,0,7,7
