PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Rioverde Clavijo,15 abr 2016,G  93-74,8,9,1,21,3-4,0-1,60.0%,2-3,66.7%,2,7,9,1,0,4,2,8,13
@ C.B. Prat,8 abr 2016,P  68-64,7,5,0,20,2-9,1-1,30.0%,0-0,-,3,2,5,0,1,0,0,7,6
vs Ourense,1 abr 2016,P  65-74,11,7,0,22,4-5,0-1,66.7%,3-4,75.0%,3,4,7,0,0,0,0,11,15
vs Amics Castello,23 mar 2016,G  105-85,18,6,0,22,8-13,0-0,61.5%,2-2,100.0%,1,5,6,0,1,0,0,18,20
@ San Pablo Burgos,18 mar 2016,P  83-70,7,6,2,31,2-9,1-2,27.3%,0-0,-,3,3,6,2,0,0,0,7,7
vs Fibwi Palma,13 mar 2016,P  67-82,12,5,0,25,5-9,0-1,50.0%,2-3,66.7%,4,1,5,0,0,2,0,12,9
@ Rio Breogan,5 mar 2016,G  76-87,12,10,2,27,5-9,0-0,55.6%,2-2,100.0%,6,4,10,2,3,3,1,12,21
vs Leyma Coruña,26 feb 2016,P  64-78,10,2,3,22,4-8,0-3,36.4%,2-2,100.0%,0,2,2,3,4,2,1,10,11
@ Melilla Ciudad Del Deporte 1,19 feb 2016,P  72-70,10,2,1,20,5-8,0-0,62.5%,0-2,0.0%,1,1,2,1,1,0,0,10,9
vs Súper Agropal Palencia,12 feb 2016,G  89-63,5,5,2,19,1-6,1-2,25.0%,0-0,-,3,2,5,2,0,1,0,5,5
@ Hiopos Lleida,5 feb 2016,G  58-76,10,5,0,30,4-7,0-2,44.4%,2-3,66.7%,0,5,5,0,4,5,0,10,8
vs Navarra,22 ene 2016,G  74-48,12,10,3,27,6-7,0-1,75.0%,0-2,0.0%,4,6,10,3,3,0,1,12,25
@ FC Barcelona II,17 ene 2016,P  71-67,6,11,1,24,3-3,0-2,60.0%,0-0,-,2,9,11,1,0,0,1,6,17
vs Caceres,8 ene 2016,G  74-56,11,6,3,29,4-7,1-2,55.6%,0-0,-,2,4,6,3,2,3,0,11,15
@ Alimerka Oviedo,3 ene 2016,G  60-83,4,8,0,27,2-4,0-0,50.0%,0-0,-,1,7,8,0,0,2,0,4,8
@ Rioverde Clavijo,29 dic 2015,G  72-73,15,4,0,26,7-7,0-1,87.5%,1-2,50.0%,0,4,4,0,0,1,0,15,16
vs C.B. Prat,20 dic 2015,G  70-69,10,10,0,23,5-9,0-1,50.0%,0-2,0.0%,6,4,10,0,0,1,0,10,12
@ Ourense,16 dic 2015,G  69-75,8,7,0,30,4-5,0-1,66.7%,0-0,-,0,7,7,0,2,4,2,8,13
@ Amics Castello,11 dic 2015,G  81-85,9,6,1,14,4-6,0-0,66.7%,1-2,50.0%,2,4,6,1,0,2,3,9,14
vs San Pablo Burgos,5 dic 2015,P  79-80,6,7,0,26,3-9,0-0,33.3%,0-0,-,2,5,7,0,0,4,1,6,4
@ Fibwi Palma,29 nov 2015,P  85-74,16,5,1,29,8-11,0-0,72.7%,0-0,-,3,2,5,1,2,1,0,16,20
vs Rio Breogan,21 nov 2015,G  83-75,6,8,2,28,2-6,0-2,25.0%,2-2,100.0%,2,6,8,2,3,1,0,6,12
@ Leyma Coruña,15 nov 2015,G  72-76,16,6,0,27,7-10,0-0,70.0%,2-5,40.0%,4,2,6,0,3,2,1,16,18
vs Melilla Ciudad Del Deporte 1,11 nov 2015,P  62-71,13,4,2,22,4-7,1-2,55.6%,2-2,100.0%,1,3,4,2,3,2,0,13,16
@ Súper Agropal Palencia,6 nov 2015,P  81-61,6,6,0,18,2-5,0-0,40.0%,2-2,100.0%,4,2,6,0,0,2,1,6,8
vs Hiopos Lleida,30 oct 2015,G  73-65,15,10,2,31,5-8,1-2,60.0%,2-2,100.0%,5,5,10,2,3,3,1,15,24
@ Navarra,23 oct 2015,P  68-62,4,5,2,20,2-10,0-1,18.2%,0-0,-,2,3,5,2,2,2,0,4,2
vs FC Barcelona II,16 oct 2015,P  79-86,11,11,1,28,5-15,0-1,31.3%,1-2,50.0%,6,5,11,1,0,0,0,11,11
@ Caceres,9 oct 2015,P  79-75,14,2,0,17,6-6,0-0,100.0%,2-4,50.0%,1,1,2,0,0,3,0,14,11
vs Alimerka Oviedo,2 oct 2015,G  77-75,9,10,2,31,4-7,0-0,57.1%,1-2,50.0%,2,8,10,2,3,4,0,9,16
