PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Rio Breogan,15 abr 2016,P  90-72,10,9,1,18,5-8,0-0,62.5%,0-2,0.0%,6,3,9,1,2,2,0,10,15
vs Leyma Coruña,8 abr 2016,G  79-76,11,8,3,25,5-6,0-0,83.3%,1-4,25.0%,1,7,8,3,0,2,0,11,16
@ Melilla Ciudad Del Deporte 1,1 abr 2016,P  93-74,19,4,0,22,6-11,0-0,54.5%,7-10,70.0%,3,1,4,0,0,3,1,19,13
@ Hiopos Lleida,18 mar 2016,P  80-70,16,10,2,32,5-11,0-0,45.5%,6-8,75.0%,2,8,10,2,0,1,1,16,20
@ Ourense,11 mar 2016,P  90-74,12,4,0,24,3-5,0-0,60.0%,6-8,75.0%,1,3,4,0,1,4,1,12,10
vs FC Barcelona II,4 mar 2016,P  82-84,20,12,2,26,9-11,0-0,81.8%,2-8,25.0%,4,8,12,2,1,4,0,20,23
vs Alimerka Oviedo,19 feb 2016,G  89-88,16,11,3,34,7-13,0-0,53.8%,2-4,50.0%,5,6,11,3,0,1,1,16,22
@ Rioverde Clavijo,12 feb 2016,P  75-58,12,15,1,27,5-10,0-0,50.0%,2-3,66.7%,5,10,15,1,0,2,0,12,20
vs C.B. Prat,5 feb 2016,P  59-69,16,6,2,31,6-7,0-0,85.7%,4-6,66.7%,2,4,6,2,1,2,0,16,20
@ Levitec Huesca,22 ene 2016,P  74-48,13,9,0,25,4-13,0-0,30.8%,5-7,71.4%,4,5,9,0,0,3,1,13,9
vs Amics Castello,15 ene 2016,G  85-81,17,11,0,23,8-12,0-0,66.7%,1-2,50.0%,3,8,11,0,1,4,1,17,21
@ San Pablo Burgos,8 ene 2016,P  76-61,19,11,0,30,9-14,0-0,64.3%,1-2,50.0%,5,6,11,0,0,3,0,19,21
vs Fibwi Palma,3 ene 2016,P  79-84,11,8,2,31,4-9,0-0,44.4%,3-5,60.0%,5,3,8,2,2,4,0,11,12
vs Rio Breogan,30 dic 2015,G  79-70,10,13,3,39,3-8,0-0,37.5%,4-6,66.7%,4,9,13,3,1,6,0,10,14
@ Leyma Coruña,20 dic 2015,P  74-70,9,13,1,29,3-9,0-0,33.3%,3-5,60.0%,6,7,13,1,0,6,0,9,9
vs Melilla Ciudad Del Deporte 1,16 dic 2015,P  75-83,30,10,2,33,10-15,0-0,66.7%,10-10,100.0%,2,8,10,2,1,1,1,30,38
@ Súper Agropal Palencia,11 dic 2015,P  76-71,11,10,5,33,3-7,0-0,42.9%,5-6,83.3%,5,5,10,5,0,3,0,11,18
vs Hiopos Lleida,4 dic 2015,P  66-76,20,13,2,36,6-10,0-0,60.0%,8-10,80.0%,3,10,13,2,1,2,2,20,30
vs Ourense,27 nov 2015,G  89-79,22,11,2,41,9-17,0-0,52.9%,4-4,100.0%,3,8,11,2,1,3,0,22,25
@ FC Barcelona II,22 nov 2015,P  71-64,11,8,2,30,4-9,0-0,44.4%,3-4,75.0%,3,5,8,2,1,1,0,11,15
vs Caceres,15 nov 2015,G  72-65,27,8,1,30,11-14,0-0,78.6%,5-7,71.4%,3,5,8,1,0,2,0,27,29
@ Alimerka Oviedo,11 nov 2015,P  72-63,22,11,1,34,6-6,0-0,100.0%,10-13,76.9%,2,9,11,1,0,4,0,22,27
vs Rioverde Clavijo,6 nov 2015,G  81-79,19,9,3,31,7-8,0-0,87.5%,5-6,83.3%,6,3,9,3,0,1,1,19,29
@ C.B. Prat,31 oct 2015,G  56-60,14,8,1,32,3-6,0-0,50.0%,8-8,100.0%,1,7,8,1,1,8,1,14,14
vs Levitec Huesca,23 oct 2015,G  68-62,21,10,0,31,9-11,0-0,81.8%,3-5,60.0%,3,7,10,0,1,4,0,21,24
@ Amics Castello,16 oct 2015,P  87-76,15,11,2,28,5-10,0-0,50.0%,5-8,62.5%,3,8,11,2,0,2,0,15,18
vs San Pablo Burgos,9 oct 2015,P  60-75,15,13,1,32,7-13,0-0,53.8%,1-2,50.0%,5,8,13,1,0,7,0,15,15
@ Fibwi Palma,4 oct 2015,P  87-76,20,6,1,33,8-13,0-0,61.5%,4-4,100.0%,1,5,6,1,1,2,0,20,21
