PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs C.B. Prat,15 abr 2016,G  85-76,0,0,0,6,0-0,0-0,-,0-0,-,0,0,0,0,1,0,0,0,1
@ Súper Agropal Palencia,8 abr 2016,P  78-65,3,2,0,17,0-1,1-1,50.0%,0-0,-,1,1,2,0,0,2,0,3,2
@ Levitec Huesca,1 abr 2016,G  65-74,8,1,1,19,2-2,1-3,60.0%,1-1,100.0%,1,0,1,1,0,2,0,8,6
vs Hiopos Lleida,23 mar 2016,G  84-69,0,1,0,9,0-0,0-0,-,0-0,-,1,0,1,0,0,1,0,0,0
@ Amics Castello,18 mar 2016,G  80-86,0,0,0,10,0-1,0-0,0.0%,0-0,-,0,0,0,0,1,4,0,0,-4
vs Navarra,11 mar 2016,G  90-74,18,4,2,29,2-2,4-8,60.0%,2-3,66.7%,0,4,4,2,0,3,1,18,17
@ San Pablo Burgos,4 mar 2016,G  76-82,3,1,0,8,0-1,1-2,33.3%,0-0,-,1,0,1,0,0,0,0,3,2
vs FC Barcelona II,26 feb 2016,P  79-83,4,2,0,13,2-3,0-3,33.3%,0-0,-,2,0,2,0,2,0,0,4,4
@ Fibwi Palma,21 feb 2016,G  90-91,2,0,1,6,1-2,0-0,50.0%,0-0,-,0,0,0,1,2,0,0,2,4
vs Caceres,12 feb 2016,P  59-70,12,3,0,21,2-3,2-7,40.0%,2-2,100.0%,1,2,3,0,4,1,1,12,13
@ Rio Breogan,6 feb 2016,P  90-68,0,1,0,11,0-1,0-1,0.0%,0-0,-,1,0,1,0,0,0,0,0,-1
vs Alimerka Oviedo,22 ene 2016,P  65-69,0,0,0,7,0-0,0-1,0.0%,0-0,-,0,0,0,0,1,0,0,0,0
@ Leyma Coruña,15 ene 2016,G  73-90,5,3,0,15,1-1,1-2,66.7%,0-1,0.0%,1,2,3,0,1,0,0,5,7
vs Rioverde Clavijo,10 ene 2016,G  74-72,9,3,0,11,1-2,2-4,50.0%,1-2,50.0%,1,2,3,0,0,0,0,9,8
@ Melilla Ciudad Del Deporte 1,3 ene 2016,P  98-71,8,1,0,15,1-2,2-4,50.0%,0-0,-,0,1,1,0,0,1,0,8,5
@ C.B. Prat,30 dic 2015,P  96-83,6,1,1,19,2-6,0-0,33.3%,2-2,100.0%,0,1,1,1,0,0,1,6,5
vs Súper Agropal Palencia,20 dic 2015,P  56-63,0,2,1,11,0-0,0-3,0.0%,0-0,-,2,0,2,1,0,0,0,0,0
vs Levitec Huesca,16 dic 2015,P  69-75,9,1,0,21,3-4,1-2,66.7%,0-0,-,1,0,1,0,1,0,0,9,9
@ Hiopos Lleida,11 dic 2015,G  66-73,0,1,0,10,0-3,0-2,0.0%,0-0,-,1,0,1,0,0,0,0,0,-4
vs Amics Castello,4 dic 2015,G  86-75,15,2,0,20,1-1,4-6,71.4%,1-2,50.0%,1,1,2,0,2,0,0,15,16
@ Navarra,27 nov 2015,P  89-79,7,1,0,26,2-3,1-3,50.0%,0-0,-,1,0,1,0,0,1,2,7,6
vs San Pablo Burgos,20 nov 2015,G  71-62,2,0,0,6,1-1,0-2,33.3%,0-1,0.0%,0,0,0,0,0,0,0,2,-1
@ FC Barcelona II,15 nov 2015,P  82-72,11,2,0,23,1-3,3-4,57.1%,0-0,-,1,1,2,0,0,0,0,11,10
vs Fibwi Palma,11 nov 2015,P  67-86,4,0,0,9,2-2,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,4,4
@ Caceres,6 nov 2015,G  64-76,0,1,0,6,0-0,0-1,0.0%,0-0,-,0,1,1,0,0,1,0,0,-1
vs Rio Breogan,31 oct 2015,P  53-71,0,1,0,11,0-0,0-2,0.0%,0-0,-,1,0,1,0,0,1,0,0,-2
@ Alimerka Oviedo,24 oct 2015,P  76-68,2,1,0,8,1-1,0-2,33.3%,0-0,-,1,0,1,0,0,1,0,2,0
vs Leyma Coruña,17 oct 2015,G  68-62,2,3,0,23,1-1,0-2,33.3%,0-0,-,1,2,3,0,0,1,0,2,2
@ Rioverde Clavijo,11 oct 2015,G  88-90,6,0,0,14,0-0,2-3,66.7%,0-0,-,0,0,0,0,0,0,1,6,6
vs Melilla Ciudad Del Deporte 1,2 oct 2015,P  55-75,8,2,0,22,4-5,0-4,44.4%,0-0,-,0,2,2,0,2,1,0,8,6
