PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs C.B. Prat,15 abr 2016,G  85-76,10,4,0,25,2-5,1-5,30.0%,3-4,75.0%,1,3,4,0,1,0,0,10,7
@ Súper Agropal Palencia,8 abr 2016,P  78-65,9,5,4,33,3-6,1-6,33.3%,0-0,-,1,4,5,4,1,1,0,9,10
@ Levitec Huesca,1 abr 2016,G  65-74,16,1,0,24,1-3,4-5,62.5%,2-2,100.0%,1,0,1,0,1,2,1,16,14
vs Hiopos Lleida,23 mar 2016,G  84-69,10,2,1,24,2-5,1-4,33.3%,3-4,75.0%,0,2,2,1,2,1,0,10,7
@ Amics Castello,18 mar 2016,G  80-86,10,5,4,23,1-8,0-4,8.3%,8-9,88.9%,2,3,5,4,1,2,0,10,6
@ San Pablo Burgos,4 mar 2016,G  76-82,23,3,3,34,3-10,2-6,31.3%,11-11,100.0%,0,3,3,3,0,2,0,23,16
vs FC Barcelona II,26 feb 2016,P  79-83,18,3,3,33,2-3,4-7,60.0%,2-5,40.0%,1,2,3,3,1,5,0,18,13
@ Fibwi Palma,21 feb 2016,G  90-91,15,1,1,31,4-4,2-8,50.0%,1-1,100.0%,0,1,1,1,0,0,0,15,11
vs Caceres,12 feb 2016,P  59-70,2,1,0,15,1-3,0-1,25.0%,0-0,-,0,1,1,0,0,3,1,2,-2
@ Rio Breogan,6 feb 2016,P  90-68,7,5,1,19,2-6,1-2,37.5%,0-0,-,4,1,5,1,0,2,1,7,7
vs Alimerka Oviedo,22 ene 2016,P  65-69,7,2,1,20,3-6,0-3,33.3%,1-2,50.0%,1,1,2,1,1,3,0,7,1
@ Leyma Coruña,15 ene 2016,G  73-90,16,2,2,24,2-6,4-7,46.2%,0-0,-,0,2,2,2,1,0,0,16,14
vs Rioverde Clavijo,10 ene 2016,G  74-72,4,2,1,22,1-3,0-5,12.5%,2-2,100.0%,0,2,2,1,3,0,0,4,3
@ Melilla Ciudad Del Deporte 1,3 ene 2016,P  98-71,6,1,0,16,1-4,1-3,28.6%,1-2,50.0%,1,0,1,0,2,0,0,6,3
@ C.B. Prat,30 dic 2015,P  96-83,0,2,1,7,0-2,0-0,0.0%,0-0,-,1,1,2,1,0,2,0,0,-1
vs Súper Agropal Palencia,20 dic 2015,P  56-63,2,3,0,18,1-1,0-3,25.0%,0-0,-,1,2,3,0,0,2,0,2,0
vs Levitec Huesca,16 dic 2015,P  69-75,7,0,0,19,2-4,0-2,33.3%,3-3,100.0%,0,0,0,0,3,2,0,7,4
@ Hiopos Lleida,11 dic 2015,G  66-73,17,5,0,23,1-1,2-6,42.9%,9-12,75.0%,0,5,5,0,0,1,0,17,14
vs Amics Castello,4 dic 2015,G  86-75,2,1,1,23,1-7,0-2,11.1%,0-0,-,1,0,1,1,3,0,0,2,-1
@ Navarra,27 nov 2015,P  89-79,8,1,2,23,1-2,2-3,60.0%,0-0,-,0,1,1,2,0,1,0,8,8
vs San Pablo Burgos,20 nov 2015,G  71-62,4,3,1,21,2-4,0-2,33.3%,0-0,-,0,3,3,1,1,0,0,4,5
@ FC Barcelona II,15 nov 2015,P  82-72,13,1,0,26,5-8,0-4,41.7%,3-4,75.0%,0,1,1,0,0,1,0,13,5
vs Fibwi Palma,11 nov 2015,P  67-86,8,2,1,24,2-4,1-3,42.9%,1-2,50.0%,0,2,2,1,1,6,0,8,1
@ Caceres,6 nov 2015,G  64-76,10,0,3,28,4-5,0-4,44.4%,2-4,50.0%,0,0,0,3,3,1,1,10,9
vs Rio Breogan,31 oct 2015,P  53-71,15,1,1,28,1-2,4-6,62.5%,1-2,50.0%,1,0,1,1,1,3,0,15,11
@ Alimerka Oviedo,24 oct 2015,P  76-68,5,1,1,21,0-1,1-3,25.0%,2-2,100.0%,0,1,1,1,0,2,0,5,2
vs Leyma Coruña,17 oct 2015,G  68-62,0,1,0,17,0-0,0-2,0.0%,0-0,-,0,1,1,0,0,0,0,0,-1
@ Rioverde Clavijo,11 oct 2015,G  88-90,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Melilla Ciudad Del Deporte 1,2 oct 2015,P  55-75,10,1,1,25,1-2,2-5,42.9%,2-2,100.0%,0,1,1,1,0,0,0,10,8
