PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs C.B. Prat,15 abr 2016,G  85-76,12,0,1,25,1-1,3-6,57.1%,1-2,50.0%,0,0,0,1,1,1,0,12,9
@ Súper Agropal Palencia,8 abr 2016,P  78-65,11,1,0,22,1-2,3-5,57.1%,0-0,-,0,1,1,0,0,2,0,11,7
@ Levitec Huesca,1 abr 2016,G  65-74,2,1,0,14,1-2,0-2,25.0%,0-0,-,0,1,1,0,0,0,0,2,0
vs Hiopos Lleida,23 mar 2016,G  84-69,14,7,0,21,5-6,1-2,75.0%,1-3,33.3%,5,2,7,0,1,1,0,14,17
@ Amics Castello,18 mar 2016,G  80-86,9,7,0,27,3-3,1-4,57.1%,0-0,-,1,6,7,0,0,3,0,9,10
vs Navarra,11 mar 2016,G  90-74,15,2,0,28,7-9,0-3,58.3%,1-2,50.0%,1,1,2,0,1,5,0,15,7
@ San Pablo Burgos,4 mar 2016,G  76-82,3,3,1,22,0-3,1-2,20.0%,0-0,-,2,1,3,1,0,0,0,3,3
vs FC Barcelona II,26 feb 2016,P  79-83,7,1,0,23,3-5,0-1,50.0%,1-1,100.0%,0,1,1,0,2,2,0,7,5
@ Fibwi Palma,21 feb 2016,G  90-91,10,2,3,27,1-4,2-3,42.9%,2-2,100.0%,1,1,2,3,1,1,0,10,11
vs Caceres,12 feb 2016,P  59-70,3,3,0,19,1-2,0-1,33.3%,1-2,50.0%,1,2,3,0,1,2,0,3,2
@ Rio Breogan,6 feb 2016,P  90-68,6,5,0,29,1-4,1-2,33.3%,1-1,100.0%,1,4,5,0,0,4,0,6,3
vs Alimerka Oviedo,22 ene 2016,P  65-69,16,6,1,32,5-6,1-4,60.0%,3-4,75.0%,1,5,6,1,1,1,0,16,18
@ Leyma Coruña,15 ene 2016,G  73-90,11,3,1,16,1-1,2-3,75.0%,3-4,75.0%,0,3,3,1,3,0,0,11,16
vs Rioverde Clavijo,10 ene 2016,G  74-72,9,3,0,29,3-6,1-3,44.4%,0-0,-,0,3,3,0,0,1,0,9,6
@ Melilla Ciudad Del Deporte 1,3 ene 2016,P  98-71,11,6,0,25,3-5,1-3,50.0%,2-2,100.0%,4,2,6,0,1,0,0,11,14
@ C.B. Prat,30 dic 2015,P  96-83,9,3,1,25,3-7,1-2,44.4%,0-0,-,1,2,3,1,0,2,0,9,6
vs Súper Agropal Palencia,20 dic 2015,P  56-63,4,5,0,30,1-4,0-5,11.1%,2-2,100.0%,4,1,5,0,1,2,0,4,0
vs Levitec Huesca,16 dic 2015,P  69-75,6,0,1,19,0-2,2-4,33.3%,0-0,-,0,0,0,1,2,0,0,6,5
@ Hiopos Lleida,11 dic 2015,G  66-73,5,5,0,29,1-3,1-6,22.2%,0-0,-,2,3,5,0,1,3,0,5,1
vs Amics Castello,4 dic 2015,G  86-75,3,6,1,18,0-1,1-6,14.3%,0-0,-,2,4,6,1,1,1,0,3,4
@ Navarra,27 nov 2015,P  89-79,5,6,2,15,1-1,1-1,100.0%,0-0,-,0,6,6,2,1,3,1,5,12
vs San Pablo Burgos,20 nov 2015,G  71-62,10,5,0,29,2-3,2-4,57.1%,0-0,-,2,3,5,0,0,2,1,10,11
@ FC Barcelona II,15 nov 2015,P  82-72,1,2,0,24,0-3,0-3,0.0%,1-2,50.0%,1,1,2,0,1,1,0,1,-4
vs Fibwi Palma,11 nov 2015,P  67-86,9,6,1,27,3-3,1-3,66.7%,0-0,-,4,2,6,1,1,2,0,9,13
@ Caceres,6 nov 2015,G  64-76,0,7,0,25,0-4,0-0,0.0%,0-0,-,3,4,7,0,0,1,0,0,2
vs Rio Breogan,31 oct 2015,P  53-71,0,0,0,16,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,1,0,0,-3
@ Alimerka Oviedo,24 oct 2015,P  76-68,3,2,1,23,0-2,1-5,14.3%,0-0,-,1,1,2,1,1,1,0,3,0
vs Leyma Coruña,17 oct 2015,G  68-62,5,1,0,17,0-0,1-3,33.3%,2-2,100.0%,0,1,1,0,2,2,0,5,4
@ Rioverde Clavijo,11 oct 2015,G  88-90,12,1,1,28,1-2,2-3,60.0%,4-4,100.0%,0,1,1,1,1,0,0,12,13
vs Melilla Ciudad Del Deporte 1,2 oct 2015,P  55-75,0,1,0,15,0-0,0-2,0.0%,0-0,-,0,1,1,0,0,3,0,0,-4
