PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Caceres,15 abr 2016,G  73-57,8,6,5,25,3-5,0-2,42.9%,2-4,50.0%,0,6,6,5,0,3,0,8,10
@ Alimerka Oviedo,8 abr 2016,P  80-76,6,2,4,18,3-4,0-2,50.0%,0-1,0.0%,0,2,2,4,0,2,0,6,6
vs Rioverde Clavijo,1 abr 2016,G  85-80,5,1,4,20,2-2,0-0,100.0%,1-2,50.0%,1,0,1,4,0,2,0,5,7
@ C.B. Prat,27 mar 2016,G  63-70,12,3,3,23,2-7,0-1,25.0%,8-8,100.0%,1,2,3,3,1,1,1,12,13
@ Amics Castello,11 mar 2016,G  60-79,9,3,4,23,3-4,0-1,60.0%,3-3,100.0%,1,2,3,4,1,4,0,9,11
vs Ourense,4 mar 2016,P  76-82,5,2,3,22,2-5,0-1,33.3%,1-1,100.0%,0,2,2,3,0,3,0,5,3
vs Fibwi Palma,26 feb 2016,G  77-67,0,3,3,22,0-2,0-0,0.0%,0-0,-,2,1,3,3,0,3,1,0,2
@ Rio Breogan,20 feb 2016,G  66-76,7,2,3,20,3-3,0-2,60.0%,1-4,25.0%,0,2,2,3,0,0,0,7,7
vs Leyma Coruña,12 feb 2016,P  82-86,12,3,4,24,4-4,1-2,83.3%,1-2,50.0%,0,3,3,4,2,2,1,12,18
@ Melilla Ciudad Del Deporte 1,5 feb 2016,P  66-65,5,5,3,26,1-6,0-0,16.7%,3-9,33.3%,1,4,5,3,1,2,1,5,2
vs Súper Agropal Palencia,22 ene 2016,P  74-82,9,5,8,34,3-7,0-2,33.3%,3-4,75.0%,0,5,5,8,3,3,1,9,16
@ Hiopos Lleida,15 ene 2016,P  91-84,4,2,4,24,2-8,0-2,20.0%,0-2,0.0%,1,1,2,4,3,5,0,4,-2
vs Navarra,8 ene 2016,G  76-61,6,3,3,14,3-5,0-0,60.0%,0-0,-,0,3,3,3,2,1,0,6,11
@ FC Barcelona II,3 ene 2016,G  64-79,7,2,5,26,2-4,1-2,50.0%,0-0,-,0,2,2,5,1,3,0,7,9
@ Caceres,30 dic 2015,P  75-68,4,4,5,23,2-3,0-2,40.0%,0-0,-,0,4,4,5,2,4,0,4,8
vs Alimerka Oviedo,20 dic 2015,G  78-63,5,2,3,14,2-4,0-0,50.0%,1-1,100.0%,2,0,2,3,1,2,0,5,7
@ Rioverde Clavijo,16 dic 2015,G  81-88,3,5,1,23,1-2,0-2,25.0%,1-2,50.0%,0,5,5,1,0,1,1,3,5
vs C.B. Prat,11 dic 2015,G  89-66,11,4,1,22,1-1,1-2,66.7%,6-8,75.0%,1,3,4,1,2,1,1,11,15
@ Levitec Huesca,5 dic 2015,G  79-80,6,1,0,14,3-6,0-0,50.0%,0-0,-,1,0,1,0,0,1,0,6,3
vs Amics Castello,27 nov 2015,P  74-83,4,1,3,8,2-2,0-1,66.7%,0-0,-,1,0,1,3,0,0,0,4,7
@ Ourense,20 nov 2015,P  71-62,5,4,3,21,1-1,0-0,100.0%,3-3,100.0%,0,4,4,3,0,5,0,5,7
@ Fibwi Palma,15 nov 2015,P  86-79,6,1,0,17,0-2,2-2,50.0%,0-0,-,0,1,1,0,0,3,1,6,3
vs Rio Breogan,11 nov 2015,G  78-73,9,4,7,20,3-6,0-0,50.0%,3-6,50.0%,1,3,4,7,2,0,0,9,16
@ Leyma Coruña,7 nov 2015,G  66-73,9,4,5,26,2-5,1-2,42.9%,2-2,100.0%,2,2,4,5,1,2,2,9,15
vs Melilla Ciudad Del Deporte 1,30 oct 2015,G  85-81,17,2,4,30,1-3,4-6,55.6%,3-4,75.0%,0,2,2,4,2,2,0,17,18
@ Súper Agropal Palencia,23 oct 2015,P  81-62,6,1,3,28,1-6,1-2,25.0%,1-2,50.0%,0,1,1,3,1,2,0,6,2
vs Hiopos Lleida,16 oct 2015,G  67-43,2,3,2,20,0-2,0-2,0.0%,2-2,100.0%,1,2,3,2,0,2,0,2,1
@ Navarra,9 oct 2015,G  60-75,9,1,5,25,3-7,0-1,37.5%,3-4,75.0%,0,1,1,5,0,0,0,9,9
vs FC Barcelona II,2 oct 2015,P  77-84,4,4,6,32,1-2,0-1,33.3%,2-4,50.0%,0,4,4,6,1,2,0,4,9
