PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs C.B. Prat,28 abr 2017,P  74-82,5,2,0,20,1-1,0-1,50.0%,3-3,100.0%,0,2,2,0,0,0,0,5,6
@ Alimerka Oviedo,21 abr 2017,P  78-72,3,6,0,16,0-2,1-4,16.7%,0-0,-,1,5,6,0,1,0,0,3,5
vs Rio Breogan,16 abr 2017,G  86-84,7,5,0,17,1-4,1-4,25.0%,2-2,100.0%,1,4,5,0,2,1,0,7,7
@ Hiopos Lleida,7 abr 2017,P  88-80,4,2,1,15,0-2,1-1,33.3%,1-2,50.0%,1,1,2,1,0,0,0,4,4
vs Súper Agropal Palencia,31 mar 2017,P  83-90,9,3,2,16,2-3,1-3,50.0%,2-2,100.0%,2,1,3,2,0,1,0,9,10
@ Caceres,24 mar 2017,P  83-82,5,1,2,20,1-4,1-2,33.3%,0-0,-,1,0,1,2,0,1,1,5,4
vs San Pablo Burgos,17 mar 2017,P  70-87,2,2,0,7,1-2,0-2,25.0%,0-0,-,1,1,2,0,0,0,0,2,1
@ Rioverde Clavijo,10 mar 2017,G  68-82,3,0,0,9,0-0,1-2,50.0%,0-0,-,0,0,0,0,0,0,0,3,2
vs Ourense,3 mar 2017,P  73-79,3,1,1,9,0-0,1-1,100.0%,0-0,-,0,1,1,1,0,2,0,3,3
@ FC Barcelona II,24 feb 2017,P  78-70,8,2,0,29,1-3,2-6,33.3%,0-0,-,1,1,2,0,1,0,0,8,5
vs Levitec Huesca,17 feb 2017,P  71-75,18,1,1,22,3-4,4-5,77.8%,0-0,-,0,1,1,1,0,0,0,18,18
vs Fibwi Palma,10 feb 2017,P  76-81,3,1,0,8,0-0,1-2,50.0%,0-0,-,0,1,1,0,0,0,0,3,3
@ Marin Peixe Galego,3 feb 2017,P  76-60,3,0,0,9,0-0,1-3,33.3%,0-0,-,0,0,0,0,0,0,0,3,1
vs Leyma Coruña,20 ene 2017,P  85-89,2,2,0,7,1-2,0-2,25.0%,0-0,-,0,2,2,0,0,0,0,2,1
vs Gipuzkoa Basket,8 ene 2017,G  77-60,4,1,0,9,1-1,0-3,25.0%,2-2,100.0%,0,1,1,0,1,0,0,4,3
@ Amics Castello,4 ene 2017,G  81-83,2,2,0,11,1-1,0-2,33.3%,0-0,-,0,2,2,0,0,1,0,2,1
@ C.B. Prat,30 dic 2016,P  106-100,8,4,0,19,4-4,0-1,80.0%,0-0,-,0,4,4,0,1,1,1,8,12
vs Alimerka Oviedo,20 dic 2016,P  75-86,16,11,1,32,6-11,0-3,42.9%,4-7,57.1%,5,6,11,1,0,1,0,16,16
@ Rio Breogan,17 dic 2016,G  80-88,13,5,0,25,2-2,1-2,75.0%,6-6,100.0%,3,2,5,0,1,0,0,13,18
vs Hiopos Lleida,10 dic 2016,G  87-75,2,6,0,17,1-2,0-1,33.3%,0-0,-,0,6,6,0,0,0,1,2,7
@ Súper Agropal Palencia,2 dic 2016,G  82-94,10,3,0,16,5-5,0-0,100.0%,0-2,0.0%,3,0,3,0,0,0,0,10,11
vs Caceres,29 nov 2016,P  80-86,2,1,0,5,1-1,0-1,50.0%,0-0,-,1,0,1,0,0,0,0,2,2
@ San Pablo Burgos,25 nov 2016,P  97-84,2,0,1,12,1-2,0-0,50.0%,0-0,-,0,0,0,1,0,0,0,2,2
vs Rioverde Clavijo,19 nov 2016,G  87-71,3,0,0,6,0-1,1-2,33.3%,0-0,-,0,0,0,0,0,0,0,3,1
@ Ourense,12 nov 2016,G  71-76,3,1,0,6,0-1,1-2,33.3%,0-0,-,0,1,1,0,0,0,0,3,2
@ Levitec Huesca,4 nov 2016,G  79-81,2,1,0,10,1-1,0-1,50.0%,0-0,-,1,0,1,0,1,1,0,2,2
@ Fibwi Palma,30 oct 2016,P  70-63,0,3,1,6,0-1,0-0,0.0%,0-0,-,0,3,3,1,0,0,0,0,3
vs Marin Peixe Galego,22 oct 2016,G  82-71,0,6,0,13,0-1,0-0,0.0%,0-0,-,2,4,6,0,1,0,0,0,6
@ Leyma Coruña,18 oct 2016,P  79-65,0,0,0,1,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Melilla Ciudad Del Deporte 1,15 oct 2016,G  93-84,2,0,0,3,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2,2
