PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs C.B. Prat,28 abr 2017,P  74-82,13,6,5,35,5-9,1-2,54.5%,0-0,-,2,4,6,5,0,1,0,13,18
@ Alimerka Oviedo,21 abr 2017,P  78-72,20,12,2,38,5-10,2-7,41.2%,4-7,57.1%,5,7,12,2,0,1,0,20,20
vs Rio Breogan,16 abr 2017,G  86-84,19,6,0,38,5-10,2-5,46.7%,3-4,75.0%,2,4,6,0,3,1,0,19,18
@ Hiopos Lleida,7 abr 2017,P  88-80,20,5,0,34,4-8,2-7,40.0%,6-7,85.7%,2,3,5,0,1,2,0,20,14
vs Súper Agropal Palencia,31 mar 2017,P  83-90,21,1,1,34,5-6,3-5,72.7%,2-2,100.0%,0,1,1,1,1,1,0,21,20
@ Caceres,24 mar 2017,P  83-82,17,5,4,40,4-10,3-10,35.0%,0-0,-,0,5,5,4,2,1,0,17,14
vs San Pablo Burgos,17 mar 2017,P  70-87,19,4,1,38,7-10,1-5,53.3%,2-4,50.0%,2,2,4,1,2,2,0,19,15
@ Rioverde Clavijo,10 mar 2017,G  68-82,24,6,0,35,6-11,3-5,56.3%,3-4,75.0%,1,5,6,0,1,1,0,24,22
vs Ourense,3 mar 2017,P  73-79,23,3,3,32,7-10,3-6,62.5%,0-1,0.0%,2,1,3,3,1,2,0,23,21
@ FC Barcelona II,24 feb 2017,P  78-70,32,4,1,37,8-15,3-9,45.8%,7-7,100.0%,2,2,4,1,1,5,0,32,20
vs Levitec Huesca,17 feb 2017,P  71-75,22,3,3,34,7-11,2-4,60.0%,2-3,66.7%,1,2,3,3,0,2,0,22,19
vs Fibwi Palma,10 feb 2017,P  76-81,26,5,1,36,7-12,1-3,53.3%,9-11,81.8%,2,3,5,1,2,0,0,26,25
@ Marin Peixe Galego,3 feb 2017,P  76-60,10,4,2,36,5-12,0-7,26.3%,0-4,0.0%,3,1,4,2,1,4,0,10,-5
vs Leyma Coruña,20 ene 2017,P  85-89,16,6,1,33,4-12,2-7,31.6%,2-3,66.7%,4,2,6,1,1,3,0,16,7
@ Melilla Ciudad Del Deporte 1,13 ene 2017,P  80-72,32,2,4,35,9-13,2-4,64.7%,8-9,88.9%,1,1,2,4,0,1,0,32,30
vs Gipuzkoa Basket,8 ene 2017,G  77-60,19,7,2,34,5-14,1-2,37.5%,6-6,100.0%,3,4,7,2,0,1,0,19,17
@ Amics Castello,4 ene 2017,G  81-83,23,7,1,35,5-8,4-8,56.3%,1-2,50.0%,2,5,7,1,1,2,2,23,24
@ C.B. Prat,30 dic 2016,P  106-100,32,9,3,43,11-19,1-3,54.5%,7-7,100.0%,9,0,9,3,5,3,0,32,36
vs Alimerka Oviedo,20 dic 2016,P  75-86,10,0,0,26,3-10,0-2,25.0%,4-6,66.7%,0,0,0,0,2,0,0,10,1
@ Rio Breogan,17 dic 2016,G  80-88,24,7,0,37,8-15,1-3,50.0%,5-6,83.3%,2,5,7,0,1,1,2,24,23
vs Hiopos Lleida,10 dic 2016,G  87-75,15,5,0,33,5-11,1-4,40.0%,2-2,100.0%,2,3,5,0,2,2,0,15,11
@ Súper Agropal Palencia,2 dic 2016,G  82-94,29,9,1,35,6-11,5-9,55.0%,2-3,66.7%,4,5,9,1,2,2,0,29,29
vs Caceres,29 nov 2016,P  80-86,22,5,1,33,6-11,2-3,57.1%,4-5,80.0%,2,3,5,1,2,1,1,22,23
@ San Pablo Burgos,25 nov 2016,P  97-84,26,6,0,35,6-13,3-8,42.9%,5-8,62.5%,2,4,6,0,1,0,0,26,18
vs Rioverde Clavijo,19 nov 2016,G  87-71,19,3,3,33,6-8,1-2,70.0%,4-8,50.0%,1,2,3,3,0,1,0,19,17
@ Ourense,12 nov 2016,G  71-76,17,0,0,35,5-12,1-2,42.9%,4-4,100.0%,0,0,0,0,3,1,0,17,11
vs FC Barcelona II,8 nov 2016,G  72-65,19,3,0,34,8-11,0-3,57.1%,3-3,100.0%,1,2,3,0,3,1,1,19,19
@ Levitec Huesca,4 nov 2016,G  79-81,16,3,1,32,8-13,0-5,44.4%,0-2,0.0%,2,1,3,1,0,0,0,16,8
@ Fibwi Palma,30 oct 2016,P  70-63,13,3,2,32,5-12,1-2,42.9%,0-0,-,1,2,3,2,0,3,2,13,9
vs Marin Peixe Galego,22 oct 2016,G  82-71,16,3,2,28,3-8,1-3,36.4%,7-8,87.5%,1,2,3,2,2,2,2,16,15
@ Leyma Coruña,18 oct 2016,P  79-65,11,3,2,30,3-9,0-5,21.4%,5-6,83.3%,1,2,3,2,1,2,0,11,3
vs Melilla Ciudad Del Deporte 1,15 oct 2016,G  93-84,27,5,3,33,9-13,2-3,68.8%,3-4,75.0%,2,3,5,3,2,2,1,27,30
@ Gipuzkoa Basket,7 oct 2016,P  69-54,13,5,1,37,6-12,0-3,40.0%,1-2,50.0%,2,3,5,1,0,2,1,13,8
vs Amics Castello,1 oct 2016,G  87-76,21,7,2,29,5-9,3-7,50.0%,2-2,100.0%,2,5,7,2,1,1,0,21,22
