PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Araberri Basket Club,28 abr 2017,G  74-82,3,0,3,24,1-2,0-2,25.0%,1-1,100.0%,0,0,0,3,2,0,0,3,5
vs Fibwi Palma,21 abr 2017,P  56-82,12,3,0,21,0-2,4-12,28.6%,0-0,-,0,3,3,0,1,3,0,12,3
@ Marin Peixe Galego,16 abr 2017,G  76-84,14,1,2,20,2-2,3-8,50.0%,1-1,100.0%,0,1,1,2,0,1,0,14,11
vs Leyma Coruña,7 abr 2017,P  76-81,3,3,2,13,0-0,1-6,16.7%,0-0,-,0,3,3,2,0,0,0,3,3
@ Melilla Ciudad Del Deporte 1,31 mar 2017,P  77-71,2,3,0,11,1-2,0-3,20.0%,0-0,-,1,2,3,0,0,0,0,2,1
vs Gipuzkoa Basket,24 mar 2017,G  80-70,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Alimerka Oviedo,3 mar 2017,P  79-97,0,0,1,3,0-0,0-1,0.0%,0-0,-,0,0,0,1,1,1,0,0,0
@ Rio Breogan,24 feb 2017,P  90-76,17,0,3,26,4-5,3-7,58.3%,0-0,-,0,0,0,3,3,1,0,17,17
vs Hiopos Lleida,17 feb 2017,G  74-73,12,2,1,32,1-4,2-9,23.1%,4-4,100.0%,0,2,2,1,2,3,0,12,4
@ Súper Agropal Palencia,10 feb 2017,P  88-77,20,1,1,33,3-6,4-5,63.6%,2-3,66.7%,0,1,1,1,2,4,0,20,15
vs Caceres,3 feb 2017,P  68-88,9,2,1,26,3-3,1-6,44.4%,0-0,-,0,2,2,1,1,1,0,9,7
@ San Pablo Burgos,20 ene 2017,P  87-64,3,1,3,18,0-2,1-7,11.1%,0-0,-,0,1,1,3,2,3,0,3,-2
vs Rioverde Clavijo,13 ene 2017,G  79-70,14,5,3,25,2-8,2-7,26.7%,4-5,80.0%,1,4,5,3,0,6,0,14,4
@ Ourense,8 ene 2017,G  74-79,12,3,5,29,1-2,3-6,50.0%,1-3,33.3%,0,3,3,5,4,1,0,12,17
vs FC Barcelona II,4 ene 2017,P  77-78,21,0,1,32,4-9,4-11,40.0%,1-1,100.0%,0,0,0,1,3,1,1,21,13
vs Araberri Basket Club,30 dic 2016,G  106-100,17,1,4,33,3-3,3-6,66.7%,2-4,50.0%,0,1,1,4,1,1,0,17,17
@ Fibwi Palma,20 dic 2016,P  84-72,10,1,3,27,1-2,2-6,37.5%,2-2,100.0%,0,1,1,3,2,2,1,10,10
vs Marin Peixe Galego,17 dic 2016,G  96-81,13,3,0,23,1-1,3-5,66.7%,2-2,100.0%,0,3,3,0,1,1,0,13,14
@ Leyma Coruña,10 dic 2016,G  90-97,9,2,2,31,1-5,2-5,30.0%,1-2,50.0%,0,2,2,2,1,2,0,9,4
vs Melilla Ciudad Del Deporte 1,3 dic 2016,P  77-87,5,1,3,22,1-2,1-3,40.0%,0-0,-,0,1,1,3,1,2,0,5,5
@ Gipuzkoa Basket,29 nov 2016,P  76-65,4,3,1,21,1-1,0-5,16.7%,2-2,100.0%,0,3,3,1,1,3,0,4,1
vs Amics Castello,26 nov 2016,P  84-101,10,0,3,24,2-5,2-5,40.0%,0-0,-,0,0,0,3,0,2,0,10,5
vs Levitec Huesca,19 nov 2016,G  93-78,5,0,4,18,1-2,1-5,28.6%,0-0,-,0,0,0,4,0,0,0,5,4
@ Alimerka Oviedo,12 nov 2016,P  80-74,5,1,4,25,1-4,1-5,22.2%,0-0,-,1,0,1,4,3,1,1,5,6
vs Rio Breogan,8 nov 2016,P  84-92,9,2,0,20,2-4,1-2,50.0%,2-2,100.0%,0,2,2,0,2,4,0,9,6
@ Hiopos Lleida,4 nov 2016,P  67-65,6,1,2,19,0-0,2-3,66.7%,0-0,-,0,1,1,2,0,2,0,6,6
vs Súper Agropal Palencia,29 oct 2016,P  62-81,4,1,0,8,2-4,0-2,33.3%,0-0,-,1,0,1,0,0,4,0,4,-3
@ Caceres,21 oct 2016,P  68-65,2,0,2,16,1-3,0-1,25.0%,0-0,-,0,0,0,2,0,0,0,2,1
vs San Pablo Burgos,18 oct 2016,P  65-73,0,1,0,11,0-4,0-0,0.0%,0-0,-,0,1,1,0,0,2,1,0,-4
@ Rioverde Clavijo,14 oct 2016,G  73-76,3,3,0,17,0-1,1-2,33.3%,0-0,-,0,3,3,0,0,1,0,3,3
vs Ourense,8 oct 2016,G  84-72,3,2,1,21,0-2,1-2,25.0%,0-0,-,0,2,2,1,0,1,0,3,2
@ FC Barcelona II,2 oct 2016,G  72-84,2,0,0,18,1-2,0-2,25.0%,0-0,-,0,0,0,0,0,1,0,2,-2
