PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Araberri Basket Club,28 abr 2017,G  74-82,9,2,4,29,0-2,2-6,25.0%,3-3,100.0%,0,2,2,4,2,0,0,9,11
vs Fibwi Palma,21 abr 2017,P  56-82,4,2,6,23,1-3,0-1,25.0%,2-2,100.0%,0,2,2,6,2,2,0,4,9
@ Marin Peixe Galego,16 abr 2017,G  76-84,14,7,2,28,4-5,1-5,50.0%,3-4,75.0%,0,7,7,2,4,3,0,14,18
vs Leyma Coruña,7 abr 2017,P  76-81,17,5,2,33,2-4,3-6,50.0%,4-4,100.0%,0,5,5,2,2,2,0,17,19
@ Melilla Ciudad Del Deporte 1,31 mar 2017,P  77-71,12,5,5,32,1-2,1-7,22.2%,7-7,100.0%,0,5,5,5,0,0,0,12,15
vs Gipuzkoa Basket,24 mar 2017,G  80-70,13,3,1,28,1-4,3-5,44.4%,2-2,100.0%,0,3,3,1,1,3,0,13,10
@ Amics Castello,17 mar 2017,P  94-79,14,2,7,31,5-5,1-3,75.0%,1-3,33.3%,0,2,2,7,1,1,0,14,19
@ Levitec Huesca,10 mar 2017,P  83-76,14,0,8,33,3-5,2-3,62.5%,2-2,100.0%,0,0,0,8,3,3,0,14,19
vs Alimerka Oviedo,3 mar 2017,P  79-97,21,5,5,35,4-6,3-4,70.0%,4-5,80.0%,3,2,5,5,3,1,0,21,29
@ Rio Breogan,24 feb 2017,P  90-76,17,2,2,32,2-4,3-8,41.7%,4-5,80.0%,0,2,2,2,0,1,0,17,12
vs Hiopos Lleida,17 feb 2017,G  74-73,21,5,4,36,2-4,5-6,70.0%,2-3,66.7%,0,5,5,4,3,3,0,21,26
@ Súper Agropal Palencia,10 feb 2017,P  88-77,14,3,4,34,4-4,2-3,85.7%,0-0,-,0,3,3,4,5,4,0,14,21
vs Caceres,3 feb 2017,P  68-88,15,1,1,28,4-6,2-4,60.0%,1-1,100.0%,0,1,1,1,4,2,0,15,15
@ San Pablo Burgos,20 ene 2017,P  87-64,7,2,3,22,2-5,1-2,42.9%,0-0,-,0,2,2,3,1,2,1,7,8
@ Ourense,8 ene 2017,G  74-79,10,0,4,31,2-3,1-6,33.3%,3-7,42.9%,0,0,0,4,2,4,0,10,2
vs FC Barcelona II,4 ene 2017,P  77-78,15,4,5,32,7-7,0-2,77.8%,1-1,100.0%,2,2,4,5,3,2,0,15,23
vs Araberri Basket Club,30 dic 2016,G  106-100,15,4,9,24,0-0,4-6,66.7%,3-4,75.0%,0,4,4,9,6,6,0,15,25
vs Amics Castello,26 nov 2016,P  84-101,3,2,2,8,0-0,1-1,100.0%,0-0,-,0,2,2,2,0,1,0,3,6
vs Levitec Huesca,19 nov 2016,G  93-78,8,3,7,24,1-1,1-2,66.7%,3-4,75.0%,0,3,3,7,2,2,0,8,16
@ Alimerka Oviedo,12 nov 2016,P  80-74,6,3,6,29,0-2,2-3,40.0%,0-0,-,1,2,3,6,1,4,0,6,9
vs Rio Breogan,8 nov 2016,P  84-92,19,4,8,30,2-9,3-6,33.3%,6-6,100.0%,0,4,4,8,3,5,0,19,19
@ Hiopos Lleida,4 nov 2016,P  67-65,17,3,6,29,4-6,3-4,70.0%,0-0,-,1,2,3,6,1,3,1,17,22
vs Súper Agropal Palencia,29 oct 2016,P  62-81,0,2,2,22,0-1,0-2,0.0%,0-0,-,0,2,2,2,0,2,0,0,-1
@ Caceres,21 oct 2016,P  68-65,16,5,4,31,3-5,0-4,33.3%,10-13,76.9%,0,5,5,4,3,4,0,16,15
vs San Pablo Burgos,18 oct 2016,P  65-73,9,0,3,22,1-3,0-5,12.5%,7-9,77.8%,0,0,0,3,2,3,0,9,2
@ Rioverde Clavijo,14 oct 2016,G  73-76,9,5,6,34,1-3,2-5,37.5%,1-2,50.0%,1,4,5,6,2,5,0,9,11
vs Ourense,8 oct 2016,G  84-72,15,6,6,23,4-6,0-2,50.0%,7-9,77.8%,1,5,6,6,1,3,0,15,19
@ FC Barcelona II,2 oct 2016,G  72-84,8,0,9,23,1-1,2-2,100.0%,0-0,-,0,0,0,9,3,2,0,8,18
