PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Araberri Basket Club,28 abr 2017,G  74-82,2,1,0,16,1-1,0-3,25.0%,0-0,-,0,1,1,0,0,0,0,2,0
vs Fibwi Palma,21 abr 2017,P  56-82,5,0,1,17,1-3,1-5,25.0%,0-0,-,0,0,0,1,1,0,0,5,1
@ Marin Peixe Galego,16 abr 2017,G  76-84,8,1,2,15,1-2,2-2,75.0%,0-0,-,0,1,1,2,3,1,0,8,12
vs Leyma Coruña,7 abr 2017,P  76-81,10,1,2,22,1-2,2-4,50.0%,2-2,100.0%,0,1,1,2,0,2,0,10,8
@ Melilla Ciudad Del Deporte 1,31 mar 2017,P  77-71,3,1,0,19,0-0,1-4,25.0%,0-0,-,0,1,1,0,0,0,0,3,1
vs Gipuzkoa Basket,24 mar 2017,G  80-70,14,2,1,18,1-2,4-5,71.4%,0-0,-,1,1,2,1,0,3,0,14,12
@ Amics Castello,17 mar 2017,P  94-79,11,0,0,17,0-0,3-4,75.0%,2-2,100.0%,0,0,0,0,1,2,0,11,9
@ Levitec Huesca,10 mar 2017,P  83-76,1,1,0,18,0-3,0-1,0.0%,1-2,50.0%,0,1,1,0,0,1,0,1,-4
vs Alimerka Oviedo,3 mar 2017,P  79-97,4,0,0,10,0-1,1-1,50.0%,1-2,50.0%,0,0,0,0,1,0,0,4,3
@ Rio Breogan,24 feb 2017,P  90-76,2,1,0,11,1-1,0-1,50.0%,0-0,-,0,1,1,0,0,1,0,2,1
vs Hiopos Lleida,17 feb 2017,G  74-73,2,0,0,7,0-1,0-2,0.0%,2-2,100.0%,0,0,0,0,1,3,0,2,-3
@ Súper Agropal Palencia,10 feb 2017,P  88-77,6,1,0,13,0-3,2-3,33.3%,0-0,-,0,1,1,0,0,0,0,6,3
vs Caceres,3 feb 2017,P  68-88,2,2,1,20,1-3,0-2,20.0%,0-0,-,1,1,2,1,1,1,0,2,1
@ San Pablo Burgos,20 ene 2017,P  87-64,2,2,2,19,0-2,0-2,0.0%,2-2,100.0%,1,1,2,2,4,2,0,2,4
vs Rioverde Clavijo,13 ene 2017,G  79-70,9,2,0,20,3-4,1-2,66.7%,0-0,-,1,1,2,0,0,2,0,9,7
@ Ourense,8 ene 2017,G  74-79,2,0,0,12,0-0,0-1,0.0%,2-2,100.0%,0,0,0,0,0,1,0,2,0
vs FC Barcelona II,4 ene 2017,P  77-78,2,1,0,16,1-1,0-1,50.0%,0-0,-,0,1,1,0,1,0,0,2,3
vs Araberri Basket Club,30 dic 2016,G  106-100,6,0,0,9,0-1,2-4,40.0%,0-0,-,0,0,0,0,0,0,1,6,4
@ Fibwi Palma,20 dic 2016,P  84-72,11,1,2,20,1-2,3-6,50.0%,0-0,-,1,0,1,2,0,0,1,11,11
vs Marin Peixe Galego,17 dic 2016,G  96-81,13,1,2,17,1-1,3-5,66.7%,2-2,100.0%,0,1,1,2,2,2,0,13,14
@ Leyma Coruña,10 dic 2016,G  90-97,3,1,0,6,0-1,1-1,50.0%,0-0,-,1,0,1,0,1,0,0,3,4
vs Melilla Ciudad Del Deporte 1,3 dic 2016,P  77-87,0,0,0,9,0-2,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-3
@ Gipuzkoa Basket,29 nov 2016,P  76-65,11,1,1,17,1-1,1-1,100.0%,6-8,75.0%,0,1,1,1,3,2,0,11,12
vs Amics Castello,26 nov 2016,P  84-101,7,0,0,13,2-3,1-5,37.5%,0-0,-,0,0,0,0,0,2,0,7,0
vs Levitec Huesca,19 nov 2016,G  93-78,0,1,1,4,0-0,0-0,-,0-0,-,0,1,1,1,0,0,0,0,2
@ Alimerka Oviedo,12 nov 2016,P  80-74,2,0,0,7,1-1,0-1,50.0%,0-1,0.0%,0,0,0,0,1,0,0,2,1
vs Rio Breogan,8 nov 2016,P  84-92,3,1,0,11,0-1,1-1,50.0%,0-0,-,0,1,1,0,1,1,0,3,3
@ Hiopos Lleida,4 nov 2016,P  67-65,0,1,1,9,0-0,0-2,0.0%,0-0,-,0,1,1,1,0,1,0,0,-1
vs Súper Agropal Palencia,29 oct 2016,P  62-81,15,1,1,28,3-4,2-8,41.7%,3-5,60.0%,1,0,1,1,1,2,0,15,7
@ Caceres,21 oct 2016,P  68-65,2,1,1,13,1-3,0-2,20.0%,0-3,0.0%,1,0,1,1,0,0,0,2,-3
vs San Pablo Burgos,18 oct 2016,P  65-73,7,3,1,18,2-2,1-4,50.0%,0-0,-,0,3,3,1,0,1,0,7,7
@ Rioverde Clavijo,14 oct 2016,G  73-76,4,0,1,11,2-2,0-0,100.0%,0-0,-,0,0,0,1,0,0,0,4,5
vs Ourense,8 oct 2016,G  84-72,5,0,0,5,1-1,1-1,100.0%,0-0,-,0,0,0,0,1,2,0,5,4
@ FC Barcelona II,2 oct 2016,G  72-84,8,2,1,14,1-1,2-3,75.0%,0-0,-,1,1,2,1,0,0,0,8,10
