PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Araberri Basket Club,28 abr 2017,G  74-82,23,8,1,24,7-8,3-3,90.9%,0-0,-,3,5,8,1,1,0,0,23,32
vs Fibwi Palma,21 abr 2017,P  56-82,0,2,0,4,0-0,0-1,0.0%,0-0,-,0,2,2,0,0,0,0,0,1
@ Marin Peixe Galego,16 abr 2017,G  76-84,4,1,1,10,2-3,0-2,40.0%,0-0,-,1,0,1,1,2,0,0,4,5
vs Leyma Coruña,7 abr 2017,P  76-81,3,1,0,9,0-1,1-4,20.0%,0-0,-,0,1,1,0,0,1,0,3,-1
@ Melilla Ciudad Del Deporte 1,31 mar 2017,P  77-71,5,3,0,7,1-2,1-1,66.7%,0-0,-,2,1,3,0,2,0,0,5,9
vs Gipuzkoa Basket,24 mar 2017,G  80-70,9,2,2,26,2-3,1-4,42.9%,2-2,100.0%,0,2,2,2,2,1,0,9,10
@ Amics Castello,17 mar 2017,P  94-79,12,6,4,26,2-6,1-3,33.3%,5-6,83.3%,0,6,6,4,1,1,0,12,15
@ Levitec Huesca,10 mar 2017,P  83-76,6,2,0,18,2-6,0-1,28.6%,2-3,66.7%,1,1,2,0,0,3,0,6,-1
vs Alimerka Oviedo,3 mar 2017,P  79-97,8,1,1,14,2-4,0-1,40.0%,4-4,100.0%,1,0,1,1,0,1,0,8,6
@ Rio Breogan,24 feb 2017,P  90-76,0,0,0,11,0-1,0-1,0.0%,0-0,-,0,0,0,0,0,2,0,0,-4
vs Hiopos Lleida,17 feb 2017,G  74-73,0,2,0,6,0-1,0-0,0.0%,0-0,-,0,2,2,0,0,1,0,0,0
@ Súper Agropal Palencia,10 feb 2017,P  88-77,8,2,1,22,0-1,2-6,28.6%,2-2,100.0%,0,2,2,1,1,4,0,8,3
vs Caceres,3 feb 2017,P  68-88,17,6,3,26,2-5,2-2,57.1%,7-8,87.5%,2,4,6,3,3,0,0,17,25
@ San Pablo Burgos,20 ene 2017,P  87-64,8,3,0,27,4-5,0-3,50.0%,0-1,0.0%,0,3,3,0,1,3,1,8,5
vs Rioverde Clavijo,13 ene 2017,G  79-70,15,7,1,35,3-5,3-7,50.0%,0-0,-,2,5,7,1,1,0,0,15,18
@ Ourense,8 ene 2017,G  74-79,3,2,0,14,0-0,1-1,100.0%,0-2,0.0%,1,1,2,0,0,1,1,3,3
vs FC Barcelona II,4 ene 2017,P  77-78,7,4,0,25,1-5,1-3,25.0%,2-2,100.0%,3,1,4,0,1,1,0,7,5
vs Araberri Basket Club,30 dic 2016,G  106-100,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Fibwi Palma,20 dic 2016,P  84-72,5,5,1,27,2-6,0-1,28.6%,1-2,50.0%,2,3,5,1,1,3,0,5,3
vs Marin Peixe Galego,17 dic 2016,G  96-81,8,3,0,15,0-0,2-5,40.0%,2-4,50.0%,1,2,3,0,2,3,0,8,5
@ Leyma Coruña,10 dic 2016,G  90-97,5,1,1,12,1-1,1-1,100.0%,0-0,-,0,1,1,1,1,0,1,5,9
vs Melilla Ciudad Del Deporte 1,3 dic 2016,P  77-87,0,2,0,12,0-2,0-2,0.0%,0-0,-,0,2,2,0,0,0,0,0,-2
@ Gipuzkoa Basket,29 nov 2016,P  76-65,3,3,0,18,0-2,1-2,25.0%,0-0,-,0,3,3,0,0,1,0,3,2
vs Amics Castello,26 nov 2016,P  84-101,0,2,1,12,0-1,0-1,0.0%,0-0,-,0,2,2,1,0,1,0,0,0
vs Levitec Huesca,19 nov 2016,G  93-78,14,5,1,18,3-3,2-3,83.3%,2-2,100.0%,0,5,5,1,1,2,0,14,18
@ Alimerka Oviedo,12 nov 2016,P  80-74,0,1,0,9,0-3,0-1,0.0%,0-0,-,0,1,1,0,2,1,0,0,-2
vs Rio Breogan,8 nov 2016,P  84-92,2,4,0,14,1-1,0-2,33.3%,0-0,-,1,3,4,0,0,0,0,2,4
@ Hiopos Lleida,4 nov 2016,P  67-65,2,2,1,14,0-2,0-3,0.0%,2-2,100.0%,0,2,2,1,2,1,0,2,1
vs Súper Agropal Palencia,29 oct 2016,P  62-81,0,3,1,14,0-4,0-2,0.0%,0-0,-,1,2,3,1,0,0,0,0,-2
@ Caceres,21 oct 2016,P  68-65,9,3,0,14,1-4,1-2,33.3%,4-4,100.0%,2,1,3,0,1,0,0,9,9
vs San Pablo Burgos,18 oct 2016,P  65-73,8,3,2,19,1-1,2-2,100.0%,0-0,-,0,3,3,2,0,2,0,8,11
@ Rioverde Clavijo,14 oct 2016,G  73-76,13,10,1,27,5-8,0-0,62.5%,3-4,75.0%,3,7,10,1,0,1,2,13,21
vs Ourense,8 oct 2016,G  84-72,6,3,1,12,1-3,1-1,50.0%,1-2,50.0%,0,3,3,1,0,1,0,6,6
@ FC Barcelona II,2 oct 2016,G  72-84,6,1,1,12,3-3,0-1,75.0%,0-0,-,1,0,1,1,0,0,0,6,7
