PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Fibwi Palma,3 mar 2017,P  94-79,3,2,0,17,0-1,1-1,50.0%,0-0,-,1,1,2,0,0,2,0,3,2
vs Marin Peixe Galego,24 feb 2017,G  83-77,1,1,0,11,0-2,0-0,0.0%,1-2,50.0%,0,1,1,0,1,0,0,1,0
@ Leyma Coruña,17 feb 2017,G  62-71,2,4,0,22,1-4,0-0,25.0%,0-0,-,3,1,4,0,1,1,0,2,3
vs Melilla Ciudad Del Deporte 1,10 feb 2017,P  75-83,2,3,2,20,1-5,0-1,16.7%,0-0,-,1,2,3,2,0,1,0,2,1
@ Gipuzkoa Basket,3 feb 2017,P  75-70,10,1,0,15,4-7,0-0,57.1%,2-2,100.0%,1,0,1,0,0,0,0,10,8
@ C.B. Prat,13 ene 2017,P  79-70,2,1,0,9,0-2,0-0,0.0%,2-2,100.0%,1,0,1,0,1,0,0,2,2
vs Alimerka Oviedo,8 ene 2017,P  64-65,5,5,0,15,2-2,0-0,100.0%,1-2,50.0%,2,3,5,0,0,3,0,5,6
@ Hiopos Lleida,30 dic 2016,G  56-80,9,5,1,24,3-5,0-1,50.0%,3-3,100.0%,1,4,5,1,1,2,0,9,11
vs Súper Agropal Palencia,20 dic 2016,G  81-76,12,1,0,15,5-7,0-0,71.4%,2-2,100.0%,1,0,1,0,1,1,1,12,12
@ Caceres,16 dic 2016,P  83-80,0,0,0,6,0-2,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
vs San Pablo Burgos,9 dic 2016,P  72-79,2,1,1,11,1-2,0-0,50.0%,0-0,-,0,1,1,1,0,0,0,2,3
@ Levitec Huesca,2 dic 2016,G  75-84,10,4,3,19,4-5,0-0,80.0%,2-6,33.3%,3,1,4,3,3,2,0,10,13
@ Ourense,29 nov 2016,P  79-72,3,1,0,11,1-2,0-0,50.0%,1-1,100.0%,0,1,1,0,0,1,0,3,2
vs FC Barcelona II,25 nov 2016,G  80-71,0,0,1,18,0-1,0-0,0.0%,0-0,-,0,0,0,1,1,1,0,0,0
@ Araberri Basket Club,19 nov 2016,P  87-71,8,5,0,18,4-8,0-0,50.0%,0-2,0.0%,1,4,5,0,1,0,0,8,8
vs Fibwi Palma,13 nov 2016,P  70-101,2,3,0,12,1-2,0-1,33.3%,0-0,-,1,2,3,0,0,1,0,2,2
@ Marin Peixe Galego,8 nov 2016,G  81-83,4,0,1,7,1-2,0-0,50.0%,2-2,100.0%,0,0,0,1,0,1,0,4,3
vs Leyma Coruña,4 nov 2016,P  85-96,3,2,0,14,0-2,1-1,33.3%,0-0,-,1,1,2,0,0,0,1,3,4
@ Melilla Ciudad Del Deporte 1,28 oct 2016,P  90-75,2,2,0,5,1-3,0-0,33.3%,0-0,-,0,2,2,0,0,0,0,2,2
vs Gipuzkoa Basket,21 oct 2016,P  73-78,3,0,4,19,1-3,0-0,33.3%,1-2,50.0%,0,0,0,4,2,0,1,3,7
@ Amics Castello,18 oct 2016,P  83-76,4,3,2,27,2-6,0-1,28.6%,0-0,-,0,3,3,2,1,2,0,4,3
vs C.B. Prat,14 oct 2016,P  73-76,8,2,0,21,4-5,0-0,80.0%,0-0,-,0,2,2,0,3,1,0,8,11
@ Alimerka Oviedo,8 oct 2016,P  85-74,7,4,0,23,3-5,0-2,42.9%,1-2,50.0%,0,4,4,0,0,1,1,7,6
vs Rio Breogan,2 oct 2016,P  87-109,6,5,3,25,2-5,0-1,33.3%,2-2,100.0%,3,2,5,3,0,0,0,6,10
