PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Hiopos Lleida,28 abr 2017,P  84-87,4,2,1,9,2-3,0-0,66.7%,0-0,-,0,2,2,1,0,3,0,4,3
@ Súper Agropal Palencia,21 abr 2017,P  89-77,5,3,0,17,2-5,0-0,40.0%,1-1,100.0%,0,3,3,0,0,1,1,5,5
vs Caceres,16 abr 2017,G  80-56,6,11,2,19,3-5,0-0,60.0%,0-0,-,2,9,11,2,0,1,0,6,16
@ San Pablo Burgos,7 abr 2017,P  100-89,31,8,0,32,11-16,0-0,68.8%,9-11,81.8%,2,6,8,0,2,0,1,31,35
vs Levitec Huesca,31 mar 2017,P  53-73,6,2,1,16,2-3,0-0,66.7%,2-2,100.0%,1,1,2,1,0,2,1,6,7
vs Ourense,24 mar 2017,G  93-77,8,8,0,21,3-8,0-0,37.5%,2-4,50.0%,4,4,8,0,0,1,0,8,8
@ FC Barcelona II,17 mar 2017,P  83-77,15,4,0,19,7-9,0-0,77.8%,1-1,100.0%,3,1,4,0,0,0,1,15,18
vs Araberri Basket Club,10 mar 2017,P  68-82,17,10,1,24,6-9,0-0,66.7%,5-8,62.5%,5,5,10,1,0,3,1,17,20
@ Fibwi Palma,3 mar 2017,P  94-79,10,8,0,25,3-5,0-0,60.0%,4-8,50.0%,2,6,8,0,0,1,0,10,11
vs Marin Peixe Galego,24 feb 2017,G  83-77,17,5,0,19,5-6,0-0,83.3%,7-8,87.5%,2,3,5,0,0,3,1,17,18
@ Leyma Coruña,17 feb 2017,G  62-71,3,8,0,21,1-7,0-0,14.3%,1-2,50.0%,0,8,8,0,1,3,2,3,4
vs Melilla Ciudad Del Deporte 1,10 feb 2017,P  75-83,10,5,2,22,3-7,0-1,37.5%,4-4,100.0%,2,3,5,2,0,2,0,10,10
vs Siauliai,4 feb 2017,G  83-61,5,3,2,12,2-3,0-0,66.7%,1-4,25.0%,0,3,3,2,1,1,1,5,7
@ Neptunas,28 ene 2017,P  72-60,7,4,1,12,2-5,0-0,40.0%,3-3,100.0%,2,2,4,1,1,0,0,7,10
@ Juventus,22 ene 2017,P  81-75,2,3,1,11,1-3,0-0,33.3%,0-0,-,1,2,3,1,0,0,0,2,4
vs Rytas Vilnius,14 ene 2017,P  68-73,2,2,0,11,1-4,0-0,25.0%,0-0,-,1,1,2,0,0,2,0,2,-1
vs Neptunas,7 ene 2017,G  74-67,6,1,1,13,2-3,0-0,66.7%,2-2,100.0%,1,0,1,1,0,2,0,6,5
@ Juventus,30 dic 2016,G  73-76,11,7,1,16,3-5,0-0,60.0%,5-8,62.5%,3,4,7,1,3,2,2,11,17
vs Pieno Zvaigzdes,10 dic 2016,G  96-77,9,7,0,14,3-5,0-0,60.0%,3-4,75.0%,4,3,7,0,0,3,1,9,11
@ Lietkabelis,4 dic 2016,P  71-66,2,2,2,11,1-4,0-0,25.0%,0-0,-,0,2,2,2,0,1,0,2,2
vs Siauliai,25 nov 2016,G  109-57,13,12,2,22,4-6,0-0,66.7%,5-10,50.0%,7,5,12,2,2,1,1,13,22
@ Rytas Vilnius,20 nov 2016,P  77-53,12,8,2,27,6-12,0-0,50.0%,0-0,-,2,6,8,2,1,3,2,12,16
@ Wolves Twinsbet Vilnius,5 nov 2016,G  49-68,7,6,1,18,3-6,0-0,50.0%,1-2,50.0%,2,4,6,1,1,3,0,7,8
vs Juventus,29 oct 2016,G  89-84,14,4,2,20,7-14,0-0,50.0%,0-0,-,0,4,4,2,0,2,0,14,11
@ Pieno Zvaigzdes,22 oct 2016,P  75-70,13,3,0,25,5-9,0-0,55.6%,3-4,75.0%,3,0,3,0,1,2,0,13,10
vs Lietkabelis,14 oct 2016,P  75-85,8,1,0,8,4-6,0-0,66.7%,0-1,0.0%,0,1,1,0,0,0,0,8,6
@ Siauliai,9 oct 2016,G  60-97,9,6,1,19,1-3,0-0,33.3%,7-7,100.0%,3,3,6,1,3,4,0,9,13
@ Zalgiris Kaunas,2 oct 2016,P  79-66,14,3,2,21,6-11,0-0,54.5%,2-5,40.0%,0,3,3,2,0,0,2,14,13
vs Wolves Twinsbet Vilnius,25 sept 2016,G  79-58,9,2,0,15,2-3,0-0,66.7%,5-6,83.3%,0,2,2,0,0,2,0,9,7
@ Neptunas,21 sept 2016,G  76-79,11,1,0,17,3-6,0-0,50.0%,5-8,62.5%,0,1,1,0,0,2,1,11,5
