PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Marin Peixe Galego,28 abr 2017,G  90-100,13,3,1,15,5-7,1-3,60.0%,0-0,-,2,1,3,1,0,0,0,13,13
vs Leyma Coruña,21 abr 2017,G  86-68,3,3,2,23,1-5,0-2,14.3%,1-2,50.0%,1,2,3,2,1,3,0,3,-1
@ Melilla Ciudad Del Deporte 1,16 abr 2017,G  76-78,20,3,1,19,5-7,3-4,72.7%,1-1,100.0%,2,1,3,1,0,0,0,20,21
@ Levitec Huesca,7 abr 2017,G  62-75,11,6,0,23,3-3,1-2,80.0%,2-2,100.0%,2,4,6,0,0,1,0,11,15
vs Amics Castello,31 mar 2017,G  83-81,9,9,1,17,3-5,1-1,66.7%,0-0,-,5,4,9,1,0,0,0,9,17
@ C.B. Prat,24 mar 2017,P  80-70,4,0,0,11,1-2,0-0,50.0%,2-2,100.0%,0,0,0,0,0,0,0,4,3
vs Alimerka Oviedo,17 mar 2017,G  87-78,9,7,0,21,3-4,1-1,80.0%,0-0,-,3,4,7,0,0,1,0,9,14
@ Rio Breogan,10 mar 2017,G  86-92,14,5,3,22,2-2,2-5,57.1%,4-6,66.7%,2,3,5,3,2,0,2,14,21
vs Hiopos Lleida,3 mar 2017,G  71-65,5,3,1,20,2-5,0-2,28.6%,1-2,50.0%,0,3,3,1,0,1,0,5,2
@ Súper Agropal Palencia,24 feb 2017,P  92-83,3,6,1,11,1-4,0-2,16.7%,1-2,50.0%,4,2,6,1,0,0,0,3,4
vs Caceres,17 feb 2017,G  81-70,0,3,2,11,0-1,0-1,0.0%,0-0,-,0,3,3,2,0,2,0,0,1
@ San Pablo Burgos,10 feb 2017,P  85-78,10,1,0,14,1-1,2-3,75.0%,2-2,100.0%,0,1,1,0,0,1,0,10,9
vs Rioverde Clavijo,3 feb 2017,G  75-70,9,3,0,16,3-4,1-2,66.7%,0-0,-,1,2,3,0,0,0,0,9,10
@ Ourense,20 ene 2017,G  79-85,2,1,0,10,1-1,0-1,50.0%,0-0,-,0,1,1,0,1,1,0,2,2
vs FC Barcelona II,13 ene 2017,G  87-81,5,6,1,17,1-5,1-2,28.6%,0-0,-,4,2,6,1,1,1,1,5,8
@ Araberri Basket Club,8 ene 2017,P  77-60,3,4,0,15,0-3,1-4,14.3%,0-0,-,2,2,4,0,1,1,0,3,1
vs Fibwi Palma,4 ene 2017,G  78-73,0,2,1,13,0-1,0-1,0.0%,0-0,-,1,1,2,1,0,1,0,0,0
vs Marin Peixe Galego,30 dic 2016,G  83-64,3,5,0,14,0-2,1-3,20.0%,0-0,-,1,4,5,0,0,2,1,3,3
@ Leyma Coruña,20 dic 2016,P  93-88,10,0,0,14,1-1,2-4,60.0%,2-2,100.0%,0,0,0,0,1,2,0,10,7
vs Melilla Ciudad Del Deporte 1,16 dic 2016,G  66-61,2,2,1,17,1-2,0-1,33.3%,0-0,-,1,1,2,1,0,0,1,2,4
vs Levitec Huesca,9 dic 2016,G  69-58,3,5,2,16,1-4,0-1,20.0%,1-2,50.0%,3,2,5,2,1,0,3,3,9
@ Amics Castello,2 dic 2016,P  79-73,2,1,0,14,0-2,0-1,0.0%,2-2,100.0%,1,0,1,0,0,2,0,2,-2
vs C.B. Prat,29 nov 2016,G  76-65,8,5,1,21,3-3,0-2,60.0%,2-2,100.0%,2,3,5,1,2,3,2,8,13
@ Alimerka Oviedo,26 nov 2016,P  72-64,11,5,0,18,5-6,0-2,62.5%,1-1,100.0%,2,3,5,0,0,1,1,11,13
vs Rio Breogan,18 nov 2016,G  80-65,2,4,0,12,1-2,0-2,25.0%,0-2,0.0%,2,2,4,0,0,1,0,2,0
@ Hiopos Lleida,11 nov 2016,G  71-73,0,0,0,14,0-0,0-3,0.0%,0-0,-,0,0,0,0,0,1,0,0,-4
vs Súper Agropal Palencia,8 nov 2016,G  73-69,7,1,0,10,2-4,1-2,50.0%,0-0,-,0,1,1,0,0,1,1,7,5
@ Caceres,4 nov 2016,P  73-58,9,4,0,16,2-5,1-4,33.3%,2-4,50.0%,1,3,4,0,1,0,1,9,7
vs San Pablo Burgos,28 oct 2016,G  78-66,11,0,0,18,1-2,3-4,66.7%,0-0,-,0,0,0,0,1,0,0,11,10
@ Rioverde Clavijo,21 oct 2016,G  73-78,9,8,0,17,1-2,2-4,50.0%,1-2,50.0%,1,7,8,0,0,0,0,9,13
vs Ourense,18 oct 2016,P  65-70,6,1,0,10,0-0,1-2,50.0%,3-4,75.0%,0,1,1,0,1,2,0,6,4
@ FC Barcelona II,14 oct 2016,G  55-63,4,3,0,14,2-4,0-0,50.0%,0-2,0.0%,1,2,3,0,0,0,0,4,3
