PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Reales de La Vega,5 jul 2017,G  98-90,2,5,2,14,1-3,0-0,33.3%,0-0,-,3,2,5,2,0,0,0,2,7
vs Huracanes del Atlantico,3 jul 2017,P  95-96,2,0,0,6,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2,2
@ Reales de La Vega,1 jul 2017,G  86-93,4,4,1,21,2-5,0-0,40.0%,0-0,-,2,2,4,1,0,2,1,4,5
vs Indios de San Francisco,30 jun 2017,G  102-88,6,7,1,12,3-6,0-0,50.0%,0-0,-,2,5,7,1,1,2,1,6,11
vs Soles de Santo Domingo Este,28 jun 2017,G  110-96,8,2,1,16,3-4,0-0,75.0%,2-2,100.0%,1,1,2,1,0,0,1,8,11
@ Marin Peixe Galego,28 abr 2017,G  90-100,4,3,0,18,2-2,0-0,100.0%,0-0,-,0,3,3,0,1,1,1,4,8
vs Leyma Coruña,21 abr 2017,G  86-68,6,4,0,10,3-4,0-0,75.0%,0-0,-,1,3,4,0,0,1,2,6,10
@ Melilla Ciudad Del Deporte 1,16 abr 2017,G  76-78,6,1,0,9,2-3,0-0,66.7%,2-2,100.0%,0,1,1,0,0,2,1,6,5
@ Levitec Huesca,7 abr 2017,G  62-75,7,3,0,13,3-3,0-0,100.0%,1-1,100.0%,2,1,3,0,1,0,1,7,12
vs Amics Castello,31 mar 2017,G  83-81,1,3,0,16,0-1,0-0,0.0%,1-2,50.0%,0,3,3,0,0,1,0,1,1
@ C.B. Prat,24 mar 2017,P  80-70,5,3,0,20,2-3,0-0,66.7%,1-4,25.0%,2,1,3,0,1,1,0,5,4
vs Alimerka Oviedo,17 mar 2017,G  87-78,4,3,0,11,2-4,0-0,50.0%,0-0,-,2,1,3,0,1,0,0,4,6
@ Rio Breogan,10 mar 2017,G  86-92,5,4,2,13,1-2,0-0,50.0%,3-5,60.0%,1,3,4,2,1,0,1,5,10
vs Hiopos Lleida,3 mar 2017,G  71-65,12,16,0,18,6-9,0-0,66.7%,0-2,0.0%,6,10,16,0,0,0,0,12,23
@ Súper Agropal Palencia,24 feb 2017,P  92-83,8,2,0,14,4-5,0-0,80.0%,0-0,-,1,1,2,0,0,0,1,8,10
vs Caceres,17 feb 2017,G  81-70,8,3,0,14,4-6,0-0,66.7%,0-0,-,0,3,3,0,1,0,0,8,10
@ San Pablo Burgos,10 feb 2017,P  85-78,3,3,0,12,1-1,0-0,100.0%,1-2,50.0%,1,2,3,0,0,1,1,3,5
vs Rioverde Clavijo,3 feb 2017,G  75-70,11,4,0,14,3-8,0-0,37.5%,5-8,62.5%,3,1,4,0,1,0,2,11,10
@ Ourense,20 ene 2017,G  79-85,10,8,0,22,5-9,0-0,55.6%,0-0,-,3,5,8,0,0,4,1,10,11
vs FC Barcelona II,13 ene 2017,G  87-81,3,5,1,14,1-7,0-0,14.3%,1-2,50.0%,4,1,5,1,1,2,1,3,2
@ Araberri Basket Club,8 ene 2017,P  77-60,4,5,1,11,2-3,0-0,66.7%,0-1,0.0%,2,3,5,1,0,1,1,4,8
vs Fibwi Palma,4 ene 2017,G  78-73,13,4,0,18,5-7,0-0,71.4%,3-6,50.0%,2,2,4,0,0,1,1,13,12
vs Marin Peixe Galego,30 dic 2016,G  83-64,8,8,0,16,3-5,0-0,60.0%,2-4,50.0%,5,3,8,0,1,2,0,8,11
@ Leyma Coruña,20 dic 2016,P  93-88,2,3,0,8,1-1,0-0,100.0%,0-0,-,1,2,3,0,1,0,1,2,7
vs Melilla Ciudad Del Deporte 1,16 dic 2016,G  66-61,3,1,0,13,1-7,0-0,14.3%,1-2,50.0%,0,1,1,0,1,0,1,3,-1
vs Levitec Huesca,9 dic 2016,G  69-58,5,9,0,18,2-5,0-0,40.0%,1-2,50.0%,2,7,9,0,1,2,1,5,10
@ Amics Castello,2 dic 2016,P  79-73,6,3,0,12,2-3,0-0,66.7%,2-4,50.0%,2,1,3,0,0,2,0,6,4
vs C.B. Prat,29 nov 2016,G  76-65,8,5,0,20,4-5,0-0,80.0%,0-0,-,1,4,5,0,0,3,1,8,10
@ Alimerka Oviedo,26 nov 2016,P  72-64,2,5,0,12,1-3,0-0,33.3%,0-4,0.0%,3,2,5,0,1,1,0,2,1
vs Rio Breogan,18 nov 2016,G  80-65,2,3,0,11,1-2,0-0,50.0%,0-0,-,1,2,3,0,0,1,1,2,4
@ Hiopos Lleida,11 nov 2016,G  71-73,7,1,0,7,3-4,0-0,75.0%,1-1,100.0%,1,0,1,0,0,0,0,7,7
vs Súper Agropal Palencia,8 nov 2016,G  73-69,4,4,1,11,0-1,0-0,0.0%,4-4,100.0%,1,3,4,1,1,0,0,4,9
@ Caceres,4 nov 2016,P  73-58,4,1,0,10,2-4,0-0,50.0%,0-0,-,0,1,1,0,1,2,1,4,3
vs San Pablo Burgos,28 oct 2016,G  78-66,3,9,0,12,1-4,0-0,25.0%,1-2,50.0%,5,4,9,0,0,0,0,3,8
@ Rioverde Clavijo,21 oct 2016,G  73-78,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
vs Ourense,18 oct 2016,P  65-70,4,5,0,10,2-5,0-0,40.0%,0-0,-,1,4,5,0,0,2,0,4,4
@ FC Barcelona II,14 oct 2016,G  55-63,4,3,0,10,2-4,0-0,50.0%,0-0,-,2,1,3,0,1,1,0,4,5
vs Araberri Basket Club,7 oct 2016,G  69-54,10,4,0,16,5-10,0-1,45.5%,0-0,-,3,1,4,0,3,0,1,10,12
@ Fibwi Palma,2 oct 2016,G  67-75,4,3,0,11,2-6,0-0,33.3%,0-2,0.0%,2,1,3,0,1,0,0,4,2
