PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Alimerka Oviedo,28 abr 2017,G  90-82,20,9,4,27,7-9,1-1,80.0%,3-3,100.0%,1,8,9,4,3,1,0,20,33
vs Rio Breogan,21 abr 2017,P  82-93,16,7,3,27,7-13,0-0,53.8%,2-2,100.0%,3,4,7,3,0,1,1,16,20
vs Hiopos Lleida,16 abr 2017,G  79-74,17,10,0,31,8-16,0-0,50.0%,1-2,50.0%,4,6,10,0,0,0,0,17,18
@ Súper Agropal Palencia,7 abr 2017,G  67-69,14,10,6,32,6-12,0-0,50.0%,2-2,100.0%,2,8,10,6,1,1,1,14,25
vs Caceres,31 mar 2017,G  88-75,15,6,5,23,7-10,0-0,70.0%,1-2,50.0%,4,2,6,5,0,2,0,15,20
@ San Pablo Burgos,24 mar 2017,P  85-77,9,8,3,29,3-8,0-0,37.5%,3-4,75.0%,1,7,8,3,0,1,2,9,15
vs Rioverde Clavijo,17 mar 2017,G  83-77,11,14,4,28,4-8,0-0,50.0%,3-4,75.0%,2,12,14,4,0,1,1,11,24
@ Ourense,10 mar 2017,G  69-71,4,6,2,31,1-5,0-0,20.0%,2-4,50.0%,2,4,6,2,2,1,0,4,7
vs Levitec Huesca,3 mar 2017,G  97-84,14,9,7,32,6-10,0-1,54.5%,2-2,100.0%,2,7,9,7,0,1,1,14,25
vs Araberri Basket Club,24 feb 2017,G  78-70,8,11,5,30,3-3,0-0,100.0%,2-4,50.0%,4,7,11,5,1,3,0,8,20
@ Fibwi Palma,17 feb 2017,G  63-86,12,5,4,29,6-10,0-0,60.0%,0-0,-,3,2,5,4,1,1,0,12,17
vs Marin Peixe Galego,10 feb 2017,G  92-74,9,3,2,18,3-7,0-0,42.9%,3-4,75.0%,1,2,3,2,3,0,0,9,12
@ Leyma Coruña,3 feb 2017,P  93-85,8,13,3,29,4-10,0-0,40.0%,0-3,0.0%,2,11,13,3,0,0,2,8,17
vs Melilla Ciudad Del Deporte 1,20 ene 2017,P  61-67,8,9,2,29,3-6,0-0,50.0%,2-2,100.0%,3,6,9,2,0,2,0,8,14
@ Gipuzkoa Basket,13 ene 2017,P  87-81,8,10,2,29,2-11,0-0,18.2%,4-4,100.0%,5,5,10,2,2,3,0,8,10
vs Amics Castello,8 ene 2017,P  68-81,12,13,3,29,6-12,0-0,50.0%,0-0,-,5,8,13,3,2,3,2,12,23
@ C.B. Prat,4 ene 2017,G  77-78,15,12,5,36,5-8,0-0,62.5%,5-8,62.5%,4,8,12,5,2,4,1,15,25
@ Alimerka Oviedo,30 dic 2016,P  80-60,12,16,2,32,6-14,0-0,42.9%,0-0,-,6,10,16,2,1,2,2,12,23
@ Rio Breogan,28 dic 2016,P  85-70,10,7,3,29,4-8,0-0,50.0%,2-6,33.3%,3,4,7,3,1,1,0,10,12
@ Hiopos Lleida,16 dic 2016,P  71-64,8,9,4,32,3-7,0-0,42.9%,2-2,100.0%,1,8,9,4,0,1,0,8,16
vs Súper Agropal Palencia,10 dic 2016,P  65-74,13,10,3,30,4-8,0-0,50.0%,5-6,83.3%,4,6,10,3,1,3,0,13,19
@ Caceres,2 dic 2016,P  83-78,15,15,2,30,5-9,0-0,55.6%,5-7,71.4%,7,8,15,2,0,2,0,15,24
vs San Pablo Burgos,29 nov 2016,P  71-76,7,7,2,31,2-3,0-0,66.7%,3-4,75.0%,2,5,7,2,0,7,1,7,8
@ Rioverde Clavijo,25 nov 2016,P  80-71,21,7,2,36,10-17,0-0,58.8%,1-3,33.3%,5,2,7,2,0,2,1,21,20
vs Ourense,20 nov 2016,P  70-79,13,11,1,33,6-12,0-1,46.2%,1-2,50.0%,3,8,11,1,0,1,0,13,16
@ Levitec Huesca,13 nov 2016,P  73-71,20,13,2,32,9-11,0-0,81.8%,2-3,66.7%,2,11,13,2,0,5,0,20,27
@ Araberri Basket Club,8 nov 2016,P  72-65,11,10,5,35,5-11,0-0,45.5%,1-2,50.0%,3,7,10,5,1,3,0,11,17
vs Fibwi Palma,4 nov 2016,P  69-77,9,11,6,31,4-9,0-0,44.4%,1-2,50.0%,3,8,11,6,0,2,1,9,19
@ Marin Peixe Galego,29 oct 2016,G  67-79,12,14,1,23,5-8,0-0,62.5%,2-2,100.0%,2,12,14,1,0,3,2,12,23
vs Leyma Coruña,23 oct 2016,P  69-84,6,8,3,29,2-10,0-0,20.0%,2-2,100.0%,4,4,8,3,0,1,2,6,10
@ Melilla Ciudad Del Deporte 1,18 oct 2016,G  64-80,6,14,5,32,2-5,0-0,40.0%,2-2,100.0%,3,11,14,5,2,2,2,6,24
vs Gipuzkoa Basket,14 oct 2016,P  55-63,11,17,0,30,5-11,0-0,45.5%,1-2,50.0%,7,10,17,0,0,1,2,11,22
@ Amics Castello,7 oct 2016,P  76-64,16,15,3,31,7-11,0-0,63.6%,2-3,66.7%,7,8,15,3,1,2,0,16,28
vs C.B. Prat,2 oct 2016,P  72-84,13,7,2,36,5-7,0-0,71.4%,3-4,75.0%,5,2,7,2,1,3,3,13,20
