PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Alimerka Oviedo,28 abr 2017,G  90-82,0,1,3,8,0-1,0-0,0.0%,0-0,-,0,1,1,3,0,1,0,0,2
vs Rio Breogan,21 abr 2017,P  82-93,0,1,0,10,0-1,0-0,0.0%,0-0,-,0,1,1,0,1,1,0,0,0
vs Hiopos Lleida,16 abr 2017,G  79-74,10,2,0,17,2-5,2-3,50.0%,0-1,0.0%,0,2,2,0,0,1,0,10,6
@ Súper Agropal Palencia,7 abr 2017,G  67-69,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Caceres,31 mar 2017,G  88-75,2,0,1,4,1-1,0-0,100.0%,0-0,-,0,0,0,1,0,1,0,2,2
@ San Pablo Burgos,24 mar 2017,P  85-77,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
@ Fibwi Palma,17 feb 2017,G  63-86,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Leyma Coruña,3 feb 2017,P  93-85,0,1,2,11,0-0,0-1,0.0%,0-0,-,0,1,1,2,1,2,0,0,1
vs Melilla Ciudad Del Deporte 1,20 ene 2017,P  61-67,2,0,1,10,0-1,0-2,0.0%,2-2,100.0%,0,0,0,1,0,0,0,2,0
@ Gipuzkoa Basket,13 ene 2017,P  87-81,5,1,1,24,1-2,1-4,33.3%,0-0,-,0,1,1,1,0,3,0,5,0
vs Amics Castello,8 ene 2017,P  68-81,0,0,1,18,0-0,0-2,0.0%,0-0,-,0,0,0,1,0,5,0,0,-6
@ C.B. Prat,4 ene 2017,G  77-78,6,1,1,19,1-3,0-0,33.3%,4-4,100.0%,0,1,1,1,0,2,0,6,4
@ Alimerka Oviedo,30 dic 2016,P  80-60,2,0,1,10,1-1,0-0,100.0%,0-2,0.0%,0,0,0,1,0,0,0,2,1
@ Rio Breogan,28 dic 2016,P  85-70,4,0,0,9,0-2,0-1,0.0%,4-4,100.0%,0,0,0,0,0,0,0,4,1
@ Caceres,2 dic 2016,P  83-78,3,2,2,21,0-2,1-2,25.0%,0-0,-,0,2,2,2,1,2,0,3,3
vs San Pablo Burgos,29 nov 2016,P  71-76,0,2,4,18,0-1,0-1,0.0%,0-0,-,1,1,2,4,0,0,0,0,4
@ Rioverde Clavijo,25 nov 2016,P  80-71,2,3,2,29,1-4,0-3,14.3%,0-0,-,0,3,3,2,0,1,0,2,0
vs Ourense,20 nov 2016,P  70-79,15,1,3,28,2-3,3-8,45.5%,2-2,100.0%,0,1,1,3,0,4,0,15,9
@ Levitec Huesca,13 nov 2016,P  73-71,11,2,7,35,2-3,1-5,37.5%,4-4,100.0%,2,0,2,7,0,1,0,11,14
vs Fibwi Palma,4 nov 2016,P  69-77,18,4,4,30,5-6,2-8,50.0%,2-2,100.0%,0,4,4,4,2,1,0,18,20
vs Leyma Coruña,23 oct 2016,P  69-84,3,3,3,15,1-1,0-3,25.0%,1-2,50.0%,0,3,3,3,0,6,0,3,-1
vs Real Betis,23 oct 2016,G  80-58,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,1,0,0,0,1
vs Gipuzkoa Basket,14 oct 2016,P  55-63,4,2,2,21,1-4,0-3,14.3%,2-3,66.7%,1,1,2,2,1,1,0,4,1
@ Amics Castello,7 oct 2016,P  76-64,9,1,2,24,3-5,1-5,40.0%,0-0,-,0,1,1,2,2,5,0,9,3
vs C.B. Prat,2 oct 2016,P  72-84,8,1,2,24,1-4,1-2,33.3%,3-4,75.0%,0,1,1,2,0,1,0,8,5
@ BAXI Manresa,2 oct 2016,G  50-56,0,0,0,10,0-0,0-0,-,0-0,-,0,0,0,0,0,3,0,0,-3
