PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Caceres,28 abr 2017,G  77-60,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Hiopos Lleida,20 ene 2017,G  77-67,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Leyma Coruña,4 ene 2017,P  95-66,2,1,1,9,0-1,0-0,0.0%,2-2,100.0%,0,1,1,1,1,1,0,2,3
@ Caceres,30 dic 2016,P  73-57,0,1,0,1,0-1,0-0,0.0%,0-0,-,0,1,1,0,0,0,0,0,0
@ Gipuzkoa Basket,9 dic 2016,P  69-58,0,0,1,2,0-0,0-0,-,0-0,-,0,0,0,1,0,0,0,0,1
@ C.B. Prat,19 nov 2016,P  93-78,0,0,0,3,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,1,0,0,-2
vs FC Barcelona II,13 nov 2016,G  73-71,0,1,1,8,0-2,0-0,0.0%,0-0,-,0,1,1,1,0,1,0,0,-1
@ Alimerka Oviedo,8 nov 2016,P  81-66,0,1,0,3,0-2,0-0,0.0%,0-0,-,1,0,1,0,0,0,0,0,-1
vs Araberri Basket Club,4 nov 2016,P  79-81,2,0,0,4,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,0,0,2,1
@ Rio Breogan,29 oct 2016,G  71-74,0,1,0,8,0-3,0-0,0.0%,0-0,-,0,1,1,0,0,0,0,0,-2
vs Fibwi Palma,23 oct 2016,G  82-67,9,5,1,13,3-7,1-1,50.0%,0-0,-,1,4,5,1,1,1,0,9,11
@ Hiopos Lleida,18 oct 2016,P  78-59,5,2,0,12,1-2,0-2,25.0%,3-4,75.0%,1,1,2,0,0,3,0,5,0
vs Marin Peixe Galego,14 oct 2016,P  102-105,6,4,0,17,1-8,0-3,9.1%,4-4,100.0%,3,1,4,0,0,1,0,6,-1
@ Súper Agropal Palencia,7 oct 2016,P  77-69,8,0,1,9,4-5,0-0,80.0%,0-0,-,0,0,0,1,0,0,0,8,8
vs Leyma Coruña,30 sept 2016,P  73-80,8,0,0,13,4-5,0-1,66.7%,0-0,-,0,0,0,0,3,1,0,8,8
