PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Biele ISB,22 abr 2017,P  72-67,11,2,0,27,4-8,0-2,40.0%,3-3,100.0%,0,2,2,0,1,2,0,11,6
vs Zornotza,16 abr 2017,P  82-87,4,9,1,20,2-6,0-1,28.6%,0-0,-,1,8,9,1,0,0,0,4,9
@ HLA Alicante,8 abr 2017,P  74-73,8,6,1,28,1-3,2-5,37.5%,0-0,-,0,6,6,1,0,2,0,8,8
vs C.B. Moron,1 abr 2017,G  79-73,28,10,5,37,3-7,4-6,53.8%,10-12,83.3%,1,9,10,5,1,1,0,28,35
@ CB Zamora,25 mar 2017,P  70-65,10,3,0,22,2-3,2-5,50.0%,0-0,-,0,3,3,0,0,1,2,10,10
vs Agustinos-Leclerc,18 mar 2017,G  77-75,2,0,1,9,1-2,0-2,25.0%,0-0,-,0,0,0,1,0,0,0,2,0
@ Cambados Xuven,11 mar 2017,P  94-77,12,4,1,26,2-3,2-6,44.4%,2-2,100.0%,1,3,4,1,0,1,0,12,11
vs Albacete,4 mar 2017,G  91-62,9,5,0,16,3-5,1-3,50.0%,0-0,-,2,3,5,0,0,2,0,9,8
vs Alimerka Oviedo,24 feb 2017,G  77-70,0,0,0,1,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,1,0,0,-2
vs Rio Breogan,10 feb 2017,P  65-86,0,0,0,5,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Fibwi Palma,3 feb 2017,P  79-72,0,1,0,7,0-1,0-0,0.0%,0-0,-,0,1,1,0,0,1,0,0,-1
vs Hiopos Lleida,20 ene 2017,G  77-67,11,0,0,19,3-5,1-2,57.1%,2-2,100.0%,0,0,0,0,0,1,0,11,7
@ Leyma Coruña,4 ene 2017,P  95-66,5,2,0,13,1-2,1-4,33.3%,0-0,-,1,1,2,0,0,1,0,5,2
@ Caceres,30 dic 2016,P  73-57,6,0,0,12,3-4,0-2,50.0%,0-0,-,0,0,0,0,0,0,0,6,3
vs Melilla Ciudad Del Deporte 1,20 dic 2016,P  61-68,2,1,0,6,0-1,0-0,0.0%,2-2,100.0%,0,1,1,0,0,0,0,2,2
vs San Pablo Burgos,16 dic 2016,P  61-68,3,2,1,14,0-3,1-3,16.7%,0-0,-,0,2,2,1,0,0,0,3,1
@ Gipuzkoa Basket,9 dic 2016,P  69-58,0,0,1,12,0-1,0-3,0.0%,0-0,-,0,0,0,1,0,0,0,0,-3
vs Rioverde Clavijo,2 dic 2016,P  75-84,0,0,0,6,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Amics Castello,29 nov 2016,G  65-72,9,5,0,16,4-4,0-2,66.7%,1-2,50.0%,1,4,5,0,0,1,0,9,10
vs Ourense,25 nov 2016,P  81-92,4,4,1,26,2-2,0-9,18.2%,0-0,-,2,2,4,1,1,1,1,4,1
@ C.B. Prat,19 nov 2016,P  93-78,8,1,0,14,3-6,0-0,50.0%,2-2,100.0%,0,1,1,0,0,1,0,8,5
vs FC Barcelona II,13 nov 2016,G  73-71,5,3,2,17,1-3,1-3,33.3%,0-0,-,1,2,3,2,0,1,0,5,5
@ Alimerka Oviedo,8 nov 2016,P  81-66,2,3,0,8,1-1,0-1,50.0%,0-0,-,1,2,3,0,0,0,0,2,4
vs Araberri Basket Club,4 nov 2016,P  79-81,5,1,0,9,1-1,1-1,100.0%,0-0,-,1,0,1,0,0,1,0,5,5
@ Rio Breogan,29 oct 2016,G  71-74,18,2,2,22,5-7,2-6,53.8%,2-4,50.0%,1,1,2,2,1,1,0,18,14
vs Fibwi Palma,23 oct 2016,G  82-67,6,2,1,15,3-4,0-2,50.0%,0-0,-,1,1,2,1,2,2,1,6,7
@ Hiopos Lleida,18 oct 2016,P  78-59,4,3,0,18,2-6,0-1,28.6%,0-0,-,3,0,3,0,0,2,0,4,0
vs Marin Peixe Galego,14 oct 2016,P  102-105,5,1,2,18,0-3,1-3,16.7%,2-2,100.0%,0,1,1,2,1,1,0,5,3
@ Súper Agropal Palencia,7 oct 2016,P  77-69,2,4,2,17,1-3,0-2,20.0%,0-0,-,1,3,4,2,0,0,0,2,4
vs Leyma Coruña,30 sept 2016,P  73-80,10,7,3,30,5-9,0-3,41.7%,0-0,-,1,6,7,3,2,1,0,10,14
