PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Melilla Ciudad Del Deporte 1,28 abr 2017,G  77-66,5,1,2,21,1-2,1-3,40.0%,0-0,-,0,1,1,2,1,1,0,5,5
@ Gipuzkoa Basket,21 abr 2017,P  86-68,9,0,0,19,0-2,3-3,60.0%,0-0,-,0,0,0,0,0,2,0,9,5
vs Amics Castello,16 abr 2017,G  89-76,3,0,1,10,0-1,1-3,25.0%,0-0,-,0,0,0,1,0,2,0,3,-1
@ C.B. Prat,7 abr 2017,G  76-81,3,1,1,16,0-1,1-2,33.3%,0-0,-,0,1,1,1,0,1,0,3,2
vs Alimerka Oviedo,31 mar 2017,P  75-88,5,0,2,17,2-5,0-2,28.6%,1-1,100.0%,0,0,0,2,1,1,0,5,2
@ Rio Breogan,24 mar 2017,P  104-73,2,0,0,10,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,1,0,2,0
vs Hiopos Lleida,17 mar 2017,G  83-71,2,1,2,19,0-2,0-1,0.0%,2-2,100.0%,0,1,1,2,2,1,0,2,3
@ Súper Agropal Palencia,10 mar 2017,P  79-75,13,0,0,16,2-3,3-3,83.3%,0-0,-,0,0,0,0,1,1,0,13,12
vs Caceres,3 mar 2017,G  83-69,6,1,2,19,0-1,2-3,50.0%,0-0,-,0,1,1,2,1,1,0,6,7
@ San Pablo Burgos,24 feb 2017,G  86-89,2,0,0,15,0-0,0-1,0.0%,2-2,100.0%,0,0,0,0,0,3,0,2,-2
vs Rioverde Clavijo,17 feb 2017,P  62-71,6,1,2,16,0-0,2-4,50.0%,0-0,-,0,1,1,2,0,1,0,6,6
@ Ourense,10 feb 2017,P  81-71,7,0,2,15,2-3,1-2,60.0%,0-0,-,0,0,0,2,0,0,0,7,7
vs FC Barcelona II,3 feb 2017,G  93-85,7,2,2,16,2-6,1-3,33.3%,0-0,-,0,2,2,2,0,2,0,7,3
@ Araberri Basket Club,20 ene 2017,G  85-89,11,3,6,24,1-3,3-3,66.7%,0-0,-,1,2,3,6,0,1,0,11,17
vs Fibwi Palma,13 ene 2017,G  92-88,8,0,4,17,1-2,2-2,75.0%,0-0,-,0,0,0,4,1,0,0,8,12
@ Marin Peixe Galego,8 ene 2017,P  73-67,4,0,2,15,0-2,0-1,0.0%,4-4,100.0%,0,0,0,2,2,1,0,4,4
vs Levitec Huesca,4 ene 2017,G  95-66,13,2,3,19,2-4,3-4,62.5%,0-0,-,1,1,2,3,0,0,0,13,15
@ Melilla Ciudad Del Deporte 1,30 dic 2016,P  63-55,4,1,1,12,2-3,0-3,33.3%,0-0,-,0,1,1,1,0,0,0,4,2
vs Gipuzkoa Basket,20 dic 2016,G  93-88,14,2,4,24,1-2,3-5,57.1%,3-4,75.0%,0,2,2,4,0,4,0,14,12
@ Amics Castello,16 dic 2016,P  88-82,0,1,0,8,0-0,0-1,0.0%,0-0,-,1,0,1,0,1,1,0,0,0
vs C.B. Prat,10 dic 2016,P  90-97,5,3,6,19,0-1,1-4,20.0%,2-2,100.0%,0,3,3,6,1,1,0,5,10
vs Rio Breogan,6 dic 2016,G  94-85,3,0,1,18,0-1,1-5,16.7%,0-0,-,0,0,0,1,2,0,0,3,1
@ Alimerka Oviedo,3 dic 2016,P  82-72,3,2,0,19,0-0,1-2,50.0%,0-0,-,0,2,2,0,1,5,0,3,0
@ Hiopos Lleida,25 nov 2016,G  80-89,7,3,2,18,2-3,1-1,75.0%,0-0,-,1,2,3,2,0,1,0,7,10
vs Súper Agropal Palencia,18 nov 2016,P  82-88,0,0,0,8,0-0,0-0,-,0-0,-,0,0,0,0,0,2,0,0,-2
@ Caceres,13 nov 2016,P  88-84,1,3,0,11,0-0,0-0,-,1-2,50.0%,1,2,3,0,0,0,0,1,3
vs San Pablo Burgos,8 nov 2016,G  83-76,5,2,3,17,1-2,1-6,25.0%,0-0,-,0,2,2,3,3,1,0,5,6
@ Rioverde Clavijo,4 nov 2016,G  85-96,3,1,5,23,0-0,1-3,33.3%,0-0,-,0,1,1,5,0,2,0,3,5
vs Ourense,29 oct 2016,G  79-67,5,1,4,18,1-2,1-2,50.0%,0-0,-,0,1,1,4,1,1,0,5,8
@ FC Barcelona II,23 oct 2016,G  69-84,15,7,3,24,4-4,1-2,83.3%,4-4,100.0%,2,5,7,3,1,1,0,15,24
vs Araberri Basket Club,18 oct 2016,G  79-65,2,2,2,15,1-2,0-3,20.0%,0-0,-,0,2,2,2,0,0,0,2,2
@ Fibwi Palma,12 oct 2016,P  86-73,6,3,2,21,0-1,2-2,66.7%,0-0,-,0,3,3,2,0,2,0,6,8
vs Marin Peixe Galego,7 oct 2016,G  71-65,0,0,1,18,0-1,0-1,0.0%,0-0,-,0,0,0,1,1,0,0,0,0
@ Levitec Huesca,30 sept 2016,G  73-80,6,3,1,15,0-2,2-3,40.0%,0-0,-,1,2,3,1,0,3,0,6,4
