PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ FC Barcelona II,28 abr 2017,P  90-82,6,0,1,16,0-2,2-2,50.0%,0-0,-,0,0,0,1,1,2,0,6,4
vs Araberri Basket Club,21 abr 2017,G  78-72,8,1,1,19,0-0,2-4,50.0%,2-3,66.7%,0,1,1,1,0,0,0,8,7
@ Fibwi Palma,16 abr 2017,G  69-83,0,0,1,14,0-0,0-2,0.0%,0-0,-,0,0,0,1,1,0,1,0,1
vs Marin Peixe Galego,7 abr 2017,G  89-55,11,4,1,15,2-2,2-7,44.4%,1-1,100.0%,0,4,4,1,1,0,0,11,12
@ Leyma Coruña,31 mar 2017,G  75-88,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Melilla Ciudad Del Deporte 1,24 mar 2017,P  62-73,2,1,1,11,1-2,0-2,25.0%,0-0,-,0,1,1,1,1,0,0,2,2
@ C.B. Prat,3 mar 2017,G  79-97,0,1,2,12,0-0,0-1,0.0%,0-0,-,1,0,1,2,0,1,0,0,1
@ Levitec Huesca,24 feb 2017,P  77-70,3,0,3,14,1-1,0-1,50.0%,1-2,50.0%,0,0,0,3,2,2,0,3,4
vs Rio Breogan,17 feb 2017,P  104-107,3,0,1,8,0-1,0-1,0.0%,3-4,75.0%,0,0,0,1,1,1,0,3,1
@ Hiopos Lleida,10 feb 2017,P  70-68,10,0,4,21,0-3,2-6,22.2%,4-4,100.0%,0,0,0,4,1,3,0,10,5
vs Súper Agropal Palencia,3 feb 2017,G  93-89,3,0,6,17,0-4,1-3,14.3%,0-0,-,0,0,0,6,1,0,0,3,4
@ Caceres,20 ene 2017,P  102-100,8,0,6,26,1-3,1-3,33.3%,3-3,100.0%,0,0,0,6,1,3,0,8,8
vs San Pablo Burgos,13 ene 2017,G  86-66,5,2,5,18,1-3,1-3,33.3%,0-0,-,0,2,2,5,1,2,1,5,8
@ Rioverde Clavijo,8 ene 2017,G  64-65,0,3,0,8,0-2,0-2,0.0%,0-0,-,2,1,3,0,0,0,0,0,-1
vs Ourense,4 ene 2017,P  70-74,2,0,1,10,1-2,0-3,20.0%,0-0,-,0,0,0,1,1,0,0,2,0
vs FC Barcelona II,30 dic 2016,G  80-60,4,1,4,15,2-2,0-1,66.7%,0-0,-,0,1,1,4,1,4,0,4,5
@ Araberri Basket Club,20 dic 2016,G  75-86,0,4,3,17,0-0,0-2,0.0%,0-0,-,1,3,4,3,0,2,0,0,3
vs Fibwi Palma,17 dic 2016,G  90-76,3,3,5,14,0-2,1-2,25.0%,0-0,-,2,1,3,5,0,0,0,3,8
vs FC Barcelona II,16 dic 2016,G  71-64,12,4,5,26,2-3,2-4,57.1%,2-2,100.0%,0,4,4,5,3,1,0,12,20
@ Araberri Basket Club,10 dic 2016,P  87-75,3,2,1,13,0-1,1-4,20.0%,0-0,-,0,2,2,1,1,2,0,3,1
vs Fibwi Palma,2 dic 2016,G  73-72,3,3,2,19,0-1,0-0,0.0%,3-6,50.0%,2,1,3,2,1,0,0,3,5
@ Marin Peixe Galego,29 nov 2016,G  62-85,3,2,0,24,0-1,1-3,25.0%,0-0,-,1,1,2,0,1,6,0,3,-3
vs Leyma Coruña,25 nov 2016,P  80-89,8,3,1,18,1-2,1-3,40.0%,3-6,50.0%,1,2,3,1,0,1,0,8,5
@ Melilla Ciudad Del Deporte 1,18 nov 2016,P  75-65,0,0,1,15,0-4,0-2,0.0%,0-0,-,0,0,0,1,0,2,0,0,-7
vs Gipuzkoa Basket,11 nov 2016,P  71-73,5,1,3,18,1-4,1-3,28.6%,0-0,-,0,1,1,3,1,1,1,5,5
@ Amics Castello,8 nov 2016,G  77-80,3,1,0,12,0-3,1-2,20.0%,0-0,-,0,1,1,0,1,2,0,3,-1
vs C.B. Prat,4 nov 2016,G  67-65,2,2,1,14,1-3,0-1,25.0%,0-0,-,0,2,2,1,3,1,0,2,4
