PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Amics Castello,20 dic 2016,P  77-83,3,1,0,10,0-0,1-4,25.0%,0-0,-,0,1,1,0,0,0,0,3,1
@ C.B. Prat,17 dic 2016,P  96-81,0,1,0,11,0-2,0-3,0.0%,0-0,-,0,1,1,0,0,1,0,0,-5
vs Alimerka Oviedo,10 dic 2016,P  65-76,11,0,0,25,0-0,3-8,37.5%,2-2,100.0%,0,0,0,0,1,0,0,11,7
@ Rio Breogan,2 dic 2016,P  88-66,2,1,0,7,1-2,0-1,33.3%,0-0,-,0,1,1,0,0,0,0,2,1
vs Hiopos Lleida,29 nov 2016,P  62-85,0,0,0,13,0-0,0-2,0.0%,0-0,-,0,0,0,0,2,1,0,0,-1
@ Súper Agropal Palencia,25 nov 2016,P  94-61,2,1,0,20,1-5,0-3,12.5%,0-0,-,1,0,1,0,2,0,0,2,-2
vs Caceres,19 nov 2016,G  77-68,11,4,0,22,4-5,0-4,44.4%,3-3,100.0%,1,3,4,0,0,0,0,11,10
@ San Pablo Burgos,11 nov 2016,P  69-67,12,1,0,18,0-0,4-6,66.7%,0-0,-,0,1,1,0,0,2,0,12,9
vs Rioverde Clavijo,8 nov 2016,P  81-83,6,0,0,10,0-1,2-2,66.7%,0-0,-,0,0,0,0,1,0,0,6,6
@ Ourense,5 nov 2016,P  74-54,2,0,0,15,0-1,0-1,0.0%,2-2,100.0%,0,0,0,0,0,1,0,2,-1
