PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Leyma Coruña,28 abr 2017,P  77-66,10,3,0,29,2-2,2-6,50.0%,0-0,-,0,3,3,0,4,1,0,10,12
vs Levitec Huesca,21 abr 2017,G  79-67,14,7,7,28,2-3,3-3,83.3%,1-2,50.0%,0,7,7,7,0,0,0,14,26
vs Gipuzkoa Basket,16 abr 2017,P  76-78,9,4,9,30,0-2,3-4,50.0%,0-0,-,0,4,4,9,1,2,0,9,18
@ Amics Castello,7 abr 2017,P  77-64,3,6,6,18,0-0,1-3,33.3%,0-0,-,2,4,6,6,0,1,0,3,12
vs C.B. Prat,31 mar 2017,G  77-71,5,5,11,26,1-2,0-5,14.3%,3-3,100.0%,2,3,5,11,1,2,0,5,14
@ Alimerka Oviedo,24 mar 2017,G  62-73,4,7,2,34,1-1,0-3,25.0%,2-2,100.0%,2,5,7,2,3,1,0,4,12
vs Rio Breogan,17 mar 2017,P  101-105,6,0,8,40,1-3,1-4,28.6%,1-1,100.0%,0,0,0,8,3,0,0,6,12
@ Hiopos Lleida,10 mar 2017,P  87-82,2,4,4,17,1-1,0-0,100.0%,0-0,-,0,4,4,4,0,1,0,2,9
vs Súper Agropal Palencia,3 mar 2017,G  88-76,5,7,6,21,1-1,1-2,66.7%,0-0,-,1,6,7,6,0,0,0,5,17
@ Caceres,24 feb 2017,P  104-99,9,0,0,13,0-0,3-4,75.0%,0-0,-,0,0,0,0,0,2,0,9,6
vs San Pablo Burgos,17 feb 2017,G  77-66,12,5,4,21,3-3,2-3,83.3%,0-0,-,1,4,5,4,4,0,0,12,24
@ Rioverde Clavijo,10 feb 2017,G  75-83,9,3,4,20,1-3,2-3,50.0%,1-1,100.0%,0,3,3,4,0,0,0,9,13
vs Ourense,3 feb 2017,G  80-77,13,5,3,20,2-3,3-3,83.3%,0-0,-,3,2,5,3,1,0,0,13,21
@ FC Barcelona II,20 ene 2017,G  61-67,10,2,0,22,2-3,2-4,57.1%,0-0,-,0,2,2,0,1,1,0,10,9
vs Araberri Basket Club,13 ene 2017,G  80-72,2,2,0,18,1-2,0-0,50.0%,0-0,-,0,2,2,0,0,0,0,2,3
@ Fibwi Palma,8 ene 2017,P  85-82,6,1,1,12,0-0,2-4,50.0%,0-0,-,0,1,1,1,1,2,0,6,5
vs Marin Peixe Galego,4 ene 2017,G  91-63,3,0,1,17,0-0,1-4,25.0%,0-0,-,0,0,0,1,0,1,0,3,0
vs Leyma Coruña,30 dic 2016,G  63-55,5,4,1,20,0-0,1-3,33.3%,2-2,100.0%,0,4,4,1,0,2,0,5,6
@ Levitec Huesca,20 dic 2016,G  61-68,3,7,3,20,0-0,1-2,50.0%,0-0,-,1,6,7,3,0,0,0,3,12
@ Gipuzkoa Basket,16 dic 2016,P  66-61,3,2,1,12,0-0,1-2,50.0%,0-0,-,0,2,2,1,0,3,0,3,2
vs Amics Castello,9 dic 2016,G  82-71,3,0,1,21,0-0,1-3,33.3%,0-0,-,0,0,0,1,0,2,0,3,0
@ C.B. Prat,3 dic 2016,G  77-87,0,2,1,14,0-0,0-2,0.0%,0-0,-,0,2,2,1,0,2,0,0,-1
vs Alimerka Oviedo,30 nov 2016,G  71-51,0,3,2,20,0-2,0-0,0.0%,0-0,-,0,3,3,2,0,1,0,0,2
@ Rio Breogan,26 nov 2016,P  80-76,3,2,0,14,1-1,0-1,50.0%,1-2,50.0%,0,2,2,0,0,0,0,3,3
vs Hiopos Lleida,18 nov 2016,G  75-65,8,2,2,20,2-2,1-1,100.0%,1-2,50.0%,0,2,2,2,3,0,1,8,15
@ Súper Agropal Palencia,11 nov 2016,P  87-84,5,1,2,18,1-2,1-1,66.7%,0-0,-,1,0,1,2,1,0,0,5,8
vs Caceres,8 nov 2016,G  79-72,5,5,2,22,1-2,0-2,25.0%,3-4,75.0%,1,4,5,2,0,2,0,5,6
@ San Pablo Burgos,4 nov 2016,P  89-75,3,1,4,17,0-0,1-1,100.0%,0-0,-,0,1,1,4,0,1,0,3,7
vs Rioverde Clavijo,28 oct 2016,G  90-75,6,4,8,26,0-0,1-4,25.0%,3-4,75.0%,2,2,4,8,1,1,0,6,14
@ Ourense,22 oct 2016,P  77-72,3,2,1,17,0-1,1-2,33.3%,0-0,-,1,1,2,1,1,1,0,3,4
vs FC Barcelona II,18 oct 2016,P  64-80,8,2,1,34,0-1,2-2,66.7%,2-2,100.0%,2,0,2,1,1,0,0,8,11
@ Araberri Basket Club,15 oct 2016,P  93-84,6,0,2,26,2-2,0-1,66.7%,2-2,100.0%,0,0,0,2,0,2,0,6,5
vs Fibwi Palma,7 oct 2016,G  74-68,6,4,6,32,0-1,2-5,33.3%,0-0,-,2,2,4,6,4,0,0,6,16
@ Marin Peixe Galego,30 sept 2016,P  78-72,3,2,2,17,1-2,0-0,50.0%,1-2,50.0%,1,1,2,2,0,0,0,3,5
