PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Leyma Coruña,28 abr 2017,P  77-66,10,2,3,21,2-3,2-5,50.0%,0-0,-,1,1,2,3,2,1,0,10,12
vs Levitec Huesca,21 abr 2017,G  79-67,11,2,1,20,4-4,1-3,71.4%,0-1,0.0%,1,1,2,1,1,1,0,11,11
vs Gipuzkoa Basket,16 abr 2017,P  76-78,3,3,1,13,0-1,1-4,20.0%,0-0,-,0,3,3,1,0,1,1,3,3
@ Amics Castello,7 abr 2017,P  77-64,3,2,1,10,0-0,1-1,100.0%,0-0,-,0,2,2,1,0,1,0,3,5
vs C.B. Prat,31 mar 2017,G  77-71,0,2,0,9,0-0,0-0,-,0-2,0.0%,1,1,2,0,0,1,1,0,0
@ Alimerka Oviedo,24 mar 2017,G  62-73,9,0,0,11,3-4,0-0,75.0%,3-3,100.0%,0,0,0,0,0,1,0,9,7
vs Rio Breogan,17 mar 2017,P  101-105,5,1,0,17,1-1,1-1,100.0%,0-0,-,0,1,1,0,1,0,0,5,7
@ Hiopos Lleida,10 mar 2017,P  87-82,8,4,0,12,3-4,0-2,50.0%,2-2,100.0%,2,2,4,0,3,1,0,8,11
vs Súper Agropal Palencia,3 mar 2017,G  88-76,0,0,1,10,0-0,0-2,0.0%,0-0,-,0,0,0,1,0,1,0,0,-2
@ Caceres,24 feb 2017,P  104-99,0,0,1,12,0-0,0-0,-,0-0,-,0,0,0,1,0,0,0,0,1
vs San Pablo Burgos,17 feb 2017,G  77-66,14,7,2,22,4-5,2-4,66.7%,0-1,0.0%,2,5,7,2,0,0,0,14,19
@ Rioverde Clavijo,10 feb 2017,G  75-83,6,4,0,20,0-1,1-3,25.0%,3-4,75.0%,3,1,4,0,0,2,1,6,5
vs Ourense,3 feb 2017,G  80-77,11,4,3,35,1-2,3-7,44.4%,0-0,-,1,3,4,3,1,3,0,11,11
@ FC Barcelona II,20 ene 2017,G  61-67,4,4,1,15,0-0,1-2,50.0%,1-2,50.0%,0,4,4,1,3,2,0,4,8
vs Araberri Basket Club,13 ene 2017,G  80-72,4,4,3,20,2-2,0-3,40.0%,0-0,-,1,3,4,3,0,2,0,4,6
@ Fibwi Palma,8 ene 2017,P  85-82,4,1,2,16,2-2,0-2,50.0%,0-0,-,1,0,1,2,1,0,0,4,6
vs Marin Peixe Galego,4 ene 2017,G  91-63,10,5,1,21,2-2,2-2,100.0%,0-2,0.0%,1,4,5,1,1,2,0,10,13
vs Leyma Coruña,30 dic 2016,G  63-55,3,4,0,20,0-0,0-3,0.0%,3-6,50.0%,1,3,4,0,2,0,0,3,3
@ Levitec Huesca,20 dic 2016,G  61-68,2,4,0,18,0-1,0-0,0.0%,2-2,100.0%,2,2,4,0,0,0,2,2,7
@ Gipuzkoa Basket,16 dic 2016,P  66-61,2,5,1,20,1-2,0-4,16.7%,0-1,0.0%,0,5,5,1,0,0,0,2,2
vs Amics Castello,9 dic 2016,G  82-71,2,4,1,23,1-1,0-1,50.0%,0-0,-,2,2,4,1,1,1,0,2,6
@ C.B. Prat,3 dic 2016,G  77-87,12,4,0,26,0-1,4-4,80.0%,0-0,-,1,3,4,0,0,0,1,12,16
vs Alimerka Oviedo,30 nov 2016,G  71-51,3,2,3,19,0-2,1-6,12.5%,0-0,-,0,2,2,3,0,1,0,3,0
@ Rio Breogan,26 nov 2016,P  80-76,5,2,0,15,0-2,1-3,20.0%,2-4,50.0%,0,2,2,0,0,0,0,5,1
vs Hiopos Lleida,18 nov 2016,G  75-65,0,0,3,22,0-0,0-1,0.0%,0-0,-,0,0,0,3,1,0,0,0,3
@ Súper Agropal Palencia,11 nov 2016,P  87-84,14,7,3,34,4-6,1-4,50.0%,3-3,100.0%,3,4,7,3,0,1,0,14,18
vs Caceres,8 nov 2016,G  79-72,15,3,0,21,1-1,4-7,62.5%,1-2,50.0%,0,3,3,0,3,2,0,15,15
@ San Pablo Burgos,4 nov 2016,P  89-75,17,4,1,24,4-5,3-4,77.8%,0-0,-,1,3,4,1,2,1,0,17,21
vs Rioverde Clavijo,28 oct 2016,G  90-75,0,2,1,11,0-1,0-2,0.0%,0-0,-,0,2,2,1,0,2,0,0,-2
@ Ourense,22 oct 2016,P  77-72,10,2,0,22,1-1,1-2,66.7%,5-8,62.5%,0,2,2,0,0,1,0,10,7
vs FC Barcelona II,18 oct 2016,P  64-80,4,3,2,23,2-7,0-4,18.2%,0-0,-,1,2,3,2,2,2,0,4,0
@ Araberri Basket Club,15 oct 2016,P  93-84,12,8,3,24,3-8,2-2,50.0%,0-0,-,4,4,8,3,1,3,0,12,16
vs Fibwi Palma,7 oct 2016,G  74-68,6,4,1,19,2-2,0-1,66.7%,2-6,33.3%,0,4,4,1,1,6,0,6,1
@ Marin Peixe Galego,30 sept 2016,P  78-72,2,5,0,26,0-2,0-0,0.0%,2-2,100.0%,2,3,5,0,1,3,0,2,3
