PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ San Pablo Burgos,28 abr 2017,P  97-71,0,4,1,15,0-3,0-1,0.0%,0-0,-,2,2,4,1,1,0,0,0,2
vs Rioverde Clavijo,21 abr 2017,G  89-77,8,1,2,15,1-1,2-3,75.0%,0-0,-,0,1,1,2,0,0,0,8,10
@ Ourense,16 abr 2017,G  68-76,4,4,1,14,0-2,1-3,20.0%,1-2,50.0%,2,2,4,1,1,2,0,4,3
vs FC Barcelona II,7 abr 2017,P  67-69,3,1,2,16,0-1,1-2,33.3%,0-0,-,0,1,1,2,0,1,0,3,3
@ Araberri Basket Club,31 mar 2017,G  83-90,8,0,2,22,1-2,2-4,50.0%,0-0,-,0,0,0,2,0,0,0,8,7
vs Fibwi Palma,24 mar 2017,P  78-79,0,2,0,12,0-0,0-2,0.0%,0-0,-,0,2,2,0,0,0,0,0,0
@ Marin Peixe Galego,17 mar 2017,G  74-84,2,1,1,8,1-2,0-1,33.3%,0-0,-,1,0,1,1,1,2,0,2,1
vs Leyma Coruña,10 mar 2017,G  79-75,0,0,1,6,0-0,0-0,-,0-0,-,0,0,0,1,0,0,0,0,1
vs Caceres,4 ene 2017,G  89-74,2,4,2,15,1-1,0-2,33.3%,0-0,-,2,2,4,2,1,1,0,2,6
vs San Pablo Burgos,30 dic 2016,P  65-93,11,2,2,25,1-1,3-6,57.1%,0-0,-,1,1,2,2,0,1,0,11,11
@ Rioverde Clavijo,20 dic 2016,P  81-76,11,1,2,21,4-6,1-2,62.5%,0-1,0.0%,0,1,1,2,0,4,0,11,6
vs Ourense,16 dic 2016,G  83-77,2,0,0,11,1-4,0-2,16.7%,0-0,-,0,0,0,0,1,0,0,2,-2
@ FC Barcelona II,10 dic 2016,G  65-74,2,1,0,18,1-1,0-3,25.0%,0-0,-,0,1,1,0,0,0,0,2,0
vs Araberri Basket Club,2 dic 2016,P  82-94,7,2,3,15,2-2,1-2,75.0%,0-0,-,0,2,2,3,0,1,0,7,10
@ Fibwi Palma,29 nov 2016,G  77-79,0,4,0,16,0-2,0-1,0.0%,0-0,-,2,2,4,0,1,1,0,0,1
vs Marin Peixe Galego,25 nov 2016,G  94-61,2,5,1,21,0-1,0-2,0.0%,2-2,100.0%,1,4,5,1,2,4,0,2,3
@ Leyma Coruña,18 nov 2016,G  82-88,8,1,3,21,1-2,2-2,75.0%,0-0,-,0,1,1,3,0,3,0,8,8
vs Melilla Ciudad Del Deporte 1,11 nov 2016,G  87-84,10,1,5,15,1-3,2-2,60.0%,2-2,100.0%,0,1,1,5,0,0,0,10,14
@ Gipuzkoa Basket,8 nov 2016,P  73-69,3,0,0,9,0-0,1-3,33.3%,0-0,-,0,0,0,0,0,1,0,3,0
vs Amics Castello,4 nov 2016,G  79-78,10,4,0,27,2-4,2-2,66.7%,0-0,-,1,3,4,0,0,1,0,10,11
@ C.B. Prat,29 oct 2016,G  62-81,9,2,3,22,3-7,1-4,36.4%,0-0,-,1,1,2,3,2,1,0,9,8
vs Alimerka Oviedo,21 oct 2016,G  72-70,0,4,1,17,0-1,0-0,0.0%,0-0,-,0,4,4,1,1,2,0,0,3
@ Rio Breogan,18 oct 2016,P  89-87,8,3,0,14,1-1,2-3,75.0%,0-0,-,2,1,3,0,0,0,0,8,10
vs Hiopos Lleida,14 oct 2016,P  77-85,0,0,2,14,0-0,0-1,0.0%,0-2,0.0%,0,0,0,2,0,0,0,0,-1
vs Levitec Huesca,7 oct 2016,G  77-69,3,2,3,16,0-0,1-2,50.0%,0-0,-,0,2,2,3,0,0,0,3,7
@ Caceres,30 sept 2016,G  77-94,0,3,3,11,0-0,0-0,-,0-0,-,0,3,3,3,1,2,1,0,6
