PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Basquet Gandia,22 abr 2017,G  82-59,18,0,4,26,4-5,1-5,50.0%,7-8,87.5%,0,0,0,4,1,3,0,18,14
@ Fundacion Adepal Alcazar,16 abr 2017,G  82-87,12,4,1,30,1-2,2-9,27.3%,4-6,66.7%,2,2,4,1,2,5,0,12,4
vs Avila,8 abr 2017,G  77-65,15,1,3,29,3-4,3-7,54.5%,0-0,-,0,1,1,3,1,3,0,15,12
@ Coviran Granada,1 abr 2017,P  74-67,11,4,3,30,0-2,1-5,14.3%,8-10,80.0%,1,3,4,3,2,2,0,11,10
vs L'Hospitalet,25 mar 2017,G  90-76,11,3,3,29,3-10,1-6,25.0%,2-3,66.7%,2,1,3,3,1,3,0,11,2
@ Biele ISB,18 mar 2017,P  89-82,22,1,4,36,5-8,2-8,43.8%,6-8,75.0%,1,0,1,4,0,1,0,22,15
vs Real Valladolid,11 mar 2017,G  77-55,26,3,7,29,7-11,3-8,52.6%,3-4,75.0%,0,3,3,7,6,2,1,26,31
vs HLA Alicante,4 mar 2017,P  62-78,10,6,1,20,1-2,2-7,33.3%,2-4,50.0%,3,3,6,1,1,3,0,10,7
@ C.B. Moron,25 feb 2017,G  67-70,11,2,0,20,1-4,3-6,40.0%,0-0,-,0,2,2,0,1,1,0,11,7
@ Gipuzkoa Basket,4 ene 2017,P  78-73,3,2,0,22,0-2,1-4,16.7%,0-0,-,0,2,2,0,1,1,0,3,0
@ Amics Castello,30 dic 2016,P  86-77,3,2,1,16,0-0,1-5,20.0%,0-0,-,1,1,2,1,0,2,0,3,0
vs C.B. Prat,20 dic 2016,G  84-72,2,1,1,17,1-5,0-2,14.3%,0-0,-,1,0,1,1,1,1,0,2,-2
@ Alimerka Oviedo,17 dic 2016,P  90-76,8,6,2,23,1-3,2-5,37.5%,0-0,-,3,3,6,2,0,1,0,8,10
vs Rio Breogan,11 dic 2016,G  96-86,14,5,1,28,4-6,2-4,60.0%,0-0,-,1,4,5,1,0,1,0,14,15
@ Hiopos Lleida,2 dic 2016,P  73-72,3,3,0,13,1-2,0-0,50.0%,1-2,50.0%,2,1,3,0,0,0,0,3,4
