PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Caceres,20 dic 2016,G  91-69,13,4,1,16,6-8,0-0,75.0%,1-2,50.0%,1,3,4,1,1,0,0,13,16
@ Levitec Huesca,16 dic 2016,G  61-68,6,3,0,12,3-6,0-0,50.0%,0-0,-,1,2,3,0,0,1,2,6,7
@ Rioverde Clavijo,9 dic 2016,G  72-79,6,3,0,14,2-6,0-0,33.3%,2-2,100.0%,2,1,3,0,0,1,0,6,4
vs Ourense,2 dic 2016,G  79-60,8,6,0,22,3-6,0-0,50.0%,2-2,100.0%,3,3,6,0,0,1,0,8,10
@ FC Barcelona II,29 nov 2016,G  71-76,6,2,0,16,3-6,0-0,50.0%,0-0,-,0,2,2,0,1,2,0,6,4
vs Araberri Basket Club,25 nov 2016,G  97-84,10,4,0,15,4-5,0-0,80.0%,2-2,100.0%,0,4,4,0,0,0,1,10,14
@ Fibwi Palma,20 nov 2016,P  62-57,7,4,0,13,2-6,0-0,33.3%,3-3,100.0%,2,2,4,0,1,1,2,7,9
vs Marin Peixe Galego,11 nov 2016,G  69-67,4,3,0,11,2-4,0-0,50.0%,0-0,-,1,2,3,0,0,2,1,4,4
@ Leyma Coruña,8 nov 2016,P  83-76,10,2,0,14,4-5,0-0,80.0%,2-2,100.0%,1,1,2,0,1,0,0,10,12
vs Melilla Ciudad Del Deporte 1,4 nov 2016,G  89-75,0,4,0,16,0-5,0-1,0.0%,0-0,-,0,4,4,0,2,1,0,0,-1
vs Amics Castello,21 oct 2016,G  105-81,12,2,1,17,4-4,0-0,100.0%,4-4,100.0%,2,0,2,1,2,0,0,12,17
@ C.B. Prat,18 oct 2016,G  65-73,4,2,0,8,2-3,0-0,66.7%,0-0,-,1,1,2,0,0,1,0,4,4
vs Alimerka Oviedo,14 oct 2016,G  106-83,0,3,1,13,0-2,0-0,0.0%,0-0,-,1,2,3,1,0,2,0,0,0
@ Rio Breogan,8 oct 2016,P  87-76,4,1,0,9,2-6,0-0,33.3%,0-0,-,0,1,1,0,0,0,0,4,1
vs Hiopos Lleida,30 sept 2016,P  81-88,4,2,0,11,2-6,0-0,33.3%,0-0,-,0,2,2,0,0,0,0,4,2
