PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Súper Agropal Palencia,28 abr 2017,G  97-71,6,10,0,19,0-1,2-4,40.0%,0-0,-,2,8,10,0,1,0,1,6,15
@ Caceres,21 abr 2017,G  71-79,13,7,1,21,2-4,3-4,62.5%,0-0,-,4,3,7,1,1,2,0,13,17
vs Levitec Huesca,16 abr 2017,G  86-78,0,3,1,16,0-1,0-2,0.0%,0-0,-,2,1,3,1,0,1,0,0,0
vs Rioverde Clavijo,7 abr 2017,G  100-89,2,4,0,18,1-2,0-0,50.0%,0-0,-,1,3,4,0,1,1,0,2,5
@ Ourense,31 mar 2017,P  62-58,0,3,0,16,0-1,0-0,0.0%,0-0,-,0,3,3,0,0,0,0,0,2
vs FC Barcelona II,24 mar 2017,G  85-77,0,3,0,15,0-0,0-3,0.0%,0-0,-,1,2,3,0,0,1,0,0,-1
@ Araberri Basket Club,17 mar 2017,G  70-87,5,1,0,12,1-2,1-2,50.0%,0-0,-,0,1,1,0,0,0,0,5,4
vs Fibwi Palma,10 mar 2017,G  85-66,7,6,0,16,2-4,1-2,50.0%,0-0,-,4,2,6,0,1,2,0,7,9
@ Marin Peixe Galego,3 mar 2017,G  79-89,2,1,0,17,1-1,0-4,20.0%,0-0,-,1,0,1,0,0,0,1,2,0
vs Leyma Coruña,24 feb 2017,P  86-89,8,4,0,18,1-1,2-6,42.9%,0-0,-,0,4,4,0,0,0,0,8,8
vs Gipuzkoa Basket,10 feb 2017,G  85-78,5,2,0,15,1-2,1-3,40.0%,0-0,-,0,2,2,0,0,1,0,5,3
@ Amics Castello,3 feb 2017,G  77-87,4,2,0,16,1-1,0-2,33.3%,2-2,100.0%,0,2,2,0,0,0,0,4,4
vs C.B. Prat,20 ene 2017,G  87-64,18,5,0,16,0-0,6-8,75.0%,0-0,-,0,5,5,0,0,0,0,18,21
@ Alimerka Oviedo,13 ene 2017,P  86-66,0,0,0,16,0-1,0-3,0.0%,0-0,-,0,0,0,0,0,0,0,0,-4
vs Rio Breogan,8 ene 2017,P  83-92,9,3,0,17,1-2,0-0,50.0%,7-7,100.0%,2,1,3,0,1,0,0,9,12
@ Hiopos Lleida,4 ene 2017,G  78-80,4,2,0,17,2-2,0-2,50.0%,0-0,-,1,1,2,0,1,0,0,4,5
@ Súper Agropal Palencia,30 dic 2016,G  65-93,6,1,0,12,0-0,2-3,66.7%,0-0,-,0,1,1,0,0,2,0,6,4
vs Caceres,20 dic 2016,G  91-69,4,5,1,15,2-4,0-1,40.0%,0-0,-,0,5,5,1,0,0,0,4,7
@ Levitec Huesca,16 dic 2016,G  61-68,3,1,1,12,0-0,1-3,33.3%,0-0,-,0,1,1,1,1,1,0,3,3
@ Rioverde Clavijo,9 dic 2016,G  72-79,0,2,0,11,0-1,0-3,0.0%,0-0,-,0,2,2,0,0,0,0,0,-2
vs Ourense,2 dic 2016,G  79-60,14,11,0,24,5-6,1-2,75.0%,1-2,50.0%,2,9,11,0,0,2,1,14,21
@ FC Barcelona II,29 nov 2016,G  71-76,5,3,1,16,1-2,1-2,50.0%,0-0,-,0,3,3,1,0,0,0,5,7
vs Araberri Basket Club,25 nov 2016,G  97-84,6,4,2,12,0-1,2-3,50.0%,0-0,-,0,4,4,2,0,2,0,6,8
@ Fibwi Palma,20 nov 2016,P  62-57,0,1,1,14,0-0,0-2,0.0%,0-0,-,0,1,1,1,0,0,0,0,0
vs Marin Peixe Galego,11 nov 2016,G  69-67,2,2,0,16,1-1,0-2,33.3%,0-0,-,0,2,2,0,0,0,0,2,2
@ Leyma Coruña,8 nov 2016,P  83-76,0,1,0,12,0-1,0-1,0.0%,0-0,-,1,0,1,0,1,2,0,0,-2
vs Melilla Ciudad Del Deporte 1,4 nov 2016,G  89-75,8,4,0,16,4-4,0-2,66.7%,0-0,-,2,2,4,0,1,1,0,8,10
@ Gipuzkoa Basket,28 oct 2016,P  78-66,3,0,0,13,0-1,1-1,50.0%,0-0,-,0,0,0,0,0,1,0,3,1
vs Amics Castello,21 oct 2016,G  105-81,17,9,1,25,2-3,4-5,75.0%,1-1,100.0%,1,8,9,1,1,3,1,17,24
@ C.B. Prat,18 oct 2016,G  65-73,8,4,0,18,2-6,1-1,42.9%,1-2,50.0%,2,2,4,0,2,0,0,8,9
vs Alimerka Oviedo,14 oct 2016,G  106-83,5,7,2,19,2-5,0-2,28.6%,1-1,100.0%,1,6,7,2,0,0,0,5,9
@ Rio Breogan,8 oct 2016,P  87-76,9,7,0,22,3-4,0-0,75.0%,3-4,75.0%,2,5,7,0,1,1,0,9,14
vs Hiopos Lleida,30 sept 2016,P  81-88,5,3,1,19,1-3,1-2,40.0%,0-0,-,1,2,3,1,0,2,2,5,6
