PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Melilla Ciudad Del Deporte 1,27 abr 2018,G  88-76,12,0,6,19,4-6,0-2,50.0%,4-4,100.0%,0,0,0,6,0,2,0,12,12
@ Caceres,20 abr 2018,P  83-75,5,1,2,21,1-4,0-1,20.0%,3-5,60.0%,0,1,1,2,0,1,0,5,1
vs Hiopos Lleida,13 abr 2018,G  79-75,6,2,3,15,1-1,0-3,25.0%,4-4,100.0%,0,2,2,3,1,0,0,6,9
@ C.B. Prat,7 abr 2018,G  68-69,4,3,0,18,1-2,0-3,20.0%,2-2,100.0%,1,2,3,0,0,1,0,4,2
vs Real Valladolid,1 abr 2018,P  97-98,2,1,2,10,1-1,0-1,50.0%,0-0,-,0,1,1,2,0,2,0,2,2
@ Ourense,25 mar 2018,G  65-75,8,2,4,18,2-3,0-0,66.7%,4-6,66.7%,0,2,2,4,0,0,0,8,11
vs Alimerka Oviedo,20 mar 2018,G  83-62,4,1,2,21,0-0,1-3,33.3%,1-2,50.0%,0,1,1,2,2,2,0,4,4
vs Biele ISB,9 mar 2018,G  78-67,0,2,0,11,0-0,0-1,0.0%,0-0,-,0,2,2,0,0,1,0,0,0
@ Levitec Huesca,17 feb 2018,P  70-65,4,6,2,21,2-5,0-3,25.0%,0-0,-,0,6,6,2,0,1,0,4,5
vs Fibwi Palma,9 feb 2018,G  82-66,3,3,2,13,0-3,1-2,20.0%,0-0,-,0,3,3,2,0,1,0,3,3
@ FC Barcelona II,28 ene 2018,G  77-87,10,1,4,22,2-2,1-1,100.0%,3-3,100.0%,0,1,1,4,1,1,0,10,15
vs BAXI Manresa,24 ene 2018,P  69-87,0,0,2,11,0-0,0-1,0.0%,0-0,-,0,0,0,2,1,2,0,0,0
@ Súper Agropal Palencia,19 ene 2018,G  70-73,8,2,0,14,1-2,2-2,75.0%,0-0,-,0,2,2,0,0,3,0,8,6
vs Araberri Basket Club,12 ene 2018,G  89-88,4,4,5,16,1-3,0-1,25.0%,2-2,100.0%,1,3,4,5,0,3,0,4,7
@ Melilla Ciudad Del Deporte 1,7 ene 2018,P  75-68,0,0,2,7,0-2,0-0,0.0%,0-0,-,0,0,0,2,0,1,0,0,-1
vs Caceres,29 dic 2017,G  91-90,12,3,1,23,2-4,1-1,60.0%,5-5,100.0%,0,3,3,1,2,4,0,12,12
@ Hiopos Lleida,22 dic 2017,G  75-84,3,1,0,16,0-0,1-2,50.0%,0-0,-,0,1,1,0,0,1,0,3,2
vs C.B. Prat,15 dic 2017,G  76-70,8,2,3,18,2-5,0-2,28.6%,4-4,100.0%,0,2,2,3,0,1,0,8,7
@ Real Valladolid,10 dic 2017,P  90-73,10,0,4,23,0-0,2-2,100.0%,4-4,100.0%,0,0,0,4,0,2,0,10,12
vs Ourense,3 dic 2017,G  82-64,7,0,4,18,2-2,1-1,100.0%,0-0,-,0,0,0,4,1,1,0,7,11
@ Alimerka Oviedo,28 nov 2017,P  68-62,0,1,1,14,0-2,0-0,0.0%,0-0,-,1,0,1,1,2,1,0,0,1
vs Leyma Coruña,24 nov 2017,G  82-76,0,1,2,13,0-2,0-1,0.0%,0-0,-,0,1,1,2,0,0,0,0,0
@ Biele ISB,19 nov 2017,G  71-96,8,1,4,24,1-1,0-3,25.0%,6-8,75.0%,0,1,1,4,0,1,0,8,7
vs Rioverde Clavijo,10 nov 2017,G  85-69,7,2,5,20,1-1,1-2,66.7%,2-2,100.0%,0,2,2,5,0,4,0,7,9
@ Rio Breogan,5 nov 2017,P  97-69,4,2,3,18,2-5,0-1,33.3%,0-0,-,0,2,2,3,1,3,0,4,3
vs Levitec Huesca,27 oct 2017,P  63-78,8,1,2,15,1-1,2-3,75.0%,0-0,-,0,1,1,2,0,1,0,8,9
@ Fibwi Palma,22 oct 2017,G  78-80,9,2,3,18,3-3,1-1,100.0%,0-0,-,0,2,2,3,0,1,0,9,13
vs FC Barcelona II,15 oct 2017,P  80-90,7,0,4,20,1-2,1-3,40.0%,2-2,100.0%,0,0,0,4,1,3,0,7,6
@ BAXI Manresa,11 oct 2017,P  93-62,4,1,3,22,1-3,0-0,33.3%,2-2,100.0%,0,1,1,3,1,1,0,4,6
vs Súper Agropal Palencia,6 oct 2017,G  78-75,2,2,4,18,1-3,0-3,16.7%,0-0,-,0,2,2,4,1,3,0,2,1
