PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Melilla Ciudad Del Deporte 1,27 abr 2018,G  88-76,12,5,0,22,5-8,0-0,62.5%,2-2,100.0%,3,2,5,0,0,2,0,12,12
@ Caceres,20 abr 2018,P  83-75,10,17,1,31,4-9,0-0,44.4%,2-2,100.0%,2,15,17,1,0,1,0,10,22
vs Hiopos Lleida,13 abr 2018,G  79-75,12,14,3,27,5-10,0-0,50.0%,2-4,50.0%,4,10,14,3,0,2,1,12,21
@ C.B. Prat,7 abr 2018,G  68-69,11,9,2,23,5-13,0-0,38.5%,1-2,50.0%,4,5,9,2,2,0,1,11,16
vs Real Valladolid,1 abr 2018,P  97-98,5,11,3,22,1-4,0-0,25.0%,3-4,75.0%,5,6,11,3,0,1,0,5,14
@ Ourense,25 mar 2018,G  65-75,12,11,1,21,4-12,0-0,33.3%,4-5,80.0%,7,4,11,1,0,3,1,12,13
vs Alimerka Oviedo,20 mar 2018,G  83-62,12,9,1,22,4-4,0-0,100.0%,4-4,100.0%,3,6,9,1,1,3,0,12,20
@ Leyma Coruña,16 mar 2018,P  64-52,12,11,0,23,5-9,0-0,55.6%,2-3,66.7%,5,6,11,0,0,4,0,12,14
vs Biele ISB,9 mar 2018,G  78-67,3,7,0,19,1-4,0-0,25.0%,1-2,50.0%,1,6,7,0,1,1,2,3,8
@ Rioverde Clavijo,2 mar 2018,P  78-74,18,9,0,25,8-13,0-0,61.5%,2-2,100.0%,4,5,9,0,1,3,1,18,21
vs Rio Breogan,23 feb 2018,P  89-91,8,2,0,15,2-5,0-0,40.0%,4-4,100.0%,0,2,2,0,0,2,0,8,5
vs Fibwi Palma,9 feb 2018,G  82-66,8,8,1,26,2-8,0-0,25.0%,4-7,57.1%,3,5,8,1,2,4,0,8,6
@ FC Barcelona II,28 ene 2018,G  77-87,18,3,1,23,8-10,0-1,72.7%,2-4,50.0%,0,3,3,1,1,4,0,18,14
vs BAXI Manresa,24 ene 2018,P  69-87,7,6,1,17,2-2,0-0,100.0%,3-4,75.0%,4,2,6,1,0,1,0,7,12
@ Súper Agropal Palencia,19 ene 2018,G  70-73,14,6,0,19,3-6,0-0,50.0%,8-10,80.0%,2,4,6,0,0,1,0,14,14
vs Araberri Basket Club,12 ene 2018,G  89-88,11,6,1,20,5-7,0-0,71.4%,1-2,50.0%,1,5,6,1,1,1,0,11,15
@ Melilla Ciudad Del Deporte 1,7 ene 2018,P  75-68,15,3,0,22,6-8,0-2,60.0%,3-5,60.0%,1,2,3,0,2,2,1,15,13
vs Caceres,29 dic 2017,G  91-90,14,10,3,32,6-8,0-2,60.0%,2-5,40.0%,2,8,10,3,1,2,0,14,19
@ Hiopos Lleida,22 dic 2017,G  75-84,26,13,0,30,9-11,1-1,83.3%,5-5,100.0%,6,7,13,0,1,2,3,26,39
vs C.B. Prat,15 dic 2017,G  76-70,11,10,0,27,5-10,0-0,50.0%,1-1,100.0%,4,6,10,0,1,1,1,11,17
@ Real Valladolid,10 dic 2017,P  90-73,13,7,0,24,4-7,0-0,57.1%,5-8,62.5%,3,4,7,0,0,1,0,13,13
vs Ourense,3 dic 2017,G  82-64,13,9,1,22,4-9,0-0,44.4%,5-5,100.0%,4,5,9,1,0,1,0,13,17
@ Alimerka Oviedo,28 nov 2017,P  68-62,14,9,1,26,7-7,0-0,100.0%,0-2,0.0%,1,8,9,1,2,1,0,14,23
vs Leyma Coruña,24 nov 2017,G  82-76,16,8,0,27,6-14,0-0,42.9%,4-4,100.0%,2,6,8,0,0,0,0,16,16
@ Biele ISB,19 nov 2017,G  71-96,4,5,0,17,2-7,0-0,28.6%,0-0,-,4,1,5,0,1,4,0,4,1
vs Rioverde Clavijo,10 nov 2017,G  85-69,14,8,0,18,7-10,0-0,70.0%,0-0,-,3,5,8,0,0,0,1,14,20
@ Rio Breogan,5 nov 2017,P  97-69,8,4,0,17,4-8,0-0,50.0%,0-0,-,2,2,4,0,0,2,0,8,6
vs Levitec Huesca,27 oct 2017,P  63-78,8,10,0,19,4-4,0-0,100.0%,0-0,-,4,6,10,0,0,1,0,8,17
@ Fibwi Palma,22 oct 2017,G  78-80,8,4,0,11,4-5,0-0,80.0%,0-1,0.0%,2,2,4,0,0,2,0,8,8
vs FC Barcelona II,15 oct 2017,P  80-90,2,4,1,12,1-4,0-0,25.0%,0-1,0.0%,1,3,4,1,1,1,1,2,4
@ BAXI Manresa,11 oct 2017,P  93-62,7,7,0,16,1-6,0-0,16.7%,5-8,62.5%,3,4,7,0,0,1,0,7,5
vs Súper Agropal Palencia,6 oct 2017,G  78-75,2,1,0,9,1-3,0-0,33.3%,0-0,-,0,1,1,0,0,0,0,2,1
@ Araberri Basket Club,30 sept 2017,P  82-74,2,3,0,12,1-3,0-0,33.3%,0-0,-,1,2,3,0,1,1,0,2,3
