PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ FC Barcelona II,27 abr 2018,P  78-71,10,6,0,21,5-7,0-1,62.5%,0-0,-,1,5,6,0,0,1,1,10,13
vs BAXI Manresa,20 abr 2018,G  87-79,6,3,0,15,2-3,0-0,66.7%,2-5,40.0%,1,2,3,0,0,1,0,6,4
@ Súper Agropal Palencia,13 abr 2018,G  67-76,4,4,1,19,2-6,0-0,33.3%,0-0,-,1,3,4,1,0,2,1,4,4
vs Amics Castello,7 abr 2018,P  68-69,0,1,0,7,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
@ Melilla Ciudad Del Deporte 1,1 abr 2018,G  62-69,2,2,0,8,1-1,0-0,100.0%,0-0,-,1,1,2,0,0,0,1,2,5
vs Caceres,24 mar 2018,G  70-59,1,1,0,10,0-1,0-0,0.0%,1-2,50.0%,0,1,1,0,0,0,0,1,0
@ Hiopos Lleida,21 mar 2018,P  66-58,4,5,0,13,2-2,0-0,100.0%,0-0,-,3,2,5,0,0,3,0,4,6
@ Araberri Basket Club,17 mar 2018,G  49-75,1,3,0,16,0-2,0-0,0.0%,1-2,50.0%,0,3,3,0,0,1,2,1,2
vs Real Valladolid,10 mar 2018,G  67-57,10,11,0,27,5-10,0-0,50.0%,0-3,0.0%,8,3,11,0,0,1,0,10,12
@ Ourense,2 mar 2018,P  61-58,0,2,0,17,0-2,0-0,0.0%,0-2,0.0%,0,2,2,0,0,1,2,0,-1
vs Alimerka Oviedo,24 feb 2018,G  65-61,6,5,4,34,2-6,0-0,33.3%,2-5,40.0%,3,2,5,4,0,0,3,6,11
@ Leyma Coruña,16 feb 2018,G  65-81,9,6,0,25,4-5,0-0,80.0%,1-2,50.0%,3,3,6,0,0,2,3,9,14
vs Biele ISB,10 feb 2018,G  76-72,1,0,0,12,0-0,0-0,-,1-2,50.0%,0,0,0,0,0,1,0,1,-1
@ Rioverde Clavijo,28 ene 2018,G  62-68,4,6,0,8,1-2,0-0,50.0%,2-2,100.0%,1,5,6,0,0,3,1,4,7
vs Rio Breogan,23 ene 2018,P  79-81,4,2,1,10,2-2,0-0,100.0%,0-2,0.0%,0,2,2,1,0,3,1,4,3
@ Levitec Huesca,19 ene 2018,G  73-81,5,5,0,15,2-3,0-0,66.7%,1-5,20.0%,4,1,5,0,0,2,0,5,3
vs Fibwi Palma,13 ene 2018,G  78-76,2,2,0,3,1-5,0-0,20.0%,0-0,-,2,0,2,0,0,0,0,2,0
vs FC Barcelona II,7 ene 2018,G  78-69,2,4,0,11,1-3,0-0,33.3%,0-0,-,3,1,4,0,0,0,1,2,5
vs Súper Agropal Palencia,22 dic 2017,G  71-69,17,12,0,29,6-8,0-0,75.0%,5-6,83.3%,2,10,12,0,0,3,2,17,25
@ Amics Castello,15 dic 2017,P  76-70,9,4,1,21,4-8,0-0,50.0%,1-3,33.3%,2,2,4,1,1,2,0,9,7
vs Melilla Ciudad Del Deporte 1,10 dic 2017,P  70-73,3,7,0,25,0-4,0-1,0.0%,3-4,75.0%,2,5,7,0,0,0,2,3,6
@ Caceres,3 dic 2017,G  60-82,14,11,1,29,6-8,0-0,75.0%,2-6,33.3%,1,10,11,1,1,1,1,14,21
vs Hiopos Lleida,29 nov 2017,G  84-60,12,5,1,22,4-9,0-1,40.0%,4-4,100.0%,1,4,5,1,0,1,2,12,13
vs Araberri Basket Club,25 nov 2017,G  85-67,16,14,1,29,6-10,1-1,63.6%,1-4,25.0%,2,12,14,1,2,0,0,16,26
@ Real Valladolid,17 nov 2017,G  59-65,4,1,1,14,1-4,0-0,25.0%,2-2,100.0%,1,0,1,1,0,1,0,4,2
vs Ourense,11 nov 2017,G  86-76,12,5,1,20,6-10,0-0,60.0%,0-1,0.0%,2,3,5,1,1,0,0,12,14
@ Alimerka Oviedo,4 nov 2017,G  82-84,8,6,0,20,4-7,0-1,50.0%,0-5,0.0%,1,5,6,0,1,0,0,8,6
vs Leyma Coruña,28 oct 2017,G  75-60,9,8,0,21,4-5,0-0,80.0%,1-2,50.0%,3,5,8,0,0,2,1,9,14
@ Rio Breogan,10 oct 2017,P  85-63,4,1,1,10,2-3,0-0,66.7%,0-1,0.0%,0,1,1,1,1,0,1,4,6
vs Levitec Huesca,7 oct 2017,G  67-59,15,13,0,29,6-10,0-0,60.0%,3-5,60.0%,4,9,13,0,0,2,0,15,20
@ Fibwi Palma,30 sept 2017,G  65-79,4,2,0,16,2-4,0-0,50.0%,0-0,-,2,0,2,0,1,2,0,4,3
