PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ FC Barcelona II,27 abr 2018,P  78-71,15,0,0,26,5-11,1-3,42.9%,2-4,50.0%,0,0,0,0,3,1,0,15,7
vs BAXI Manresa,20 abr 2018,G  87-79,15,0,1,22,4-7,2-4,54.5%,1-2,50.0%,0,0,0,1,0,1,0,15,9
@ Súper Agropal Palencia,13 abr 2018,G  67-76,9,1,2,20,1-3,1-5,25.0%,4-4,100.0%,1,0,1,2,0,1,0,9,5
vs Amics Castello,7 abr 2018,P  68-69,9,2,0,19,3-7,1-2,44.4%,0-0,-,1,1,2,0,1,2,0,9,5
@ Melilla Ciudad Del Deporte 1,1 abr 2018,G  62-69,14,7,3,29,5-10,0-2,41.7%,4-4,100.0%,1,6,7,3,2,1,0,14,18
vs Caceres,24 mar 2018,G  70-59,15,1,1,25,2-3,3-5,62.5%,2-2,100.0%,0,1,1,1,1,4,0,15,11
@ Hiopos Lleida,21 mar 2018,P  66-58,0,2,4,21,0-5,0-2,0.0%,0-0,-,0,2,2,4,1,3,0,0,-3
@ Araberri Basket Club,17 mar 2018,G  49-75,12,1,1,19,3-4,2-2,83.3%,0-0,-,0,1,1,1,0,1,0,12,12
vs Real Valladolid,10 mar 2018,G  67-57,11,3,2,23,4-8,1-4,41.7%,0-0,-,1,2,3,2,1,0,0,11,10
@ Ourense,2 mar 2018,P  61-58,8,0,1,22,3-5,0-3,37.5%,2-4,50.0%,0,0,0,1,0,0,0,8,2
vs Alimerka Oviedo,24 feb 2018,G  65-61,5,4,0,10,0-1,1-2,33.3%,2-2,100.0%,1,3,4,0,0,0,0,5,7
vs FC Barcelona II,7 ene 2018,G  78-69,14,3,3,35,2-6,1-7,23.1%,7-7,100.0%,2,1,3,3,4,3,0,14,11
@ BAXI Manresa,29 dic 2017,P  75-62,7,4,2,31,1-5,0-2,14.3%,5-6,83.3%,1,3,4,2,0,3,0,7,3
vs Súper Agropal Palencia,22 dic 2017,G  71-69,22,3,1,30,5-10,2-6,43.8%,6-7,85.7%,0,3,3,1,3,2,0,22,17
@ Amics Castello,15 dic 2017,P  76-70,11,0,0,28,1-4,1-3,28.6%,6-6,100.0%,0,0,0,0,4,1,0,11,9
vs Melilla Ciudad Del Deporte 1,10 dic 2017,P  70-73,8,3,2,21,2-5,1-4,33.3%,1-1,100.0%,0,3,3,2,0,0,0,8,7
@ Caceres,3 dic 2017,G  60-82,6,1,2,24,2-2,0-3,40.0%,2-2,100.0%,0,1,1,2,1,0,0,6,7
vs Hiopos Lleida,29 nov 2017,G  84-60,10,1,2,21,3-4,1-1,80.0%,1-1,100.0%,0,1,1,2,3,0,0,10,15
vs Araberri Basket Club,25 nov 2017,G  85-67,4,4,3,16,2-4,0-2,33.3%,0-0,-,0,4,4,3,1,3,1,4,6
@ Real Valladolid,17 nov 2017,G  59-65,13,2,1,30,2-4,3-6,50.0%,0-0,-,0,2,2,1,1,0,0,13,12
vs Ourense,11 nov 2017,G  86-76,8,3,3,29,2-6,0-3,22.2%,4-4,100.0%,1,2,3,3,2,1,0,8,8
@ Alimerka Oviedo,4 nov 2017,G  82-84,18,2,2,25,2-5,4-4,66.7%,2-2,100.0%,1,1,2,2,1,0,0,18,20
vs Leyma Coruña,28 oct 2017,G  75-60,11,1,1,25,4-4,0-4,50.0%,3-3,100.0%,0,1,1,1,0,3,0,11,6
@ Biele ISB,22 oct 2017,G  69-73,12,1,3,20,3-4,2-5,55.6%,0-0,-,0,1,1,3,0,2,0,12,10
vs Rioverde Clavijo,14 oct 2017,G  83-57,6,0,1,18,1-1,0-4,20.0%,4-4,100.0%,0,0,0,1,0,4,0,6,-1
@ Rio Breogan,10 oct 2017,P  85-63,9,2,2,31,2-6,1-2,37.5%,2-3,66.7%,0,2,2,2,3,4,0,9,6
vs Levitec Huesca,7 oct 2017,G  67-59,12,3,3,30,1-5,1-5,20.0%,7-8,87.5%,2,1,3,3,3,1,0,12,11
@ Fibwi Palma,30 sept 2017,G  65-79,13,1,2,31,2-4,2-4,50.0%,3-5,60.0%,0,1,1,2,1,1,0,13,10
