PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Leyma Coruña,20 abr 2018,G  86-93,5,2,0,11,2-3,0-0,66.7%,1-2,50.0%,1,1,2,0,0,0,1,5,6
@ Rioverde Clavijo,6 abr 2018,G  76-92,2,0,0,1,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2,2
vs Levitec Huesca,25 mar 2018,G  91-53,3,1,0,4,1-1,0-0,100.0%,1-2,50.0%,1,0,1,0,0,0,0,3,3
vs FC Barcelona II,16 mar 2018,G  105-64,2,1,0,2,1-1,0-0,100.0%,0-0,-,0,1,1,0,0,1,0,2,2
@ Amics Castello,23 feb 2018,G  89-91,0,1,0,2,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
vs Melilla Ciudad Del Deporte 1,17 feb 2018,G  78-67,2,0,0,2,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2,2
vs Hiopos Lleida,28 ene 2018,G  81-49,0,0,0,4,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Real Valladolid,19 ene 2018,G  96-74,2,2,0,2,1-1,0-0,100.0%,0-0,-,0,2,2,0,0,0,1,2,5
@ Ourense,13 ene 2018,P  79-67,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Alimerka Oviedo,7 ene 2018,G  75-87,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Leyma Coruña,29 dic 2017,G  84-73,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,1,0,1
vs Rioverde Clavijo,16 dic 2017,G  96-50,0,1,0,2,0-1,0-0,0.0%,0-0,-,0,1,1,0,0,0,2,0,2
