PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Alimerka Oviedo,27 abr 2018,G  91-65,10,9,1,25,4-6,0-0,66.7%,2-2,100.0%,2,7,9,1,4,2,1,10,21
@ Leyma Coruña,20 abr 2018,G  86-93,10,7,2,21,3-4,0-0,75.0%,4-5,80.0%,3,4,7,2,1,2,0,10,16
vs Biele ISB,13 abr 2018,G  93-89,12,5,4,29,6-7,0-0,85.7%,0-0,-,0,5,5,4,0,2,1,12,19
@ Rioverde Clavijo,6 abr 2018,G  76-92,11,6,3,28,5-7,0-0,71.4%,1-1,100.0%,3,3,6,3,0,2,3,11,19
vs Araberri Basket Club,1 abr 2018,G  106-98,24,8,3,26,9-10,0-0,90.0%,6-8,75.0%,2,6,8,3,4,0,5,24,41
vs Levitec Huesca,25 mar 2018,G  91-53,9,4,1,19,4-7,0-0,57.1%,1-1,100.0%,1,3,4,1,1,1,0,9,11
@ Fibwi Palma,21 mar 2018,P  80-70,6,1,0,16,3-3,0-0,100.0%,0-0,-,0,1,1,0,0,1,0,6,6
vs FC Barcelona II,16 mar 2018,G  105-64,10,2,1,20,4-6,0-0,66.7%,2-2,100.0%,1,1,2,1,1,1,3,10,14
@ BAXI Manresa,11 mar 2018,P  90-78,0,3,2,18,0-2,0-0,0.0%,0-0,-,0,3,3,2,0,1,0,0,2
vs Súper Agropal Palencia,4 mar 2018,P  80-82,16,6,4,26,4-8,0-0,50.0%,8-8,100.0%,1,5,6,4,3,2,0,16,23
@ Amics Castello,23 feb 2018,G  89-91,17,4,3,28,6-12,0-0,50.0%,5-6,83.3%,0,4,4,3,1,0,0,17,18
vs Melilla Ciudad Del Deporte 1,17 feb 2018,G  78-67,4,1,2,15,1-8,0-0,12.5%,2-2,100.0%,0,1,1,2,2,0,0,4,2
@ Caceres,9 feb 2018,G  77-84,4,7,2,18,2-2,0-0,100.0%,0-1,0.0%,1,6,7,2,1,3,0,4,10
vs Hiopos Lleida,28 ene 2018,G  81-49,2,4,2,12,1-4,0-0,25.0%,0-0,-,2,2,4,2,0,0,0,2,5
@ C.B. Prat,23 ene 2018,G  79-81,18,7,1,22,5-9,0-1,50.0%,8-8,100.0%,5,2,7,1,0,2,0,18,19
vs Real Valladolid,19 ene 2018,G  96-74,2,1,0,11,1-3,0-0,33.3%,0-0,-,1,0,1,0,1,1,0,2,1
@ Alimerka Oviedo,7 ene 2018,G  75-87,6,3,2,12,3-4,0-0,75.0%,0-0,-,0,3,3,2,1,1,0,6,10
vs Leyma Coruña,29 dic 2017,G  84-73,16,8,4,26,6-10,0-0,60.0%,4-6,66.7%,3,5,8,4,3,0,0,16,25
@ Biele ISB,23 dic 2017,G  61-81,9,10,3,28,4-5,0-0,80.0%,1-2,50.0%,4,6,10,3,0,1,0,9,19
vs Rioverde Clavijo,16 dic 2017,G  96-50,10,6,6,22,4-5,0-0,80.0%,2-2,100.0%,1,5,6,6,1,0,2,10,24
@ Araberri Basket Club,10 dic 2017,P  97-91,8,8,3,27,4-7,0-0,57.1%,0-0,-,2,6,8,3,0,1,1,8,16
@ Levitec Huesca,3 dic 2017,P  87-76,21,15,2,34,10-16,0-0,62.5%,1-1,100.0%,5,10,15,2,1,1,0,21,32
vs Fibwi Palma,29 nov 2017,G  93-80,12,3,2,16,6-7,0-0,85.7%,0-0,-,1,2,3,2,1,0,0,12,17
@ FC Barcelona II,26 nov 2017,G  72-81,12,7,4,27,5-8,0-0,62.5%,2-2,100.0%,0,7,7,4,2,3,0,12,19
vs BAXI Manresa,18 nov 2017,G  98-81,8,6,1,21,3-4,0-0,75.0%,2-4,50.0%,5,1,6,1,1,2,0,8,11
@ Súper Agropal Palencia,10 nov 2017,G  70-74,8,6,4,20,3-5,0-0,60.0%,2-2,100.0%,2,4,6,4,0,0,1,8,17
vs Amics Castello,5 nov 2017,G  97-69,9,7,4,19,4-8,0-0,50.0%,1-1,100.0%,1,6,7,4,2,1,0,9,17
@ Real Valladolid,1 nov 2017,G  84-85,8,8,7,28,3-5,0-0,60.0%,2-3,66.7%,1,7,8,7,0,2,0,8,18
@ Melilla Ciudad Del Deporte 1,27 oct 2017,G  79-83,20,7,1,23,8-10,0-0,80.0%,4-5,80.0%,1,6,7,1,0,2,0,20,23
vs Caceres,21 oct 2017,G  101-73,10,8,2,19,4-6,0-0,66.7%,2-3,66.7%,3,5,8,2,3,1,0,10,19
@ Hiopos Lleida,15 oct 2017,G  73-86,15,9,0,23,7-10,0-0,70.0%,1-1,100.0%,5,4,9,0,1,1,0,15,21
vs C.B. Prat,10 oct 2017,G  85-63,14,6,2,24,7-10,0-0,70.0%,0-0,-,3,3,6,2,4,3,0,14,20
vs Ourense,30 sept 2017,G  83-71,0,4,2,8,0-0,0-0,-,0-0,-,1,3,4,2,0,2,0,0,4
