PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Biele ISB,20 abr 2018,P  77-72,3,2,2,17,0-2,1-1,33.3%,0-0,-,0,2,2,2,0,0,0,3,5
vs Araberri Basket Club,13 abr 2018,P  73-76,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ FC Barcelona II,20 mar 2018,G  68-88,0,0,0,1,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Súper Agropal Palencia,9 mar 2018,P  86-71,0,0,1,10,0-0,0-1,0.0%,0-0,-,0,0,0,1,0,1,0,0,-1
vs Amics Castello,2 mar 2018,G  78-74,9,0,2,11,1-1,2-2,100.0%,1-1,100.0%,0,0,0,2,0,1,0,9,10
@ Melilla Ciudad Del Deporte 1,23 feb 2018,P  76-68,3,1,1,10,0-0,1-2,50.0%,0-0,-,1,0,1,1,1,0,0,3,5
vs Caceres,16 feb 2018,P  71-76,9,0,1,16,0-1,3-5,50.0%,0-0,-,0,0,0,1,0,0,0,9,7
@ Hiopos Lleida,9 feb 2018,P  70-62,2,1,0,12,1-1,0-3,25.0%,0-0,-,0,1,1,0,0,0,0,2,0
vs C.B. Prat,28 ene 2018,P  62-68,0,0,0,4,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,1,0,0,-2
@ Real Valladolid,23 ene 2018,G  87-92,8,1,1,17,1-2,2-6,37.5%,0-0,-,0,1,1,1,1,1,0,8,5
vs Ourense,19 ene 2018,P  59-69,6,0,1,10,0-1,2-3,50.0%,0-0,-,0,0,0,1,1,0,0,6,6
@ Alimerka Oviedo,13 ene 2018,P  86-70,2,0,0,9,1-2,0-1,33.3%,0-0,-,0,0,0,0,0,0,0,2,0
@ Caceres,27 oct 2017,P  91-77,4,1,1,18,2-2,0-1,66.7%,0-0,-,0,1,1,1,2,2,0,4,5
vs Hiopos Lleida,20 oct 2017,P  75-81,0,1,1,11,0-1,0-1,0.0%,0-0,-,1,0,1,1,0,0,0,0,0
@ C.B. Prat,14 oct 2017,P  83-57,2,0,0,6,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,1,0,2,0
vs Real Valladolid,10 oct 2017,G  85-72,3,3,0,6,0-3,1-4,14.3%,0-0,-,1,2,3,0,1,1,0,3,0
@ Ourense,6 oct 2017,G  70-72,14,1,1,18,0-0,4-5,80.0%,2-2,100.0%,0,1,1,1,2,0,0,14,17
vs Alimerka Oviedo,29 sept 2017,P  80-84,7,1,0,13,1-4,1-3,28.6%,2-2,100.0%,0,1,1,0,1,0,0,7,4
