PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Leyma Coruña,27 abr 2018,G  85-66,0,2,1,14,0-4,0-1,0.0%,0-0,-,2,0,2,1,0,1,0,0,-3
@ Biele ISB,20 abr 2018,P  77-72,0,0,0,2,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,1,0,0,-2
vs Araberri Basket Club,13 abr 2018,P  73-76,8,3,2,15,1-2,2-2,75.0%,0-0,-,2,1,3,2,0,2,1,8,11
vs Rio Breogan,6 abr 2018,P  76-92,0,0,0,13,0-1,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-3
@ Levitec Huesca,1 abr 2018,G  62-79,12,3,2,20,5-5,0-0,100.0%,2-3,66.7%,0,3,3,2,1,1,0,12,16
vs Fibwi Palma,25 mar 2018,G  76-60,0,1,0,11,0-0,0-1,0.0%,0-0,-,0,1,1,0,0,0,0,0,0
@ FC Barcelona II,20 mar 2018,G  68-88,9,3,0,13,1-2,2-3,60.0%,1-2,50.0%,0,3,3,0,1,0,0,9,10
@ Melilla Ciudad Del Deporte 1,23 feb 2018,P  76-68,7,2,1,21,3-6,0-3,33.3%,1-2,50.0%,2,0,2,1,0,2,0,7,1
vs Caceres,16 feb 2018,P  71-76,4,1,1,9,2-2,0-2,50.0%,0-0,-,1,0,1,1,0,2,2,4,4
@ Hiopos Lleida,9 feb 2018,P  70-62,4,0,1,11,2-3,0-2,40.0%,0-0,-,0,0,0,1,0,1,0,4,1
vs C.B. Prat,28 ene 2018,P  62-68,5,3,1,18,1-4,1-1,40.0%,0-0,-,0,3,3,1,0,1,0,5,5
@ Real Valladolid,23 ene 2018,G  87-92,10,2,1,16,2-5,1-2,42.9%,3-4,75.0%,0,2,2,1,0,0,0,10,8
vs Ourense,19 ene 2018,P  59-69,0,6,2,20,0-2,0-4,0.0%,0-0,-,1,5,6,2,0,0,0,0,2
@ Alimerka Oviedo,13 ene 2018,P  86-70,6,4,0,22,2-5,0-1,33.3%,2-2,100.0%,1,3,4,0,1,1,0,6,6
@ Leyma Coruña,7 ene 2018,P  80-66,11,6,3,32,5-8,0-5,38.5%,1-1,100.0%,1,5,6,3,4,3,1,11,14
vs Biele ISB,29 dic 2017,G  75-58,8,6,2,26,4-10,0-3,30.8%,0-0,-,2,4,6,2,1,0,1,8,9
@ Araberri Basket Club,23 dic 2017,P  95-79,12,3,2,20,4-7,0-2,44.4%,4-6,66.7%,2,1,3,2,2,0,0,12,12
@ Rio Breogan,16 dic 2017,P  96-50,12,7,1,31,6-10,0-2,50.0%,0-0,-,6,1,7,1,1,3,0,12,12
vs Levitec Huesca,10 dic 2017,G  103-85,16,4,2,32,5-6,1-2,75.0%,3-6,50.0%,0,4,4,2,1,2,1,16,17
@ Fibwi Palma,2 dic 2017,P  95-76,14,4,2,28,4-5,2-5,60.0%,0-1,0.0%,2,2,4,2,2,2,0,14,15
vs FC Barcelona II,29 nov 2017,P  72-80,10,8,2,22,2-2,2-2,100.0%,0-0,-,1,7,8,2,1,0,0,10,21
@ BAXI Manresa,26 nov 2017,P  91-70,6,7,4,24,2-6,0-2,25.0%,2-2,100.0%,2,5,7,4,2,2,1,6,12
vs Súper Agropal Palencia,17 nov 2017,G  91-82,6,1,4,18,2-2,0-2,50.0%,2-2,100.0%,0,1,1,4,0,0,0,6,9
@ Amics Castello,10 nov 2017,P  85-69,2,2,2,12,1-2,0-2,25.0%,0-0,-,1,1,2,2,0,0,0,2,3
vs Melilla Ciudad Del Deporte 1,3 nov 2017,P  71-73,5,4,1,17,1-4,1-2,33.3%,0-0,-,2,2,4,1,2,2,0,5,6
@ Caceres,27 oct 2017,P  91-77,2,6,1,18,1-3,0-2,20.0%,0-2,0.0%,3,3,6,1,0,1,0,2,2
vs Hiopos Lleida,20 oct 2017,P  75-81,0,0,0,1,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ C.B. Prat,14 oct 2017,P  83-57,2,8,1,19,1-2,0-3,20.0%,0-0,-,3,5,8,1,0,0,0,2,7
vs Real Valladolid,10 oct 2017,G  85-72,7,9,2,22,3-4,0-3,42.9%,1-2,50.0%,4,5,9,2,3,2,0,7,14
@ Ourense,6 oct 2017,G  70-72,5,2,0,15,1-3,1-2,40.0%,0-0,-,2,0,2,0,0,0,0,5,4
vs Alimerka Oviedo,29 sept 2017,P  80-84,2,0,0,10,1-2,0-2,25.0%,0-0,-,0,0,0,0,0,1,0,2,-2
