PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Biele ISB,27 abr 2018,G  112-92,0,2,3,8,0-1,0-0,0.0%,0-0,-,0,2,2,3,0,0,0,0,4
@ Melilla Ciudad Del Deporte 1,20 abr 2018,P  90-66,1,1,3,18,0-0,0-1,0.0%,1-4,25.0%,0,1,1,3,0,3,1,1,-1
@ Rioverde Clavijo,13 abr 2018,G  73-76,0,1,0,12,0-1,0-0,0.0%,0-0,-,0,1,1,0,0,0,0,0,0
vs Caceres,7 abr 2018,P  78-91,0,2,2,6,0-0,0-0,-,0-0,-,0,2,2,2,1,0,0,0,5
@ Rio Breogan,1 abr 2018,P  106-98,2,0,0,2,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2,2
vs Hiopos Lleida,25 mar 2018,G  93-84,0,1,0,4,0-1,0-0,0.0%,0-0,-,0,1,1,0,0,0,0,0,0
@ Levitec Huesca,21 mar 2018,P  82-70,0,1,2,7,0-1,0-0,0.0%,0-0,-,1,0,1,2,1,2,0,0,1
vs C.B. Prat,17 mar 2018,P  49-75,5,3,1,13,1-4,1-1,40.0%,0-0,-,1,2,3,1,1,1,0,5,6
@ Fibwi Palma,11 mar 2018,P  71-70,2,0,0,4,0-0,0-0,-,2-2,100.0%,0,0,0,0,0,0,0,2,2
vs Real Valladolid,3 mar 2018,G  83-81,2,0,1,9,1-1,0-0,100.0%,0-0,-,0,0,0,1,0,0,0,2,3
@ FC Barcelona II,25 feb 2018,G  77-89,3,3,4,17,0-1,1-2,33.3%,0-0,-,1,2,3,4,2,5,0,3,5
vs Ourense,17 feb 2018,P  90-97,2,1,1,18,0-1,0-0,0.0%,2-2,100.0%,0,1,1,1,0,1,0,2,2
@ BAXI Manresa,11 feb 2018,P  99-88,0,0,1,3,0-0,0-0,-,0-0,-,0,0,0,1,0,0,0,0,1
vs Alimerka Oviedo,28 ene 2018,G  104-74,6,3,2,11,2-2,0-1,66.7%,2-3,66.7%,1,2,3,2,1,0,1,6,11
vs Ourense,19 ene 2018,P  59-69,2,0,0,17,1-2,0-2,25.0%,0-0,-,0,0,0,0,0,3,0,2,-4
@ Alimerka Oviedo,13 ene 2018,P  86-70,5,1,0,10,1-4,1-2,33.3%,0-0,-,1,0,1,0,3,1,0,5,4
@ Leyma Coruña,7 ene 2018,P  80-66,0,1,1,10,0-1,0-1,0.0%,0-0,-,0,1,1,1,1,0,0,0,1
vs Biele ISB,29 dic 2017,G  75-58,0,0,0,13,0-5,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-7
@ Araberri Basket Club,23 dic 2017,P  95-79,11,1,1,25,2-7,1-3,30.0%,4-9,44.4%,1,0,1,1,0,0,0,11,1
@ Rio Breogan,16 dic 2017,P  96-50,2,6,1,12,1-3,0-1,25.0%,0-0,-,2,4,6,1,0,4,0,2,2
vs Levitec Huesca,10 dic 2017,G  103-85,4,1,3,16,2-2,0-0,100.0%,0-0,-,0,1,1,3,0,1,0,4,7
@ Fibwi Palma,2 dic 2017,P  95-76,0,0,0,5,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs FC Barcelona II,29 nov 2017,P  72-80,10,1,0,14,2-4,2-2,66.7%,0-0,-,0,1,1,0,0,1,0,10,8
@ BAXI Manresa,26 nov 2017,P  91-70,0,2,1,10,0-1,0-1,0.0%,0-0,-,1,1,2,1,0,2,0,0,-1
