PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Fibwi Palma,27 abr 2018,P  74-62,11,0,0,28,1-4,3-9,30.8%,0-0,-,0,0,0,0,1,0,0,11,3
vs FC Barcelona II,20 abr 2018,P  73-87,22,2,0,30,6-10,3-5,60.0%,1-1,100.0%,1,1,2,0,0,0,0,22,18
@ BAXI Manresa,15 abr 2018,P  78-75,20,1,1,24,1-6,6-8,50.0%,0-0,-,0,1,1,1,1,2,0,20,14
vs Súper Agropal Palencia,6 abr 2018,P  67-72,0,2,1,25,0-2,0-8,0.0%,0-0,-,1,1,2,1,0,1,0,0,-8
@ Amics Castello,1 abr 2018,G  97-98,8,1,2,24,1-5,1-2,28.6%,3-4,75.0%,0,1,1,2,0,1,0,8,4
vs Melilla Ciudad Del Deporte 1,25 mar 2018,G  95-70,11,0,0,25,0-3,3-5,37.5%,2-2,100.0%,0,0,0,0,0,2,0,11,4
@ Caceres,21 mar 2018,G  64-92,15,2,0,12,3-3,3-4,85.7%,0-0,-,0,2,2,0,0,0,0,15,16
vs Hiopos Lleida,16 mar 2018,G  75-60,10,3,0,19,3-3,1-5,50.0%,1-2,50.0%,1,2,3,0,0,0,0,10,8
@ C.B. Prat,10 mar 2018,P  67-57,20,4,1,34,4-7,4-5,66.7%,0-0,-,0,4,4,1,1,4,1,20,19
@ Araberri Basket Club,3 mar 2018,P  83-81,14,3,0,31,1-7,4-6,38.5%,0-1,0.0%,1,2,3,0,0,2,0,14,6
vs Ourense,23 feb 2018,P  81-93,12,0,0,22,2-5,2-4,44.4%,2-2,100.0%,0,0,0,0,1,1,0,12,7
@ Alimerka Oviedo,17 feb 2018,P  74-63,11,0,0,31,1-3,2-4,42.9%,3-4,75.0%,0,0,0,0,0,2,0,11,4
vs Leyma Coruña,9 feb 2018,G  94-84,29,5,1,29,3-4,6-7,81.8%,5-6,83.3%,1,4,5,1,0,0,0,29,32
@ Biele ISB,28 ene 2018,P  73-67,8,3,0,18,1-3,2-5,37.5%,0-0,-,0,3,3,0,0,1,0,8,5
vs Rioverde Clavijo,23 ene 2018,P  87-92,9,1,0,19,3-5,1-1,66.7%,0-0,-,0,1,1,0,1,1,1,9,9
@ Rio Breogan,19 ene 2018,P  96-74,8,0,0,23,1-2,2-6,37.5%,0-0,-,0,0,0,0,0,1,0,8,2
vs Levitec Huesca,12 ene 2018,G  83-75,8,1,1,24,4-5,0-2,57.1%,0-0,-,1,0,1,1,0,0,0,8,7
vs Fibwi Palma,7 ene 2018,P  84-89,10,1,0,33,2-5,1-2,42.9%,3-3,100.0%,1,0,1,0,0,1,0,10,6
@ FC Barcelona II,29 dic 2017,G  75-84,25,5,1,30,6-9,4-8,58.8%,1-1,100.0%,1,4,5,1,0,1,1,25,24
vs BAXI Manresa,22 dic 2017,P  65-74,11,3,0,31,2-6,1-4,30.0%,4-4,100.0%,2,1,3,0,0,0,0,11,7
@ Súper Agropal Palencia,15 dic 2017,P  76-73,4,4,0,19,2-2,0-1,66.7%,0-0,-,0,4,4,0,0,1,0,4,6
vs Amics Castello,10 dic 2017,G  90-73,6,3,0,15,1-2,1-2,50.0%,1-1,100.0%,1,2,3,0,0,1,0,6,6
@ Melilla Ciudad Del Deporte 1,3 dic 2017,P  79-62,12,3,1,33,3-6,1-5,36.4%,3-3,100.0%,1,2,3,1,1,1,0,12,9
vs Caceres,28 nov 2017,G  85-65,14,3,1,30,4-6,2-3,66.7%,0-0,-,0,3,3,1,1,1,0,14,15
@ Hiopos Lleida,24 nov 2017,G  71-81,21,3,0,35,5-6,3-5,72.7%,2-2,100.0%,1,2,3,0,0,2,0,21,19
vs C.B. Prat,17 nov 2017,P  59-65,2,1,0,19,1-5,0-4,11.1%,0-0,-,0,1,1,0,0,0,0,2,-5
vs Araberri Basket Club,10 nov 2017,G  106-85,10,1,0,24,3-4,1-6,40.0%,1-1,100.0%,1,0,1,0,1,2,0,10,4
@ Ourense,4 nov 2017,G  65-72,14,6,0,27,7-13,0-2,46.7%,0-0,-,2,4,6,0,1,1,0,14,12
vs Rio Breogan,1 nov 2017,P  84-85,15,3,0,24,3-4,2-2,83.3%,3-3,100.0%,1,2,3,0,0,1,1,15,17
vs Alimerka Oviedo,27 oct 2017,G  91-86,8,0,1,26,2-7,1-3,30.0%,1-1,100.0%,0,0,0,1,1,0,1,8,4
@ Leyma Coruña,20 oct 2017,G  59-67,13,4,1,37,3-7,2-7,35.7%,1-2,50.0%,0,4,4,1,2,2,0,13,8
vs Biele ISB,15 oct 2017,P  62-73,8,1,0,26,2-5,1-1,50.0%,1-1,100.0%,1,0,1,0,1,0,0,8,7
@ Rioverde Clavijo,10 oct 2017,P  85-72,6,1,3,16,0-1,2-6,28.6%,0-0,-,0,1,1,3,0,1,0,6,4
@ Levitec Huesca,29 sept 2017,G  63-67,10,0,0,19,2-3,1-3,50.0%,3-4,75.0%,0,0,0,0,0,1,0,10,5
