PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Fibwi Palma,27 abr 2018,P  74-62,7,2,1,24,2-4,0-0,50.0%,3-6,50.0%,2,0,2,1,0,0,2,7,7
vs FC Barcelona II,20 abr 2018,P  73-87,6,6,0,26,2-8,0-0,25.0%,2-2,100.0%,4,2,6,0,0,2,2,6,6
@ BAXI Manresa,15 abr 2018,P  78-75,6,4,0,28,2-6,0-0,33.3%,2-6,33.3%,1,3,4,0,0,3,2,6,1
vs Súper Agropal Palencia,6 abr 2018,P  67-72,6,8,0,27,3-3,0-0,100.0%,0-0,-,1,7,8,0,0,0,1,6,15
@ Amics Castello,1 abr 2018,G  97-98,4,4,0,14,2-4,0-0,50.0%,0-0,-,1,3,4,0,0,1,0,4,5
vs Melilla Ciudad Del Deporte 1,25 mar 2018,G  95-70,5,4,2,22,2-6,0-0,33.3%,1-1,100.0%,0,4,4,2,1,0,4,5,12
@ Caceres,21 mar 2018,G  64-92,1,1,0,27,0-2,0-0,0.0%,1-4,25.0%,0,1,1,0,0,0,3,1,0
vs Hiopos Lleida,16 mar 2018,G  75-60,4,7,0,27,2-3,0-0,66.7%,0-2,0.0%,1,6,7,0,0,2,3,4,9
@ C.B. Prat,10 mar 2018,P  67-57,7,6,0,33,3-7,0-0,42.9%,1-2,50.0%,3,3,6,0,0,0,2,7,10
@ Araberri Basket Club,3 mar 2018,P  83-81,3,4,0,20,1-4,0-0,25.0%,1-2,50.0%,1,3,4,0,0,0,1,3,4
@ Alimerka Oviedo,17 feb 2018,P  74-63,6,9,1,27,3-4,0-1,60.0%,0-2,0.0%,3,6,9,1,1,1,0,6,12
vs Leyma Coruña,9 feb 2018,G  94-84,11,10,0,27,4-6,0-0,66.7%,3-3,100.0%,3,7,10,0,1,1,2,11,21
@ Biele ISB,28 ene 2018,P  73-67,4,4,0,31,2-2,0-0,100.0%,0-0,-,1,3,4,0,1,2,2,4,9
vs Rioverde Clavijo,23 ene 2018,P  87-92,10,8,0,28,3-5,0-0,60.0%,4-6,66.7%,4,4,8,0,0,1,2,10,15
@ Rio Breogan,19 ene 2018,P  96-74,2,2,0,18,1-3,0-0,33.3%,0-0,-,0,2,2,0,1,3,1,2,1
vs Levitec Huesca,12 ene 2018,G  83-75,6,5,1,19,3-4,0-0,75.0%,0-2,0.0%,1,4,5,1,2,4,2,6,9
vs Fibwi Palma,7 ene 2018,P  84-89,10,2,0,19,4-5,0-0,80.0%,2-2,100.0%,0,2,2,0,0,1,0,10,10
@ FC Barcelona II,29 dic 2017,G  75-84,13,4,0,25,4-6,0-1,57.1%,5-7,71.4%,3,1,4,0,1,1,1,13,13
vs BAXI Manresa,22 dic 2017,P  65-74,2,0,0,18,0-2,0-0,0.0%,2-6,33.3%,0,0,0,0,0,1,2,2,-3
@ Súper Agropal Palencia,15 dic 2017,P  76-73,8,4,1,26,4-6,0-0,66.7%,0-2,0.0%,1,3,4,1,0,1,2,8,10
vs Amics Castello,10 dic 2017,G  90-73,15,9,0,23,6-10,0-0,60.0%,3-4,75.0%,3,6,9,0,0,3,2,15,18
@ Melilla Ciudad Del Deporte 1,3 dic 2017,P  79-62,12,10,0,30,6-10,0-0,60.0%,0-1,0.0%,1,9,10,0,0,3,0,12,14
vs Caceres,28 nov 2017,G  85-65,4,3,1,20,2-3,0-0,66.7%,0-0,-,1,2,3,1,2,1,0,4,8
vs C.B. Prat,17 nov 2017,P  59-65,5,6,0,23,2-7,0-0,28.6%,1-2,50.0%,2,4,6,0,0,1,2,5,6
vs Araberri Basket Club,10 nov 2017,G  106-85,11,11,3,31,3-8,0-0,37.5%,5-6,83.3%,2,9,11,3,3,0,2,11,24
@ Ourense,4 nov 2017,G  65-72,13,10,0,33,3-7,0-0,42.9%,7-10,70.0%,0,10,10,0,0,2,1,13,15
vs Rio Breogan,1 nov 2017,P  84-85,10,8,1,30,5-8,0-0,62.5%,0-1,0.0%,3,5,8,1,0,1,1,10,15
vs Alimerka Oviedo,27 oct 2017,G  91-86,7,8,1,26,2-9,0-0,22.2%,3-6,50.0%,4,4,8,1,0,2,1,7,5
@ Leyma Coruña,20 oct 2017,G  59-67,7,2,1,22,3-5,0-0,60.0%,1-1,100.0%,0,2,2,1,1,3,2,7,8
vs Biele ISB,15 oct 2017,P  62-73,8,7,0,25,4-8,0-0,50.0%,0-3,0.0%,4,3,7,0,0,3,2,8,7
@ Rioverde Clavijo,10 oct 2017,P  85-72,9,5,0,27,4-7,0-0,57.1%,1-4,25.0%,1,4,5,0,0,4,0,9,4
@ Levitec Huesca,29 sept 2017,G  63-67,8,6,1,24,4-8,0-0,50.0%,0-0,-,1,5,6,1,0,3,1,8,9
