PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Casademont Zaragoza (M),24 may 2018,G  100-84,0,0,0,2,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,1,0,0
vs C.B. Prat,27 abr 2018,G  78-71,12,1,0,19,3-5,2-4,55.6%,0-2,0.0%,0,1,1,0,1,2,1,12,7
@ Real Valladolid,20 abr 2018,G  73-87,5,3,3,12,1-5,1-2,28.6%,0-0,-,1,2,3,3,0,2,2,5,6
vs Ourense,15 abr 2018,G  83-69,10,4,3,31,2-8,2-5,30.8%,0-0,-,0,4,4,3,3,3,2,10,10
@ Alimerka Oviedo,7 abr 2018,P  87-79,15,1,2,23,4-6,1-4,50.0%,4-7,57.1%,0,1,1,2,2,2,0,15,10
vs Leyma Coruña,1 abr 2018,P  72-79,16,3,1,31,4-8,2-5,46.2%,2-2,100.0%,3,0,3,1,2,4,2,16,13
@ Biele ISB,25 mar 2018,G  66-86,23,2,0,27,4-5,3-7,58.3%,6-7,85.7%,2,0,2,0,3,1,0,23,21
vs Rioverde Clavijo,20 mar 2018,P  68-88,6,1,2,15,2-2,0-1,66.7%,2-3,66.7%,1,0,1,2,1,2,0,6,6
vs Real Madrid,11 mar 2018,G  94-72,0,0,0,3,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,1,0,0,-2
vs Levitec Huesca,10 mar 2018,G  88-85,12,4,2,25,2-3,2-6,44.4%,2-2,100.0%,0,4,4,2,0,2,1,12,12
@ Baskonia Vitoria-Gasteiz,4 feb 2018,P  96-72,6,2,2,13,3-4,0-1,60.0%,0-0,-,0,2,2,2,2,0,0,6,10
vs Joventut Badalona,28 ene 2018,G  91-79,0,0,0,9,0-1,0-1,0.0%,0-0,-,0,0,0,0,0,1,1,0,-2
@ MoraBanc Andorra,21 ene 2018,P  102-92,6,1,0,14,0-0,2-3,66.7%,0-0,-,0,1,1,0,3,1,0,6,8
@ Hiopos Lleida,12 ene 2018,P  95-78,11,1,2,17,3-4,1-3,57.1%,2-3,66.7%,0,1,1,2,0,0,1,11,11
@ Real Betis,7 ene 2018,G  82-89,2,0,0,1,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2,2
vs Real Valladolid,29 dic 2017,P  75-84,7,4,0,18,1-4,1-6,20.0%,2-2,100.0%,0,4,4,0,1,1,0,7,3
vs Alimerka Oviedo,17 dic 2017,P  71-86,11,0,2,19,3-5,1-2,57.1%,2-2,100.0%,0,0,0,2,2,2,0,11,10
vs Biele ISB,3 dic 2017,G  80-64,12,1,1,17,5-6,0-3,55.6%,2-2,100.0%,1,0,1,1,5,0,0,12,15
vs Fibwi Palma,12 nov 2017,G  69-53,3,7,1,15,0-2,1-3,20.0%,0-0,-,2,5,7,1,0,3,1,3,5
@ BAXI Manresa,29 oct 2017,P  91-76,8,1,2,14,1-2,1-2,50.0%,3-4,75.0%,0,1,1,2,2,3,2,8,9
vs Melilla Ciudad Del Deporte 1,10 oct 2017,P  71-84,6,6,2,18,3-6,0-1,42.9%,0-0,-,2,4,6,2,1,2,0,6,9
vs Hiopos Lleida,30 sept 2017,G  76-69,14,2,1,23,4-9,1-3,41.7%,3-3,100.0%,0,2,2,1,1,2,0,14,9
