PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs C.B. Prat,27 abr 2018,G  78-71,5,3,1,16,1-2,1-3,40.0%,0-0,-,2,1,3,1,0,1,0,5,5
@ Real Valladolid,20 abr 2018,G  73-87,5,1,1,16,1-1,1-1,100.0%,0-0,-,0,1,1,1,2,1,0,5,8
vs Ourense,15 abr 2018,G  83-69,3,0,0,10,0-1,0-1,0.0%,3-4,75.0%,0,0,0,0,0,0,0,3,0
@ Alimerka Oviedo,7 abr 2018,P  87-79,0,1,0,13,0-0,0-0,-,0-0,-,0,1,1,0,1,1,0,0,1
@ Rio Breogan,16 mar 2018,P  105-64,9,3,0,17,0-0,2-5,40.0%,3-4,75.0%,0,3,3,0,0,2,0,9,6
vs Levitec Huesca,10 mar 2018,G  88-85,0,1,1,6,0-0,0-0,-,0-0,-,0,1,1,1,0,0,0,0,2
@ Hiopos Lleida,12 ene 2018,P  95-78,2,0,1,12,1-2,0-1,33.3%,0-0,-,0,0,0,1,0,0,0,2,1
@ C.B. Prat,7 ene 2018,P  78-69,6,1,0,27,0-1,2-4,40.0%,0-0,-,0,1,1,0,0,3,0,6,1
vs Real Valladolid,29 dic 2017,P  75-84,3,0,0,14,0-0,1-2,50.0%,0-0,-,0,0,0,0,0,0,0,3,2
@ Ourense,20 dic 2017,G  76-81,2,1,0,19,1-3,0-2,20.0%,0-0,-,0,1,1,0,0,1,0,2,-2
vs Alimerka Oviedo,17 dic 2017,P  71-86,1,1,0,10,0-0,0-1,0.0%,1-2,50.0%,0,1,1,0,0,1,0,1,-1
@ Leyma Coruña,10 dic 2017,P  89-79,5,0,0,22,0-1,1-4,20.0%,2-2,100.0%,0,0,0,0,0,0,0,5,1
vs Biele ISB,3 dic 2017,G  80-64,8,3,0,21,1-1,2-5,50.0%,0-0,-,0,3,3,0,0,0,0,8,8
@ Rioverde Clavijo,29 nov 2017,G  72-80,3,1,0,13,0-0,1-3,33.3%,0-2,0.0%,0,1,1,0,0,1,0,3,-1
vs Rio Breogan,26 nov 2017,P  72-81,2,1,2,23,1-1,0-3,25.0%,0-0,-,0,1,1,2,0,0,0,2,2
@ Levitec Huesca,18 nov 2017,P  77-73,6,1,0,17,0-0,2-3,66.7%,0-0,-,0,1,1,0,1,0,1,6,8
vs Fibwi Palma,12 nov 2017,G  69-53,6,1,0,17,0-1,2-5,33.3%,0-0,-,0,1,1,0,3,0,0,6,6
@ Araberri Basket Club,4 nov 2017,P  80-68,11,4,0,23,1-3,3-7,40.0%,0-0,-,1,3,4,0,0,0,0,11,9
@ BAXI Manresa,29 oct 2017,P  91-76,0,0,0,6,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Súper Agropal Palencia,22 oct 2017,P  71-74,2,4,0,13,1-2,0-2,25.0%,0-0,-,2,2,4,0,0,0,0,2,3
@ Amics Castello,15 oct 2017,G  80-90,2,5,1,20,0-2,0-4,0.0%,2-2,100.0%,2,3,5,1,0,1,0,2,1
vs Melilla Ciudad Del Deporte 1,10 oct 2017,P  71-84,0,1,0,4,0-1,0-0,0.0%,0-0,-,1,0,1,0,0,0,0,0,0
@ Caceres,6 oct 2017,P  95-73,0,2,2,21,0-3,0-4,0.0%,0-0,-,0,2,2,2,1,1,0,0,-3
vs Hiopos Lleida,30 sept 2017,G  76-69,3,0,0,5,0-0,1-2,50.0%,0-0,-,0,0,0,0,0,1,0,3,1
