PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ BAXI Manresa,27 abr 2018,G  68-74,9,6,0,29,3-5,1-1,66.7%,0-0,-,1,5,6,0,1,3,0,9,11
vs Súper Agropal Palencia,20 abr 2018,P  75-84,4,1,0,21,2-2,0-4,33.3%,0-0,-,0,1,1,0,0,2,0,4,-1
@ Amics Castello,13 abr 2018,P  79-75,4,3,1,18,2-4,0-2,33.3%,0-0,-,0,3,3,1,0,1,0,4,3
vs Melilla Ciudad Del Deporte 1,6 abr 2018,P  60-68,2,5,0,21,0-2,0-4,0.0%,2-2,100.0%,3,2,5,0,1,0,0,2,2
@ Caceres,1 abr 2018,P  84-73,3,7,1,26,0-1,1-6,14.3%,0-0,-,2,5,7,1,0,2,0,3,3
@ Araberri Basket Club,25 mar 2018,P  93-84,7,8,2,22,2-2,1-1,100.0%,0-0,-,0,8,8,2,1,3,1,7,16
vs C.B. Prat,21 mar 2018,G  66-58,11,4,1,21,4-5,1-3,62.5%,0-0,-,0,4,4,1,0,0,0,11,13
@ Real Valladolid,16 mar 2018,P  75-60,2,5,1,18,1-3,0-1,25.0%,0-0,-,0,5,5,1,0,2,0,2,3
vs Ourense,9 mar 2018,P  73-77,0,6,1,19,0-0,0-2,0.0%,0-0,-,0,6,6,1,1,1,0,0,5
@ Alimerka Oviedo,3 mar 2018,P  67-64,0,3,1,15,0-2,0-3,0.0%,0-0,-,0,3,3,1,0,1,1,0,-1
vs Leyma Coruña,23 feb 2018,P  72-78,5,4,2,18,0-1,1-3,25.0%,2-4,50.0%,1,3,4,2,1,2,0,5,5
@ Biele ISB,18 feb 2018,P  80-75,4,3,1,30,1-1,0-3,25.0%,2-2,100.0%,1,2,3,1,0,1,0,4,4
vs Rioverde Clavijo,9 feb 2018,G  70-62,7,7,2,20,2-2,1-1,100.0%,0-0,-,2,5,7,2,0,0,0,7,16
@ Rio Breogan,28 ene 2018,P  81-49,6,0,1,14,0-1,0-1,0.0%,6-6,100.0%,0,0,0,1,2,2,0,6,5
vs Levitec Huesca,23 ene 2018,P  59-69,9,3,2,24,1-3,1-2,40.0%,4-4,100.0%,0,3,3,2,1,0,1,9,13
@ Fibwi Palma,20 ene 2018,G  76-80,2,2,0,19,1-3,0-2,20.0%,0-0,-,0,2,2,0,0,1,0,2,-1
vs FC Barcelona II,12 ene 2018,G  95-78,14,4,2,17,2-5,3-3,62.5%,1-1,100.0%,1,3,4,2,2,1,0,14,18
vs BAXI Manresa,7 ene 2018,P  68-74,7,3,0,22,1-1,1-5,33.3%,2-3,66.7%,1,2,3,0,0,1,0,7,4
@ Súper Agropal Palencia,29 dic 2017,P  85-79,5,3,0,19,1-2,1-3,40.0%,0-0,-,1,2,3,0,1,1,1,5,6
vs Amics Castello,22 dic 2017,P  75-84,3,1,2,12,0-1,1-2,33.3%,0-0,-,0,1,1,2,0,2,0,3,2
@ Melilla Ciudad Del Deporte 1,15 dic 2017,G  80-95,12,4,6,27,2-2,2-3,80.0%,2-2,100.0%,1,3,4,6,1,0,0,12,22
vs Caceres,10 dic 2017,G  91-67,9,3,2,17,1-4,2-3,42.9%,1-2,50.0%,2,1,3,2,0,0,0,9,9
vs Araberri Basket Club,3 dic 2017,G  94-84,6,1,0,22,2-4,0-3,28.6%,2-5,40.0%,0,1,1,0,1,1,0,6,-1
@ C.B. Prat,29 nov 2017,P  84-60,10,2,0,20,2-4,2-3,57.1%,0-0,-,0,2,2,0,0,1,1,10,9
vs Real Valladolid,24 nov 2017,P  71-81,6,6,0,23,0-2,1-3,20.0%,3-4,75.0%,3,3,6,0,0,0,0,6,7
@ Ourense,17 nov 2017,G  75-84,12,8,1,33,2-4,1-6,30.0%,5-6,83.3%,1,7,8,1,1,1,0,12,13
vs Alimerka Oviedo,10 nov 2017,P  74-80,17,2,2,27,5-9,1-4,46.2%,4-5,80.0%,0,2,2,2,2,1,0,17,14
@ Leyma Coruña,4 nov 2017,P  93-74,14,3,0,21,2-3,3-5,62.5%,1-1,100.0%,2,1,3,0,2,0,2,14,18
vs Biele ISB,27 oct 2017,G  76-65,9,2,0,22,3-5,1-4,44.4%,0-0,-,0,2,2,0,1,2,1,9,6
@ Rioverde Clavijo,20 oct 2017,G  75-81,21,5,0,26,3-4,4-6,70.0%,3-6,50.0%,0,5,5,0,0,1,0,21,19
vs Rio Breogan,15 oct 2017,P  73-86,10,1,1,23,2-4,2-4,50.0%,0-0,-,0,1,1,1,0,0,2,10,10
@ Levitec Huesca,11 oct 2017,G  64-73,12,3,1,24,0-5,4-7,33.3%,0-0,-,1,2,3,1,1,1,0,12,8
vs Fibwi Palma,6 oct 2017,P  89-94,4,5,2,25,0-2,1-5,14.3%,1-2,50.0%,2,3,5,2,0,0,0,4,4
@ FC Barcelona II,30 sept 2017,P  76-69,12,9,0,29,2-6,2-5,36.4%,2-2,100.0%,1,8,9,0,1,3,0,12,12
