PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Levitec Huesca,27 abr 2018,P  72-69,10,12,3,31,4-7,0-1,50.0%,2-2,100.0%,3,9,12,3,0,1,1,10,21
vs Fibwi Palma,20 abr 2018,P  63-76,8,9,0,30,2-5,0-0,40.0%,4-6,66.7%,4,5,9,0,1,2,1,8,12
@ FC Barcelona II,15 abr 2018,P  83-69,8,7,0,27,4-9,0-0,44.4%,0-0,-,4,3,7,0,0,1,2,8,11
vs BAXI Manresa,6 abr 2018,G  86-78,8,5,0,24,4-6,0-0,66.7%,0-3,0.0%,3,2,5,0,2,1,1,8,10
@ Súper Agropal Palencia,1 abr 2018,P  74-72,16,10,0,27,8-10,0-0,80.0%,0-0,-,1,9,10,0,0,1,2,16,25
vs Amics Castello,25 mar 2018,P  65-75,10,7,2,23,4-6,0-0,66.7%,2-2,100.0%,1,6,7,2,0,1,2,10,18
@ Melilla Ciudad Del Deporte 1,21 mar 2018,P  91-80,9,5,1,20,4-6,0-0,66.7%,1-1,100.0%,1,4,5,1,0,0,3,9,16
vs Caceres,16 mar 2018,G  90-72,14,8,0,23,4-7,0-0,57.1%,6-8,75.0%,2,6,8,0,2,1,2,14,20
@ Hiopos Lleida,9 mar 2018,G  73-77,15,7,3,25,5-7,0-0,71.4%,5-6,83.3%,4,3,7,3,0,1,2,15,23
vs C.B. Prat,2 mar 2018,G  61-58,6,7,1,25,2-6,0-0,33.3%,2-3,66.7%,4,3,7,1,1,2,0,6,8
@ Real Valladolid,23 feb 2018,G  81-93,22,13,1,35,9-11,0-0,81.8%,4-4,100.0%,3,10,13,1,0,3,3,22,34
@ Araberri Basket Club,17 feb 2018,G  90-97,14,9,1,22,6-7,0-0,85.7%,2-4,50.0%,3,6,9,1,1,0,1,14,23
vs Alimerka Oviedo,9 feb 2018,G  70-61,6,7,0,16,3-5,0-0,60.0%,0-0,-,3,4,7,0,1,0,1,6,13
@ Leyma Coruña,28 ene 2018,P  77-75,12,7,2,31,5-11,0-0,45.5%,2-4,50.0%,2,5,7,2,0,3,0,12,10
vs Biele ISB,24 ene 2018,G  77-65,13,10,2,34,5-8,0-0,62.5%,3-3,100.0%,0,10,10,2,4,3,4,13,27
@ Rioverde Clavijo,19 ene 2018,G  59-69,14,8,1,23,5-6,0-0,83.3%,4-5,80.0%,0,8,8,1,0,3,0,14,18
vs Rio Breogan,13 ene 2018,G  79-67,6,2,2,17,1-1,0-0,100.0%,4-4,100.0%,0,2,2,2,1,4,1,6,8
vs Levitec Huesca,7 ene 2018,G  73-59,8,6,0,19,4-7,0-0,57.1%,0-2,0.0%,1,5,6,0,2,1,0,8,10
@ Fibwi Palma,30 dic 2017,G  67-69,6,11,2,23,3-4,0-0,75.0%,0-0,-,2,9,11,2,0,2,0,6,16
vs FC Barcelona II,20 dic 2017,P  76-81,18,10,1,29,8-14,0-0,57.1%,2-3,66.7%,6,4,10,1,0,1,0,18,21
vs Caceres,10 dic 2017,G  91-67,7,5,2,12,3-3,0-0,100.0%,1-2,50.0%,0,5,5,2,2,1,3,7,17
@ C.B. Prat,29 nov 2017,P  84-60,9,7,1,21,4-7,0-0,57.1%,1-2,50.0%,4,3,7,1,1,2,1,9,13
vs Real Valladolid,24 nov 2017,P  71-81,6,3,0,21,3-4,0-0,75.0%,0-0,-,0,3,3,0,0,1,0,6,7
@ Ourense,17 nov 2017,G  75-84,7,6,0,18,3-4,0-0,75.0%,1-2,50.0%,2,4,6,0,0,3,1,7,9
vs Alimerka Oviedo,10 nov 2017,P  74-80,10,9,1,24,5-7,0-0,71.4%,0-0,-,4,5,9,1,1,1,1,10,19
@ CSKA Moscow,30 oct 2017,P  94-69,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
vs Valka/Valga,25 oct 2017,G  94-54,6,7,2,16,3-6,0-0,50.0%,0-0,-,3,4,7,2,0,1,1,6,12
@ Nizhny Novgorod,15 oct 2017,P  80-64,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
