PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Albacete,21 abr 2018,G  80-55,7,4,1,28,1-2,1-2,50.0%,2-2,100.0%,4,0,4,1,0,0,0,7,10
@ Martorell,14 abr 2018,P  93-76,0,1,2,22,0-0,0-2,0.0%,0-0,-,0,1,1,2,1,4,0,0,-2
@ Real Murcia,6 abr 2018,G  71-76,4,9,2,24,1-2,0-0,50.0%,2-4,50.0%,3,6,9,2,0,0,0,4,12
vs Baskonia II,30 mar 2018,G  91-72,0,0,0,8,0-0,0-0,-,0-0,-,0,0,0,0,1,1,0,0,0
@ La Roda,24 mar 2018,P  89-86,6,4,0,29,0-0,1-5,20.0%,3-4,75.0%,1,3,4,0,0,0,0,6,5
vs Navarra,16 mar 2018,P  71-82,0,2,1,24,0-0,0-2,0.0%,0-0,-,0,2,2,1,0,0,0,0,1
@ L'Hospitalet,10 mar 2018,G  85-93,15,1,0,31,4-4,2-4,75.0%,1-2,50.0%,1,0,1,0,1,0,0,15,14
vs Avila,2 mar 2018,G  62-57,0,3,2,23,0-1,0-2,0.0%,0-0,-,1,2,3,2,1,0,0,0,3
vs Plasencia,23 feb 2018,G  69-65,4,11,4,32,0-0,1-5,20.0%,1-2,50.0%,5,6,11,4,1,4,0,4,11
@ Agustinos-Leclerc,16 feb 2018,G  63-77,7,9,2,29,3-3,0-4,42.9%,1-2,50.0%,4,5,9,2,0,1,0,7,12
@ C.B. Moron,10 feb 2018,P  78-74,0,1,2,17,0-1,0-2,0.0%,0-0,-,0,1,1,2,1,1,0,0,0
vs Cambados Xuven,2 feb 2018,G  63-59,5,5,2,23,0-0,1-2,50.0%,2-2,100.0%,2,3,5,2,1,1,0,5,11
@ Coviran Granada,20 ene 2018,G  77-83,0,4,0,23,0-2,0-1,0.0%,0-2,0.0%,2,2,4,0,1,1,0,0,-1
vs Real Canoe N.C.,12 ene 2018,G  78-72,18,7,4,34,3-3,2-4,71.4%,6-6,100.0%,6,1,7,4,1,0,0,18,28
@ CB Zamora,6 ene 2018,G  92-94,10,6,7,36,2-2,2-3,80.0%,0-0,-,3,3,6,7,0,1,0,10,21
@ Albacete,29 dic 2017,P  99-87,7,0,1,28,2-2,1-2,75.0%,0-0,-,0,0,0,1,0,1,0,7,6
vs Martorell,20 dic 2017,G  79-62,20,7,4,32,2-2,4-5,85.7%,4-4,100.0%,2,5,7,4,0,2,0,20,28
vs Real Murcia,15 dic 2017,G  95-73,0,6,6,34,0-0,0-4,0.0%,0-0,-,4,2,6,6,0,0,0,0,8
@ Baskonia II,10 dic 2017,G  71-85,9,8,4,34,2-2,1-2,75.0%,2-2,100.0%,4,4,8,4,1,1,0,9,20
vs La Roda,1 dic 2017,P  64-66,17,12,2,35,1-2,5-9,54.5%,0-0,-,2,10,12,2,1,1,0,17,26
@ Navarra,24 nov 2017,G  76-82,12,3,2,36,2-3,2-4,57.1%,2-3,66.7%,1,2,3,2,0,3,0,12,10
vs L'Hospitalet,18 nov 2017,P  63-68,3,4,0,26,0-1,1-3,25.0%,0-0,-,1,3,4,0,0,1,0,3,3
@ Avila,11 nov 2017,G  63-79,5,6,2,26,1-1,1-2,66.7%,0-0,-,5,1,6,2,1,0,0,5,13
@ Plasencia,8 nov 2017,G  90-98,3,7,3,33,0-2,1-1,33.3%,0-0,-,5,2,7,3,1,0,0,3,12
vs Agustinos-Leclerc,3 nov 2017,P  66-77,0,1,1,12,0-2,0-0,0.0%,0-0,-,0,1,1,1,0,0,0,0,0
@ Amics Castello,27 oct 2017,G  63-78,0,2,1,4,0-0,0-0,-,0-0,-,1,1,2,1,1,0,0,0,4
vs Melilla Ciudad Del Deporte 1,22 oct 2017,G  80-70,6,2,1,8,0-0,2-2,100.0%,0-0,-,0,2,2,1,1,0,0,6,10
@ Caceres,15 oct 2017,G  57-71,0,3,1,13,0-2,0-2,0.0%,0-0,-,1,2,3,1,3,0,0,0,3
vs Hiopos Lleida,11 oct 2017,P  64-73,5,1,2,16,0-3,1-3,16.7%,2-2,100.0%,1,0,1,2,2,1,1,5,5
@ C.B. Prat,7 oct 2017,P  67-59,5,1,2,16,1-2,1-2,50.0%,0-0,-,1,0,1,2,1,0,0,5,7
vs Real Valladolid,29 sept 2017,P  63-67,1,2,1,16,0-1,0-1,0.0%,1-1,100.0%,1,1,2,1,1,2,0,1,1
