PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Araberri Basket Club,29 nov 2017,P  94-89,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Fibwi Palma,25 nov 2017,P  68-60,0,0,0,6,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs FC Barcelona II,18 nov 2017,G  77-73,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ BAXI Manresa,12 nov 2017,P  73-54,2,1,0,8,1-2,0-1,33.3%,0-0,-,0,1,1,0,1,1,0,2,1
vs Súper Agropal Palencia,3 nov 2017,P  64-67,3,1,0,4,0-1,1-2,33.3%,0-0,-,0,1,1,0,0,0,0,3,2
@ Amics Castello,27 oct 2017,G  63-78,8,3,0,12,1-2,2-2,75.0%,0-0,-,1,2,3,0,1,0,0,8,11
vs Melilla Ciudad Del Deporte 1,22 oct 2017,G  80-70,0,2,0,10,0-0,0-0,-,0-0,-,1,1,2,0,1,1,0,0,2
vs Hiopos Lleida,11 oct 2017,P  64-73,2,0,1,4,1-1,0-1,50.0%,0-0,-,0,0,0,1,0,1,0,2,1
@ C.B. Prat,7 oct 2017,P  67-59,8,2,0,11,1-2,2-3,60.0%,0-0,-,1,1,2,0,0,0,0,8,8
vs Real Valladolid,29 sept 2017,P  63-67,3,0,0,5,0-0,1-3,33.3%,0-0,-,0,0,0,0,0,1,0,3,0
