PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Ourense,27 abr 2018,G  72-69,13,2,2,28,3-8,1-2,40.0%,4-5,80.0%,0,2,2,2,0,2,0,13,8
@ Alimerka Oviedo,20 abr 2018,P  80-61,8,2,2,25,3-5,0-2,42.9%,2-4,50.0%,1,1,2,2,2,1,0,8,7
vs Leyma Coruña,15 abr 2018,G  82-63,10,3,4,17,0-1,1-3,25.0%,7-8,87.5%,0,3,3,4,0,1,0,10,12
@ Biele ISB,8 abr 2018,P  76-73,6,3,4,33,2-4,0-1,40.0%,2-3,66.7%,0,3,3,4,2,0,0,6,11
vs Rioverde Clavijo,1 abr 2018,P  62-79,9,3,1,25,2-6,1-1,42.9%,2-2,100.0%,0,3,3,1,1,3,0,9,7
@ Rio Breogan,25 mar 2018,P  91-53,2,2,2,18,1-5,0-2,14.3%,0-0,-,0,2,2,2,1,1,0,2,0
vs Araberri Basket Club,21 mar 2018,G  82-70,15,3,3,25,1-3,4-7,50.0%,1-2,50.0%,1,2,3,3,1,1,0,15,15
vs Fibwi Palma,18 mar 2018,P  71-79,9,3,1,14,2-3,1-2,60.0%,2-3,66.7%,0,3,3,1,0,0,0,9,10
@ FC Barcelona II,10 mar 2018,P  88-85,8,0,3,23,2-5,0-2,28.6%,4-4,100.0%,0,0,0,3,1,1,0,8,6
vs BAXI Manresa,2 mar 2018,P  77-82,2,4,3,20,1-5,0-1,16.7%,0-0,-,0,4,4,3,0,2,0,2,2
@ Súper Agropal Palencia,23 feb 2018,P  78-63,0,1,4,25,0-2,0-1,0.0%,0-0,-,0,1,1,4,0,1,0,0,1
vs Amics Castello,17 feb 2018,G  70-65,4,1,2,22,1-6,0-2,12.5%,2-4,50.0%,0,1,1,2,2,0,0,4,0
@ Melilla Ciudad Del Deporte 1,9 feb 2018,P  92-48,2,1,3,21,1-4,0-4,12.5%,0-0,-,0,1,1,3,0,2,0,2,-3
vs Caceres,28 ene 2018,G  81-78,5,1,4,18,0-2,1-2,25.0%,2-2,100.0%,0,1,1,4,0,1,0,5,6
@ Hiopos Lleida,23 ene 2018,G  59-69,0,0,0,12,0-1,0-0,0.0%,0-0,-,0,0,0,0,2,0,0,0,1
vs C.B. Prat,19 ene 2018,P  73-81,16,4,4,33,5-9,2-2,63.6%,0-1,0.0%,0,4,4,4,1,2,0,16,18
@ Real Valladolid,12 ene 2018,P  83-75,14,0,1,21,4-4,1-3,71.4%,3-3,100.0%,0,0,0,1,0,2,0,14,11
@ Ourense,7 ene 2018,P  73-59,6,2,2,26,1-3,1-2,40.0%,1-4,25.0%,1,1,2,2,0,1,0,6,3
vs Alimerka Oviedo,29 dic 2017,P  66-70,9,0,1,19,4-9,0-0,44.4%,1-1,100.0%,0,0,0,1,0,0,0,9,5
@ Leyma Coruña,22 dic 2017,G  70-76,6,4,2,17,2-3,0-1,50.0%,2-2,100.0%,2,2,4,2,0,3,0,6,7
vs Biele ISB,15 dic 2017,G  73-69,8,2,1,23,4-5,0-4,44.4%,0-0,-,1,1,2,1,0,0,0,8,6
@ Rioverde Clavijo,10 dic 2017,P  103-85,4,1,1,26,1-5,0-2,14.3%,2-2,100.0%,0,1,1,1,0,0,0,4,0
vs Rio Breogan,3 dic 2017,G  87-76,19,1,0,20,4-6,3-4,70.0%,2-5,40.0%,0,1,1,0,1,0,0,19,15
@ Araberri Basket Club,29 nov 2017,P  94-89,2,0,0,6,1-3,0-0,33.3%,0-0,-,0,0,0,0,0,1,0,2,-1
@ Fibwi Palma,25 nov 2017,P  68-60,3,1,0,18,1-2,0-2,25.0%,1-1,100.0%,0,1,1,0,0,2,0,3,-1
vs FC Barcelona II,18 nov 2017,G  77-73,4,2,1,21,2-4,0-3,28.6%,0-2,0.0%,1,1,2,1,0,0,0,4,0
@ BAXI Manresa,12 nov 2017,P  73-54,2,3,2,20,1-3,0-1,25.0%,0-0,-,0,3,3,2,1,1,0,2,4
vs Súper Agropal Palencia,3 nov 2017,P  64-67,0,4,1,18,0-2,0-0,0.0%,0-0,-,1,3,4,1,0,2,0,0,1
@ Amics Castello,27 oct 2017,G  63-78,11,0,1,15,4-4,0-3,57.1%,3-4,75.0%,0,0,0,1,2,2,0,11,8
vs Melilla Ciudad Del Deporte 1,22 oct 2017,G  80-70,2,0,1,13,1-4,0-3,14.3%,0-0,-,0,0,0,1,0,0,0,2,-3
@ Caceres,15 oct 2017,G  57-71,4,3,0,11,2-2,0-2,50.0%,0-0,-,0,3,3,0,0,2,0,4,3
vs Hiopos Lleida,11 oct 2017,P  64-73,3,1,1,13,0-3,1-3,16.7%,0-0,-,0,1,1,1,0,3,0,3,-3
@ C.B. Prat,7 oct 2017,P  67-59,0,2,0,16,0-2,0-0,0.0%,0-0,-,0,2,2,0,0,1,0,0,-1
vs Real Valladolid,29 sept 2017,P  63-67,8,3,2,24,3-5,0-1,50.0%,2-2,100.0%,0,3,3,2,0,0,0,8,10
