PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Ourense,27 abr 2018,G  72-69,0,0,0,2,0-1,0-1,0.0%,0-0,-,0,0,0,0,0,0,1,0,-1
@ Alimerka Oviedo,20 abr 2018,P  80-61,0,2,0,7,0-1,0-1,0.0%,0-0,-,1,1,2,0,0,1,0,0,-1
vs Leyma Coruña,15 abr 2018,G  82-63,8,3,1,17,1-2,2-3,60.0%,0-0,-,0,3,3,1,0,1,0,8,9
@ Biele ISB,8 abr 2018,P  76-73,16,4,0,22,5-9,2-2,63.6%,0-1,0.0%,2,2,4,0,1,1,0,16,15
vs Rioverde Clavijo,1 abr 2018,P  62-79,5,0,0,8,1-2,1-2,50.0%,0-0,-,0,0,0,0,0,0,0,5,3
vs Fibwi Palma,18 mar 2018,P  71-79,3,0,1,16,0-3,1-2,20.0%,0-0,-,0,0,0,1,0,1,0,3,-1
@ FC Barcelona II,10 mar 2018,P  88-85,2,1,0,13,1-1,0-0,100.0%,0-0,-,0,1,1,0,0,0,0,2,3
vs BAXI Manresa,2 mar 2018,P  77-82,0,0,1,10,0-0,0-1,0.0%,0-0,-,0,0,0,1,0,0,0,0,0
@ Súper Agropal Palencia,23 feb 2018,P  78-63,0,0,0,6,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,2,0,0,-4
vs Amics Castello,17 feb 2018,G  70-65,5,3,1,16,1-1,1-2,66.7%,0-0,-,0,3,3,1,0,0,0,5,8
@ Melilla Ciudad Del Deporte 1,9 feb 2018,P  92-48,0,0,0,6,0-1,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
vs Caceres,28 ene 2018,G  81-78,6,2,1,14,0-0,2-5,40.0%,0-0,-,0,2,2,1,1,1,0,6,6
