PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Hiopos Lleida,27 abr 2018,P  68-74,16,8,4,26,7-12,0-0,58.3%,2-2,100.0%,3,5,8,4,0,1,1,16,23
@ C.B. Prat,20 abr 2018,P  87-79,11,7,6,30,4-8,0-0,50.0%,3-4,75.0%,1,6,7,6,0,3,0,11,16
vs Real Valladolid,15 abr 2018,G  78-75,18,6,3,28,8-13,0-1,57.1%,2-2,100.0%,1,5,6,3,1,2,0,18,20
@ Ourense,6 abr 2018,P  86-78,6,8,5,28,1-8,0-0,12.5%,4-5,80.0%,2,6,8,5,0,2,2,6,11
vs Alimerka Oviedo,1 abr 2018,G  70-68,13,9,4,27,6-9,0-0,66.7%,1-2,50.0%,2,7,9,4,0,1,2,13,23
@ Leyma Coruña,25 mar 2018,G  66-74,11,7,3,29,4-11,0-0,36.4%,3-4,75.0%,2,5,7,3,0,2,0,11,11
vs Biele ISB,21 mar 2018,G  88-61,12,5,2,21,5-7,0-0,71.4%,2-2,100.0%,1,4,5,2,0,0,0,12,17
@ Rioverde Clavijo,16 mar 2018,P  73-61,7,5,5,26,3-4,0-0,75.0%,1-2,50.0%,0,5,5,5,0,7,1,7,9
vs Rio Breogan,11 mar 2018,G  90-78,15,9,6,28,5-8,1-1,66.7%,2-3,66.7%,1,8,9,6,2,3,0,15,25
@ Levitec Huesca,2 mar 2018,G  77-82,15,6,3,24,5-7,0-0,71.4%,5-9,55.6%,0,6,6,3,1,1,1,15,19
vs Fibwi Palma,25 feb 2018,G  72-67,18,5,4,27,4-7,0-0,57.1%,10-13,76.9%,2,3,5,4,0,0,1,18,22
@ FC Barcelona II,18 feb 2018,G  94-103,15,9,2,26,7-11,0-0,63.6%,1-2,50.0%,3,6,9,2,1,1,0,15,21
vs Araberri Basket Club,11 feb 2018,G  99-88,14,8,7,25,7-12,0-0,58.3%,0-2,0.0%,5,3,8,7,0,0,0,14,22
vs Súper Agropal Palencia,28 ene 2018,G  78-73,18,11,4,27,6-8,0-0,75.0%,6-7,85.7%,3,8,11,4,2,1,2,18,33
@ Amics Castello,24 ene 2018,G  69-87,12,5,3,26,5-8,0-0,62.5%,2-2,100.0%,0,5,5,3,2,2,1,12,18
vs Melilla Ciudad Del Deporte 1,21 ene 2018,P  69-77,6,8,3,29,3-9,0-0,33.3%,0-0,-,2,6,8,3,0,3,0,6,8
@ Caceres,12 ene 2018,P  74-68,17,11,8,29,8-10,0-0,80.0%,1-2,50.0%,5,6,11,8,1,5,4,17,33
@ Hiopos Lleida,7 ene 2018,G  68-74,14,8,2,27,6-11,0-0,54.5%,2-2,100.0%,2,6,8,2,0,1,1,14,19
vs C.B. Prat,29 dic 2017,G  75-62,18,10,4,30,8-11,0-0,72.7%,2-4,50.0%,5,5,10,4,2,3,0,18,26
@ Real Valladolid,22 dic 2017,G  65-74,12,10,5,29,5-9,0-0,55.6%,2-2,100.0%,3,7,10,5,1,2,3,12,25
vs Ourense,17 dic 2017,G  89-65,14,8,2,27,7-9,0-0,77.8%,0-1,0.0%,1,7,8,2,0,2,3,14,22
@ Alimerka Oviedo,10 dic 2017,P  81-76,22,7,4,33,10-13,0-0,76.9%,2-7,28.6%,3,4,7,4,0,4,3,22,24
vs Leyma Coruña,3 dic 2017,P  75-81,18,6,5,24,7-9,1-1,80.0%,1-2,50.0%,1,5,6,5,2,2,0,18,26
@ Biele ISB,29 nov 2017,G  62-71,18,15,3,32,9-13,0-0,69.2%,0-0,-,3,12,15,3,1,1,4,18,36
vs Rioverde Clavijo,26 nov 2017,G  91-70,15,7,7,25,6-7,0-0,85.7%,3-4,75.0%,1,6,7,7,2,3,1,15,27
@ Rio Breogan,18 nov 2017,P  98-81,4,7,0,24,1-3,0-0,33.3%,2-4,50.0%,2,5,7,0,0,3,2,4,6
vs Levitec Huesca,12 nov 2017,G  73-54,9,4,0,13,4-7,0-0,57.1%,1-1,100.0%,1,3,4,0,1,2,0,9,9
@ Fibwi Palma,4 nov 2017,G  74-82,15,7,4,30,7-9,0-0,77.8%,1-1,100.0%,2,5,7,4,0,2,0,15,22
vs FC Barcelona II,29 oct 2017,G  91-76,7,4,5,24,2-7,0-0,28.6%,3-5,60.0%,1,3,4,5,1,2,0,7,8
@ Araberri Basket Club,22 oct 2017,G  70-71,12,9,3,28,5-11,0-0,45.5%,2-2,100.0%,5,4,9,3,1,3,1,12,17
@ Súper Agropal Palencia,15 oct 2017,G  72-76,20,18,3,29,7-12,0-0,58.3%,6-10,60.0%,8,10,18,3,1,1,0,20,32
vs Amics Castello,11 oct 2017,G  93-62,11,11,4,26,4-8,0-0,50.0%,3-4,75.0%,5,6,11,4,3,3,1,11,22
@ Melilla Ciudad Del Deporte 1,6 oct 2017,P  68-66,7,4,1,22,2-9,0-0,22.2%,3-4,75.0%,1,3,4,1,2,1,3,7,8
vs Caceres,30 sept 2017,G  81-73,10,9,3,25,3-7,0-0,42.9%,4-4,100.0%,1,8,9,3,1,3,1,10,17
