PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Hiopos Lleida,18 feb 2018,G  80-75,10,0,1,14,2-4,2-5,44.4%,0-0,-,0,0,0,1,0,1,1,10,6
@ C.B. Prat,10 feb 2018,P  76-72,6,2,0,19,0-0,2-4,50.0%,0-0,-,0,2,2,0,0,0,0,6,6
vs Real Valladolid,28 ene 2018,G  73-67,10,4,1,22,2-3,2-6,44.4%,0-0,-,1,3,4,1,1,1,0,10,10
@ Ourense,24 ene 2018,P  77-65,6,1,0,22,0-0,2-4,50.0%,0-0,-,0,1,1,0,1,0,0,6,6
vs Alimerka Oviedo,21 ene 2018,P  70-77,3,2,0,15,0-0,1-2,50.0%,0-0,-,0,2,2,0,0,2,0,3,2
@ Leyma Coruña,12 ene 2018,P  79-59,5,5,1,24,1-3,1-2,40.0%,0-0,-,1,4,5,1,2,0,0,5,10
vs Araberri Basket Club,7 ene 2018,P  66-88,4,5,2,25,0-2,0-4,0.0%,4-4,100.0%,0,5,5,2,0,0,0,4,5
@ Rioverde Clavijo,29 dic 2017,P  75-58,0,2,1,22,0-1,0-4,0.0%,0-0,-,0,2,2,1,0,1,0,0,-3
vs Rio Breogan,23 dic 2017,P  61-81,16,4,0,27,1-3,4-10,38.5%,2-2,100.0%,1,3,4,0,0,1,1,16,12
@ Levitec Huesca,15 dic 2017,P  73-69,15,3,1,24,0-5,5-6,45.5%,0-0,-,0,3,3,1,0,1,0,15,12
vs Fibwi Palma,9 dic 2017,G  70-62,2,3,1,21,1-2,0-1,33.3%,0-0,-,0,3,3,1,0,0,0,2,4
@ FC Barcelona II,3 dic 2017,P  80-64,9,1,1,18,0-0,3-5,60.0%,0-1,0.0%,0,1,1,1,0,0,0,9,8
vs BAXI Manresa,29 nov 2017,P  62-71,6,0,0,19,3-4,0-5,33.3%,0-0,-,0,0,0,0,1,1,0,6,0
@ Súper Agropal Palencia,24 nov 2017,P  80-63,21,4,2,28,1-2,6-13,46.7%,1-2,50.0%,0,4,4,2,1,1,0,21,18
vs Amics Castello,19 nov 2017,P  71-96,16,2,0,24,1-3,4-10,38.5%,2-2,100.0%,0,2,2,0,1,1,1,16,11
@ Melilla Ciudad Del Deporte 1,10 nov 2017,P  84-77,8,1,0,16,0-0,2-4,50.0%,2-2,100.0%,0,1,1,0,1,1,0,8,7
vs Caceres,5 nov 2017,G  79-74,2,1,1,19,1-2,0-3,20.0%,0-0,-,1,0,1,1,1,1,0,2,0
@ Hiopos Lleida,27 oct 2017,P  76-65,0,4,1,18,0-3,0-5,0.0%,0-0,-,1,3,4,1,0,0,0,0,-3
vs C.B. Prat,22 oct 2017,P  69-73,14,1,3,32,1-4,4-7,45.5%,0-0,-,0,1,1,3,0,0,2,14,14
@ Real Valladolid,15 oct 2017,G  62-73,12,3,0,18,3-5,2-3,62.5%,0-0,-,1,2,3,0,0,0,0,12,12
vs Ourense,10 oct 2017,G  89-80,13,3,0,28,3-5,2-5,50.0%,1-2,50.0%,1,2,3,0,3,1,0,13,12
@ Alimerka Oviedo,7 oct 2017,P  87-66,15,4,1,30,3-8,3-9,35.3%,0-0,-,0,4,4,1,0,0,0,15,9
vs Leyma Coruña,1 oct 2017,G  72-71,14,0,1,29,1-1,4-6,71.4%,0-0,-,0,0,0,1,1,0,0,14,14
