PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Rioverde Clavijo,27 abr 2018,P  85-66,3,2,3,20,0-0,1-2,50.0%,0-0,-,0,2,2,3,0,1,0,3,6
vs Rio Breogan,20 abr 2018,P  86-93,11,2,2,23,2-6,2-4,40.0%,1-2,50.0%,0,2,2,2,1,1,0,11,8
@ Levitec Huesca,15 abr 2018,P  82-63,0,0,0,17,0-2,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-4
vs Fibwi Palma,7 abr 2018,P  79-90,9,3,3,25,3-4,1-2,66.7%,0-0,-,1,2,3,3,1,1,0,9,13
@ FC Barcelona II,1 abr 2018,G  72-79,4,2,2,21,1-2,0-2,25.0%,2-2,100.0%,1,1,2,2,1,2,0,4,4
vs BAXI Manresa,25 mar 2018,P  66-74,3,6,3,19,0-1,1-2,33.3%,0-0,-,1,5,6,3,1,0,0,3,11
@ Súper Agropal Palencia,21 mar 2018,P  76-64,2,6,1,23,0-1,0-4,0.0%,2-2,100.0%,0,6,6,1,0,0,0,2,4
vs Amics Castello,16 mar 2018,G  64-52,8,2,2,22,0-0,1-3,33.3%,5-6,83.3%,0,2,2,2,0,2,0,8,7
@ Melilla Ciudad Del Deporte 1,9 mar 2018,G  58-85,2,2,1,17,1-2,0-2,25.0%,0-0,-,0,2,2,1,1,1,0,2,2
vs Caceres,2 mar 2018,G  79-75,3,2,2,12,0-0,1-3,33.3%,0-0,-,0,2,2,2,1,2,0,3,4
@ Hiopos Lleida,23 feb 2018,G  72-78,0,1,0,25,0-0,0-4,0.0%,0-0,-,0,1,1,0,0,0,0,0,-3
vs C.B. Prat,16 feb 2018,P  65-81,8,0,0,25,2-4,1-4,37.5%,1-2,50.0%,0,0,0,0,1,0,0,8,3
@ Real Valladolid,9 feb 2018,P  94-84,4,0,1,19,2-2,0-1,66.7%,0-0,-,0,0,0,1,2,2,0,4,4
vs Ourense,28 ene 2018,G  77-75,8,3,4,20,1-2,2-5,42.9%,0-0,-,1,2,3,4,1,1,0,8,11
@ Alimerka Oviedo,23 ene 2018,P  80-71,3,4,1,28,0-3,1-5,12.5%,0-0,-,1,3,4,1,0,0,0,3,1
@ Araberri Basket Club,20 ene 2018,G  80-99,0,0,1,8,0-0,0-1,0.0%,0-0,-,0,0,0,1,0,2,0,0,-2
vs Biele ISB,12 ene 2018,G  79-59,8,2,1,20,0-2,2-3,40.0%,2-2,100.0%,0,2,2,1,2,1,0,8,9
vs Rioverde Clavijo,7 ene 2018,G  80-66,2,2,2,21,1-2,0-1,33.3%,0-0,-,1,1,2,2,0,0,0,2,4
@ Rio Breogan,29 dic 2017,P  84-73,6,2,4,20,0-1,2-5,33.3%,0-2,0.0%,0,2,2,4,2,3,0,6,5
vs Levitec Huesca,22 dic 2017,P  70-76,2,2,3,23,1-2,0-3,20.0%,0-0,-,2,0,2,3,1,0,0,2,4
@ Fibwi Palma,16 dic 2017,G  90-97,8,0,4,22,1-2,2-3,60.0%,0-0,-,0,0,0,4,0,0,0,8,10
vs FC Barcelona II,10 dic 2017,G  89-79,0,1,2,17,0-1,0-3,0.0%,0-0,-,0,1,1,2,1,1,0,0,-1
@ BAXI Manresa,3 dic 2017,G  75-81,0,0,1,11,0-1,0-1,0.0%,0-0,-,0,0,0,1,1,2,0,0,-2
vs Súper Agropal Palencia,29 nov 2017,G  96-78,14,4,4,22,1-2,4-6,62.5%,0-0,-,1,3,4,4,0,0,0,14,19
@ Amics Castello,24 nov 2017,P  82-76,0,3,1,12,0-1,0-2,0.0%,0-0,-,0,3,3,1,0,2,0,0,-1
vs Melilla Ciudad Del Deporte 1,17 nov 2017,P  67-78,2,1,1,13,1-2,0-1,33.3%,0-0,-,0,1,1,1,0,1,0,2,1
@ Caceres,10 nov 2017,P  80-61,1,3,1,20,0-2,0-2,0.0%,1-2,50.0%,1,2,3,1,1,2,0,1,-1
vs Hiopos Lleida,4 nov 2017,G  93-74,8,2,0,18,1-2,2-4,50.0%,0-0,-,1,1,2,0,0,3,0,8,4
@ Ourense,1 nov 2017,G  84-87,7,1,1,15,2-2,1-2,75.0%,0-0,-,0,1,1,1,1,2,0,7,7
@ C.B. Prat,28 oct 2017,P  75-60,0,0,1,11,0-2,0-3,0.0%,0-0,-,0,0,0,1,2,0,0,0,-2
vs Real Valladolid,20 oct 2017,P  59-67,1,1,0,10,0-1,0-0,0.0%,1-2,50.0%,0,1,1,0,1,0,0,1,1
vs Alimerka Oviedo,10 oct 2017,P  71-76,0,0,1,10,0-0,0-1,0.0%,0-0,-,0,0,0,1,1,0,0,0,1
vs Araberri Basket Club,6 oct 2017,G  76-68,0,2,1,12,0-1,0-0,0.0%,0-0,-,0,2,2,1,0,1,0,0,1
@ Biele ISB,1 oct 2017,P  72-71,2,5,1,13,1-3,0-1,25.0%,0-0,-,1,4,5,1,0,2,0,2,3
